words,tfidf,pos,freq
櫻花,12.329615624795842,Na,88
校園,6.996935108735855,Nc,26
野餐,4.634843348455651,VA,21
櫻花林,3.6072341422886414,Na,14
悠閒,3.4246479015397973,VH,9
暨大,2.480895233659463,Nc,9
草皮,2.019938251020438,Na,9
花期,1.9903138109426637,Na,5
風鈴木,1.9194000657291956,Na,5
櫻花樹,1.863772385819747,Na,8
放電,1.8315752593422518,VA,4
草坪,1.674321210233362,Na,8
花旗木,1.6482339703773512,Nb,4
拍照,1.4176603936263827,VB,4
散步,1.3506281909849274,VA,3
草原,1.3092786819133475,Na,4
暨南,1.216011900726744,Nb,4
草地,1.1797167344571287,Nc,5
市集,1.0888016232571822,Na,5
清幽,1.0130512014947173,VH,2
大自然,1.0020122843070065,Nc,2
茵花林,1.0,Na,1
放風,0.942842623599907,VA,5
清新,0.8479784155231713,VH,3
櫻花季,0.8390896389482452,Na,4
校方,0.8202153735714743,Na,4
文青,0.8178166506846077,Nb,1
放風箏,0.6879046221676155,VA,3
花旗,0.6718141550296675,Nb,5
遼擴,0.6515917539679135,Nc,1
工讀生,0.5895607242042101,Na,3
校門,0.5518541095433336,Na,4
花香,0.5504108907414004,Na,1
花色,0.5003731692048591,Na,1
景境,0.5,Na,1
學院,0.5,Nc,1
樹葉,0.48978581638923885,Na,1
繳費機,0.47331169303799786,Na,2
櫻兒,0.46243248311190777,Nb,1
音樂會,0.4274109998387708,Na,1
巿集,0.42280256167348407,Na,1
校團,0.42280256167348407,Na,1
寧靜,0.41763596662450553,VH,1
浪漫,0.41263846719828234,VH,1
校警,0.39496392155150706,Na,1
林木,0.38024160777079663,Na,1
校區,0.38024160777079663,Nc,1
生態,0.38024160777079663,Na,1
行為,0.3644733304654177,Na,1
桐鈴木,0.3552393692558964,Na,1
茶席,0.3545203112400909,Na,1
露營,0.3474049790535819,VA,1
林蔭大道,0.34283552156041114,Nc,1
表演,0.3392247720389077,VC,1
攤位,0.3392247720389077,Na,1
飛盤,0.33592316771133274,Na,1
腳踏車,0.31453859701854425,Na,1
遼闊,0.30995371025025803,VH,1
天際線,0.30995371025025803,Na,1
山巒,0.30995371025025803,Na,1
產業道路,0.3061525517221939,Na,2
蛙寶,0.30307863251829026,Na,1
鈴木,0.30138832643051383,Nb,8
休閒椅,0.29919409836464217,Na,1
山景,0.2987254699062257,Na,1
校門口,0.2939026895944085,Nc,2
玩伴,0.28769536829940756,Na,1
福安宮,0.2803140390667746,Nc,2
关系,0.27235183388143924,Na,1
天气,0.27235183388143924,Na,1
季节,0.27235183388143924,Na,1
樱花,0.27235183388143924,Na,1
情景,0.25491421951318344,Na,1
兵營,0.25491421951318344,Nc,1
韓劇,0.2493062739768614,Na,1
攤販,0.2493062739768614,Na,1
鳳梨汁,0.2493062739768614,Na,1
隔距,0.24293502288261837,Na,1
蔭涼,0.2412890964787861,Na,1
頭頂,0.2412890964787861,Nc,1
陽光浴,0.2412890964787861,Na,1
榕樹,0.2412890964787861,Na,1
匝道門,0.23899451116342296,Na,1
車牌,0.23665584651899893,Na,1
花兒,0.21893545080866583,Na,1
娘家,0.21422310800352845,Nc,1
櫻花區,0.21422310800352845,Nc,1
中年,0.20055222198556083,Na,1
公園,0.20055222198556083,Nc,1
口令,0.20055222198556083,Na,1
婦女,0.20055222198556083,Na,1
廣場舞,0.20055222198556083,Na,1
下午茶,0.19864048120686792,Na,1
養生,0.19864048120686792,VA,1
日光浴,0.19654120473963144,Na,1
日月潭,0.15436471649102504,Nc,1
人文,0.15436471649102504,Na,1
林區,0.1539165661600633,Nc,1
藝文,0.1539165661600633,A,1
一巷,0.15307627586109696,Nc,1
中潭,0.15307627586109696,Nb,1
南村,0.15307627586109696,Nc,1
桃米路,0.15307627586109696,Nc,1
事實,0.13846060435263616,Na,1
風林,0.12650968818438826,Na,1
發票,0.11848601423308051,Na,1
車行,0.11848601423308051,Nc,1
稜線,0.11848601423308051,Na,1
約會,0.11848601423308051,VB,1
洗手乳,0.11848601423308051,Na,1
冬陽,0.11848601423308051,Na,1
遊人,0.11848601423308051,Na,1
