words,tfidf,pos,freq
木棉花,3.264686406039254,Na,9
自然,1.1007602225116786,VH,2
花季,1.0783495944012869,Nd,4
愛心,1.0,Na,1
木棉花道,0.7071067811865476,Na,1
台南,0.6413836631617076,Nc,4
高鐵站,0.6073353592622447,Nc,3
院區,0.5943953651378014,Nc,1
白河,0.5124886826776311,Nc,2
茂盛,0.4389848579826627,VH,1
木绵花,0.43111260529151174,Na,1
初林碑,0.3993719642844293,Nb,1
路幅,0.39249724981672657,Na,1
花草,0.3680938778822388,Na,1
腳踏車,0.32190935667812515,Na,1
趣味,0.28867513459481287,Na,1
工地,0.28867513459481287,Na,1
木棉樹,0.28867513459481287,Na,1
塵沙,0.28867513459481287,Na,1
木棉,0.25767648997832304,Na,11
樹梢,0.25767648997832304,Nc,1
木綿,0.232810161500328,Na,1
壯觀,0.23100635914272377,VH,1
霧霧,0.23100635914272377,Nc,1
隧道,0.19722317596572916,Na,1
肢體,0.19722317596572916,Na,1
機構,0.19722317596572916,Na,1
枝幹,0.19722317596572916,Na,1
層次感,0.19722317596572916,Na,1
尾部,0.19722317596572916,Nc,1
夕陽,0.16301895333921954,Na,1
市花,0.16301895333921954,Nc,1
枝頭,0.16301895333921954,Nc,1
腳步,0.16301895333921954,Na,1
英雄樹,0.16301895333921954,Na,1
高雄市,0.16301895333921954,Nc,1
