words,tfidf,pos,freq
客家,19.285310560771677,Na,130
文化,16.47940272554554,Na,100
腳踏車,11.183567500991465,Na,37
散步,9.542395047734665,VA,24
東勢,8.306843590297028,Nc,75
自行車,6.406303142360034,Na,43
東豐,6.3554092095703325,Nb,28
騎車,5.373664713774487,VA,12
文物,4.987785347058546,Na,26
市集,4.519761493555051,Na,19
悠閒,4.185659748534762,VH,8
自行車道,3.9115032035078867,Na,16
體驗,3.8447510905258637,VC,12
展覽,3.827700813493057,VC,22
鐵馬道,3.6229367695224766,Na,12
拍照,3.330849749105958,VB,12
表演,3.103302935157717,VC,11
終點站,2.743085861126726,Nc,9
步道,2.6631931284273014,Na,9
后豐,2.417527537100924,Nc,8
古色古香,2.327305673160065,VH,4
傳統,2.2185123039585943,VH,7
公園,2.2143848202504093,Nc,7
熱鬧,2.1972004335636304,VH,6
攤販,1.8088149188907607,Na,6
藝術,1.6766918665752741,Na,7
攤位,1.5821309656812055,Na,7
新丁粄節,1.580326605564227,Na,5
后里,1.570433744008032,Nc,5
歷史,1.5270659320988227,Na,7
客家人,1.5194475516720902,Na,6
放風,1.4454331564634593,VA,3
單車,1.4040635610518315,Na,7
人文,1.3808368785066343,Na,6
涼爽,1.3015457913265924,VH,2
修澤蘭,1.256043112665644,Nb,4
放電,1.199816969342279,VA,3
綠廊,1.15689854341022,VH,9
導覽,1.1431780385211159,VC,6
文化館,1.142280624376324,Nc,4
商圈,1.1066104348767056,Nc,3
古早味,1.0620185920012772,Na,2
日式,1.04574709765993,A,2
油桐花,1.0120300147819588,Na,3
紅磚,0.9856088840075707,Na,4
遛小孩,0.8884685903873004,VA,2
草地,0.8750573287405355,Nc,3
文青,0.8739105200696745,Nb,2
貓咪,0.8701116450604498,Na,2
愜意,0.8218174149676158,VH,3
古典,0.7895388915715713,VH,2
用具,0.77831638300239,Na,2
立花,0.7705824266311294,Na,1
腳踏,0.7531249899612724,Na,38
草皮,0.7530551637740477,Na,3
休憩區,0.7472414628175799,Nc,2
展覽館,0.7428489754494564,Nc,3
芬多精,0.7251281852382966,Na,2
笛子,0.7224266360201959,Na,2
博物館,0.708121325351476,Nc,2
遊憩區,0.7071067811865475,Nc,1
廠舘,0.7060513260262806,Nc,1
月台,0.68502485818701,Nc,6
復古風,0.6828360873883793,Na,1
建築展,0.6674467990987613,Na,1
民俗,0.6467101602517595,Na,2
小食,0.6394363619929485,Na,2
城鎮,0.6262193264780571,Nc,1
孔子,0.6105220955872341,Nb,2
山城,0.605971320249223,Na,5
文物館,0.6047841227143316,Nc,4
豐原,0.5928770596163502,Nc,3
小吃店,0.5882796310228406,Nc,1
展售區,0.5881127569145107,Nc,1
蒸氣,0.5819371742058691,Na,1
折返點,0.5814900257292849,Na,1
野餐,0.5773502691896257,VA,1
郊遊,0.5773502691896257,VA,1
藝術品,0.574947067610998,Na,1
展館,0.5727492320818106,Nc,3
集散地,0.5639105413817634,Nc,1
長廊,0.5639105413817634,Nc,1
復古,0.5466599935930547,VHC,2
優點,0.5406392743224729,Na,2
侯峰,0.5376807315894169,Nb,1
藝術展,0.5213090187273641,Na,1
花圃,0.515501237050304,Nc,1
柿子,0.515501237050304,Na,1
老少咸宜,0.5142437679086109,VH,2
單車道,0.514060821215841,Na,1
療癒,0.5097545135647514,VC,1
橫笛,0.5097545135647514,Na,1
小中坑,0.5091486277565836,Nc,1
遊樂,0.5049133660918589,VA,3
外婆家,0.5023594665186948,Nc,1
樟腦,0.48636147229691573,Na,3
清靜,0.4830733659271146,VH,1
