words,tfidf,pos,freq
東河,4.133246613365678,Nc,60
東河橋,3.561605799596812,Nc,30
悠閒,2.5089896984679454,VH,4
出海口,2.493564326175118,Nc,14
新橋,2.281311900790902,Nc,11
步道,1.9366266252540465,Na,9
野生,1.2770787771968488,A,5
拍照,1.1516012343305781,VB,4
sup,1.0950564910931073,FW,1
河谷,1.0417382133120907,Nc,3
散步,0.9682472056437528,VA,2
彌猴,0.9510653249044374,Nb,2
軍團,0.8939781120110951,Na,1
生態,0.8556007006477564,Na,2
獼猴,0.8139236748134299,Na,4
馬武溪,0.7723663610971123,Nc,4
歷史,0.7379671101030153,Na,4
山道,0.666480646789829,Na,1
馬武窟溪,0.6248569410248372,Nc,8
橋墩,0.6243294962735031,Na,5
吊橋,0.6027972449758842,Na,3
自行車道,0.591369664387121,Na,1
獨木舟,0.5912054261274522,Na,1
遺構,0.5773502691896257,Na,1
台9線,0.5773502691896257,Nc,1
台11線,0.5714982574764492,Nc,1
風景區,0.5554200805145773,Nc,5
遊憩區,0.5550739842361049,Nc,4
古色古香,0.5529190653167946,VH,2
壯觀,0.5485623609177788,VH,1
消防局,0.5048170942212867,Nc,1
地形,0.48644479567012755,Na,4
賽道,0.47923981645831465,Na,1
晚崙西亞,0.47923981645831465,Nb,1
馬拉松,0.47923981645831465,Na,1
峽谷,0.47125343005348375,Na,3
眼睛,0.4562905783872091,Na,1
河口,0.4388271354545351,Nc,2
紅橋,0.4384965624990062,Nc,1
花東,0.4384523469800084,Nc,1
阿狗,0.4114632683274394,Na,1
白活,0.4042183795800757,Nb,1
仙境,0.4042183795800757,Nc,1
中山,0.3885109125121688,Nb,1
野餐,0.3804550063296638,VA,1
肉包,0.375076757081419,Na,2
奇石,0.35812797419971193,Na,1
公路橋,0.3534702263101139,Na,1
峭壁,0.35344241296941925,Na,1
高水準,0.3467185185666665,Na,1
泛舟,0.3265756230254718,VA,2
日出,0.3232403952228066,VA,1
划船,0.3193751959015916,VA,1
橋區,0.31880901079335966,Nc,1
人煙稀少,0.315746264948729,Na,1
天然,0.3117960035323418,A,1
海灘,0.3085755313933579,Na,1
駐車場,0.3085755313933579,Nc,1
腳步,0.30231908156245624,Na,1
療癒,0.30231908156245624,VC,1
寧靜,0.30231908156245624,VH,1
外海,0.29330023474121864,Nc,1
河面,0.29330023474121864,Na,1
釋迦,0.28344101665807503,Nb,1
悲劇,0.28344101665807503,Na,1
台東,0.28254018620239496,Nc,3
攻擊性,0.27219883390348115,Na,1
深山,0.27219883390348115,Na,1
瀑布,0.2604343043923532,Na,1
階段,0.2591650117722788,Na,1
老弱婦孺,0.2591650117722788,Na,1
海邊,0.2591650117722788,Na,1
衝浪,0.2591650117722788,VA,2
年份,0.23980741733369657,Na,1
拱型,0.23967388224012995,Na,2
吉田,0.23466360877275275,Nb,5
工程師,0.23466360877275275,Na,2
健行,0.23104245537949591,VA,1
猴群,0.23104245537949591,Na,1
泰源,0.22741436999484615,Nb,2
溪流,0.2091742718868707,Na,2
河流,0.2041639984194935,Na,2
車流,0.18366941521473135,Na,2
自然,0.18253266049632216,VH,2
東河鄉,0.1758501904622675,Nc,1
現代感,0.1758501904622675,Na,1
古味,0.1758501904622675,Na,1
休憩區,0.1758501904622675,Nc,1
下游,0.16429256238834675,Nc,2
文建會,0.16429256238834675,Nc,2
隧道,0.15347152404108344,Na,1
豪雨,0.15347152404108344,Na,1
近海,0.15347152404108344,Nc,1
老橋,0.15347152404108344,Nc,1
古橋,0.14806706651345067,Nc,1
拱形,0.14806706651345067,Na,1
斗拱墩,0.14806706651345067,Na,1
日本,0.14806706651345067,Nc,2
東新,0.14806706651345067,Nb,1
皮划艇,0.14806706651345067,Na,1
遊樂園,0.14806706651345067,Nc,1
衝浪人,0.14556905999737801,Na,1
海景,0.14556905999737801,Na,1
浪潮,0.14556905999737801,Na,1
吉田橋,0.14431913377150626,Nc,2
帝王石,0.14431913377150626,Na,2
部落,0.14431913377150626,Nc,2
趣味,0.10505873892432574,Na,1
橋樑,0.10505873892432574,Na,1
課長,0.10505873892432574,Na,1
花蓮縣,0.10505873892432574,Nc,1
海岸,0.10505873892432574,Nc,3
旅遊網,0.10505873892432574,Na,1
東富,0.10505873892432574,Nb,1
富里鎮,0.10505873892432574,Nc,1
日本籍,0.10505873892432574,Na,1
日落,0.09183470760736567,VA,1
交界處,0.09183470760736567,Nc,1
人口,0.09183470760736567,Na,1
新東河橋,0.09183470760736567,Nc,1
樹叢,0.09183470760736567,Na,1
縣政府,0.07215956688575313,Nc,1
檜木,0.07215956688575313,Na,1
水泥橋,0.07215956688575313,Na,1
溪谷,0.07215956688575313,Na,1
火山,0.07215956688575313,Na,1
石灰,0.07215956688575313,Na,2
鋼樑,0.07215956688575313,Na,1
耶馬溪,0.07215956688575313,Nc,1
臺東廳,0.07215956688575313,Nc,1
角礫岩,0.07215956688575313,Na,1
鋼筋,0.07215956688575313,Na,1
橋塔,0.07215956688575313,Na,2
橋頭,0.07215956688575313,Nc,1
風光明媚,0.07215956688575313,VH,1
暴風,0.07215956688575313,Na,1
新舊,0.07215956688575313,Na,1
技師,0.07215956688575313,Na,1
弧狀,0.07215956688575313,Na,1
崗哨,0.07215956688575313,Na,1
導覽圖,0.07215956688575313,Na,1
地質,0.07215956688575313,Na,1
土木課,0.07215956688575313,Nc,1
吉田一之,0.07215956688575313,Nb,1
南段,0.07215956688575313,Nc,1
北段,0.07215956688575313,Nc,1
出海處,0.07215956688575313,Nc,1
不遠處在,0.07215956688575313,Nc,1
鐵索,0.07215956688575313,Na,1
