words,tfidf,pos,freq
櫻花,25.777377476911823,Na,147
公園,9.010692970302141,Nc,45
樂活,6.07496304364678,Na,24
步道,5.708416747248276,Na,24
拍照,5.482115752467532,VB,24
櫻花季,5.3465991674088365,Na,16
東湖,4.168891769312376,Nc,35
散步,3.9466288539674066,VA,9
寒櫻,3.843750564390116,Na,16
八重櫻,3.177226822186482,Na,14
內溝溪,2.3557327134154935,Nc,10
綠繡眼,2.0957770470603565,Na,4
櫻花林,2.0830596268174606,Na,9
花季,1.804566345170275,Nd,21
花期,1.732397332286002,Na,7
台北,1.392002221361602,Nc,5
東湖站,1.3225148449280186,Nc,7
櫻花樹,1.3204854198543248,Na,4
茂盛,1.1759644932814932,VH,4
內湖,1.1570506636862479,Nc,4
野餐,1.084792525923665,VA,4
夜景,1.0,Na,1
清幽,1.0,VH,1
陽明山,0.924605951837942,Nc,1
壯觀,0.9137691157605559,VH,3
櫻木,0.820937196364115,Na,1
綠芽,0.8141600504802746,Na,3
拍攝,0.7741305124269247,VC,2
粉粉,0.7450429110132165,Na,1
女友,0.7165002025014252,Na,1
櫻花花,0.7003486485705014,Na,1
花苞,0.694855784202278,Na,2
梅花,0.6660143653372415,Na,1
健行,0.6643462094947308,VA,2
商家,0.6540447340252038,Na,3
點燈,0.6392689183475457,VA,3
草地,0.6087750908941149,Nc,1
日本,0.5823328844550015,Nc,3
親民,0.5773502691896257,VH,1
樱花林,0.5773502691896257,Na,1
分區,0.5728096671459948,Nc,2
五分埤,0.5186684740807682,Nc,3
生命力,0.5169300000027298,Na,1
節奏感,0.5169300000027298,Na,1
吉野櫻,0.5167411878969073,Na,2
草坪,0.4828309693530769,Na,2
賞櫻趣,0.4694009314808899,Na,1
過年,0.4684888466199026,VA,2
間隙,0.45538979851000266,Na,1
觀景地,0.44865647041120543,Nc,1
嘟嘟房,0.44497050859416526,Nb,3
邊緣,0.4428527104747975,Nc,1
輪椅族,0.435674346221893,Na,1
客戶,0.4234550320024812,Na,1
生態,0.4212139335608097,Na,3
花民,0.41948940326983214,Na,1
格調,0.41948940326983214,Na,1
溝渠,0.4193939086553079,Na,1
停車區,0.4189414758916116,Nc,1
大都會,0.41493215945033546,Nc,1
浪漫,0.40677696693308385,VH,2
爬山,0.4064530103665192,VA,1
熱鬧,0.4040466888532996,VH,3
騎車,0.4040110701036326,VA,2
路障,0.3851204135119355,Na,1
文湖線,0.38400464514479327,Na,2
櫻林,0.3814159129039448,Na,1
腳步,0.3814159129039448,Na,1
昭和櫻,0.38010012658065195,Na,2
內溝,0.3783759351892942,Na,11
攤販,0.37307429472002956,Na,1
吃食,0.37307429472002956,Na,1
勞工,0.3701204991957605,Na,1
體驗,0.3632201496349275,VC,1
台北市,0.34940654522619363,Nc,1
綠葉,0.3480840622990851,Na,1
遊人,0.34779485121569853,Na,1
銀髮族,0.34106516867845316,Na,2
大砲,0.33973760928705954,Na,1
悠閒,0.3336051689854229,VH,1
開花期,0.32956643172004785,Na,1
粉色,0.3220462103034634,Na,1
桃紅色,0.3220462103034634,Na,1
假日人,0.32168633990267265,Na,1
樂湖,0.32168633990267265,Nb,1
花矯,0.3204708718321205,Na,1
幹線,0.31577864830877966,Na,1
熱點,0.3121574335297687,Na,1
時日,0.3041694194251174,Na,1
溜滑梯,0.2987603358229238,VA,1
遊樂,0.2987603358229238,VA,1
約會,0.29614618462042447,VB,1
踏青,0.29614618462042447,VA,1
林道,0.2948468572253573,Na,1
体力,0.27110857614390643,Na,1
景覲,0.27110857614390643,Na,1
京都,0.2672594464053302,Nc,1
鴨川,0.2672594464053302,Nc,1
鳥友,0.2572485655062163,Na,1
深色,0.2515009018997347,Na,1
淺色,0.2515009018997347,Na,1
重櫻,0.2480893569833129,Na,15
市場,0.2480883499651231,Nc,1
榕樹,0.24141548467653845,Na,1
福爾摩沙,0.2289462823620979,Nc,2
境界,0.22522769824198582,Na,1
背後,0.22298863175657044,Nc,1
左岸,0.21342280567987043,Nc,1
戲劇,0.1980211615171008,Na,1
鼻子,0.1980211615171008,Na,1
公寓,0.1980211615171008,Na,1
大廈,0.1980211615171008,Na,1
汐止,0.18976757152505883,Nc,2
放風,0.1885714153598619,VA,1
附件,0.1885714153598619,Na,1
粉紅色,0.18842208176472122,Na,1
花朵,0.18842208176472122,Na,1
寒櫻區,0.17882250038242778,Nc,1
涼庭,0.17882250038242778,Nc,1
溪岸,0.17882250038242778,Nc,1
草皮,0.1762831262104821,Na,2
樂康,0.17414057073409187,Nb,2
層次,0.1689658118412882,Na,1
興致,0.1689658118412882,Na,1
椿寒櫻,0.15681691097555836,Na,1
背心,0.14815573182594838,Na,1
背板,0.14815573182594838,Na,1
莊園,0.12217229414785506,Na,1
速食店,0.12217229414785506,Nc,1
佳佳,0.12217229414785506,Nb,1
餐飲店,0.12217229414785506,Nc,1
海神,0.12217229414785506,Na,1
肯德基,0.12217229414785506,Nc,1
一之軒,0.12217229414785506,Nc,1
水餃,0.12217229414785506,Na,1
創義麵,0.12217229414785506,Nb,1
內用區,0.12217229414785506,Nc,1
停車塔,0.1150814180739932,Na,1
內湖線,0.1150814180739932,Na,1
南湖,0.1150814180739932,Nc,1
夜櫻祭,0.1150814180739932,Na,1
東湖路,0.1150814180739932,Nc,1
滄海桑田,0.08814156310524104,Na,1
掛齒,0.08814156310524104,Na,1
瓣膜,0.08814156310524104,Na,1
櫻花界,0.08814156310524104,Nc,1
自然,0.08814156310524104,VH,1
心臟,0.08814156310524104,Na,1
幼兒所,0.08814156310524104,Nc,1
富人,0.08814156310524104,Na,1
人海,0.08814156310524104,Na,3
山莊,0.08707028536704593,Nc,1
康樂街,0.08707028536704593,Nc,1
溪景,0.08707028536704593,Na,1
瓏山林,0.08707028536704593,Nb,1
生態館,0.08707028536704593,Nc,1
鳥區,0.08707028536704593,Nc,1
