words,tfidf,pos,freq
diy,21.549338493417146,FW,9
體驗,6.959504973081777,VC,29
拍照,6.642605420580136,VB,40
藝術,5.957027819906469,Na,36
馬賽克,3.6688576260435144,Na,19
工藝,3.601404834848364,Na,21
手作,3.282810173515274,Na,15
交趾陶,2.736715340706228,Na,16
童趣,2.185837434292342,Na,5
陶藝,2.1544028342538706,Na,13
剪黏,2.1412264006353507,Na,13
板陶窯,1.997143659791563,Na,11
磁磚,1.9782129557334087,Na,7
藝品,1.7465506898067438,Na,9
彩繪盤,1.6765036215803895,Na,2
動物,1.5423521682521018,Na,9
陶瓷,1.476500735247961,Na,6
導覽,1.4694935836277199,VC,6
溜滑梯,1.4164557829704587,VA,5
貓咪,1.3554252080132114,Na,5
恐龍,1.3537254320599164,Na,6
遊樂,1.2594684263631075,VA,5
遛小孩,1.2218417652325138,VA,2
交趾,1.114659132548167,Nc,23
傳統,1.0578051166198388,VH,11
手工,1.0100158624211888,Na,8
蘑菇,1.0,Na,1
古色古香,1.0,VH,1
陶窯,0.9975578134817167,Na,17
紀念品,0.9849378280902021,Na,7
協力車,0.9799929529004757,Na,4
拍照點,0.8399381023119188,Na,1
陶土,0.8363388894214558,Na,3
火鍋,0.8344978170622329,Na,4
旅遊區,0.8278418017752225,Nc,1
彩盤,0.812538677992732,Na,1
陶板燒,0.7849903221077338,Na,2
藝術品,0.7668524585405905,Na,6
兄弟,0.7661538184199863,Na,1
板陶,0.7480246899644929,Na,15
陶製品,0.7327384525633166,Na,1
好字,0.7284424448954668,Na,1
廟宇,0.7156461466831958,Na,10
放電,0.6737869958429256,VA,2
麻油,0.653564237427052,Na,2
文化,0.629321523016793,Na,5
手做,0.625020762864053,Na,1
涼爽,0.6240695728139068,VH,1
阿公,0.6081751155573328,Na,1
孫子,0.6081751155573328,Na,1
新港,0.5778253909552635,Nc,5
手工藝,0.5723204952196976,Na,2
餐費,0.564116069851433,Na,2
寧靜,0.5571841008108943,VH,1
鄉下,0.5571841008108943,Nc,1
繪畫,0.5566070775488988,Na,1
鳥笛,0.5538747505424194,Na,1
農村,0.548793460940723,Nc,2
紀念,0.540793024422634,VJ,9
魚池,0.5262267529296382,Nc,2
