words,tfidf,pos,freq
散步,20.10950480096319,VA,82
水舞,8.81375322581659,Na,46
柳川,8.65879328800797,Na,68
聖誕,6.7052327281235735,Nd,51
步道,6.3820840419619005,Na,30
燈會,5.301652051875868,Na,17
水岸,5.191505302190812,Nc,33
夜景,3.8909663723475663,Na,5
河道,3.8904032776232125,Na,11
水舞秀,3.425299620126083,Na,13
悠閒,3.2725028352765726,VH,12
台中市,3.2194079022980366,Nc,17
拍照,3.2096663459888486,VB,13
河川,2.5496060283345487,Na,10
約會,2.1733995936684587,VB,4
表演,2.0613067726716645,VC,8
藝術,2.0330403678387454,Na,12
浪漫,1.733298012837957,VH,6
市場,1.7103582542876263,Nc,7
愜意,1.5422162598093263,VH,4
燈光秀,1.4950164697645307,Na,7
公園,1.256656544678679,Nc,7
夜市,1.2311068728393664,Nc,7
中區,1.2074144121755614,Nc,8
臺中,1.0576266946595796,Nc,3
魚兒,1.033304453095568,Na,7
燈光展,1.0209620800715238,Na,3
秋紅谷,1.0,Nc,1
中華路,0.9987870657860579,Nc,5
嘉年華,0.9783379226734457,Nb,5
耶誕城,0.9758794045215802,Nc,2
寧靜,0.9740250263769074,VH,4
燈火,0.9660011278694709,Na,3
熱鬧,0.9438753546252437,VH,4
點燈,0.9277249747907395,VA,5
植物,0.9137971386661045,Na,4
韓國,0.8831192826603954,Nc,4
夕陽,0.8565683503542487,Na,2
騎車,0.847347812487402,VA,4
體驗,0.8210610801494509,VC,3
污水,0.8102559286106521,Na,3
晚飯,0.8063487696663184,Na,1
自然,0.73024324090441,VH,3
虎貓,0.7244231230021906,Na,2
美術館,0.7071067811865476,Nc,1
柳橋,0.7051514527778363,Na,7
遮避物,0.6814454253029134,Na,1
京都,0.6538847974613184,Nc,3
灯會,0.6520201516531764,Na,1
舒福,0.650401691501737,Nb,1
綠樹,0.6419402533807999,Na,3
歷史,0.6350815639134036,Na,2
水獺,0.630859046334164,Na,2
清幽,0.627467414784903,VH,2
河床,0.615197263024527,Na,1
清涼,0.615197263024527,VH,1
清溪川,0.590471468318812,Nc,2
生態,0.5778431360786509,Na,3
中港,0.5773502691896257,Nc,1
台中版,0.5773502691896257,Na,1
大排,0.5773502691896257,Na,1
祥園,0.5773502691896257,Nc,1
水舞間,0.5750270271975662,Na,1
蟲子,0.5542668931863907,Na,1
