words,tfidf,pos,freq
拍照,6.31528629027359,VB,30
花彩節,5.559347533005492,Nd,39
花海,4.277822878801649,Na,25
大溪,3.8902522480495847,Nc,30
月眉,3.4109900981650583,Nc,28
散步,3.005779885796627,VA,10
燈光秀,2.6468628538249894,Na,8
花田,2.5748337406681525,Na,18
桃園,2.3254720679895726,Nc,19
老街,1.8458286080756785,Nc,14
表演,1.8123006730566427,VC,7
圖騰,1.3773611667589805,Na,10
花季,1.319367472155398,Nd,5
古宅,1.3148083891484714,Na,9
李騰芳,1.2785867728279283,Nb,10
藝術,1.2217274796377016,Na,9
光雕秀,1.1339838211051732,Na,5
外星人,1.0175230381288225,Na,4
動向,1.0,Na,1
落羽松,0.9901974943887766,Na,6
花彩,0.979339145539371,Na,43
波斯菊,0.9583945440437016,Na,4
花開滿滿,0.94815887923716,Na,2
空拍機,0.9223465276674081,Na,4
圖案,0.9191795302675101,Na,4
古蹟,0.8943654703465957,Na,5
花色,0.8492802518696352,Na,2
古厝,0.8470158460720508,Na,5
踏青,0.8371983114304082,VA,3
空拍,0.8296800362930836,Na,7
花種,0.7898147233397388,Na,2
農民,0.7879864687982217,Na,4
濕地,0.7818427827063863,Na,4
拍攝,0.7751484582308197,VC,3
攤販,0.7563317513691437,Na,3
山豬湖,0.7463354952702583,Nc,5
市集,0.7453295624512585,Na,4
悠閒,0.7375428168397518,VH,3
花美人,0.7299459843667484,Na,1
清新,0.7071067811865475,VH,1
壯觀,0.6987488694189221,VH,5
攤位,0.6777065183170177,Na,4
生態,0.6729849931107363,Na,5
農業區,0.6562611349315217,Nc,5
空礦,0.6221290412407284,Na,1
放電,0.5925985244851197,VA,1
孩兒,0.5925985244851197,Na,1
桃園市,0.5880861775872332,Nc,2
中庄,0.583670734234254,Nc,2
吊橋,0.583670734234254,Na,2
主展場,0.5754192384238526,Nc,2
展覽,0.5738898433888182,VC,3
主展區,0.5640869311950734,Nc,4
步道,0.5387905458231567,Na,3
副展區,0.5384338579484396,Nc,4
曬太陽,0.5270138643968477,VA,1
月眉路,0.5132032407926391,Nc,5
果園,0.505984058662373,Nc,2
展場,0.4791909997167006,Nc,5
花牆,0.47913030655276345,Na,1
田野,0.47838252232666606,Nc,1
花朵,0.4763939976184318,Na,3
香味,0.45812742194453804,Na,1
桂花,0.45812742194453804,Na,1
機車位,0.45703001308813884,Na,1
登高,0.4524628241707583,VA,2
維生素,0.44801519879882545,Na,1
花宇奇航,0.4397605220942342,Nb,3
種子,0.4387990936830738,Na,1
雛菊,0.4387990936830738,Na,1
競賽,0.4291365130291496,Na,3
點數,0.42770413029134174,Na,3
太空梭,0.41522933189313205,Na,2
光芒,0.4106429765394308,Na,1
光雕,0.4106429765394308,Na,6
ubike,0.4104570836943514,FW,1
花宇,0.41013849999937835,Nb,6
奇航,0.41013849999937835,Nb,6
繡球花季,0.40784296943209486,Na,1
短期,0.3990760728995651,Na,1
驚艷感,0.39658792681616306,Na,1
棚架,0.3889573113335207,Na,1
圖面,0.38133505190238953,Na,1
花x節,0.37838852624284147,Na,1
豆干,0.3692345215589953,Na,3
歷史,0.368955044036379,Na,2
文化,0.368955044036379,Na,2
夕陽,0.36105307818795646,Na,1
莊笑唯,0.34196466117241153,Nb,1
騎車,0.3366818103981289,VA,2
花草,0.33649439847790386,Na,3
人文,0.3355970089605186,Na,1
蒜香藤,0.32787246215001775,Na,1
鄉下,0.3157660126373035,Nc,1
花圃,0.30669430577396417,Nc,3
花海種,0.2994067441116351,Na,1
綠肥,0.2944697343091017,Na,2
配角,0.29346861605959046,Na,1
鄰家,0.29346861605959046,Nc,1
主角,0.29346861605959046,Na,1
農產品,0.2908707173431771,Na,1
單行道,0.2907177267379232,Nc,3
花區,0.2864377146991582,Nc,1
空檔,0.28402043597078985,Na,1
花展,0.28402043597078985,Na,1
交管,0.279036297884276,Na,1
章法,0.279036297884276,Na,1
語氣,0.2745850169222724,Na,2
樂器,0.26944779259106594,Na,1
涼爽,0.26462220680200393,VH,1
古道,0.25811113094365823,Na,2
豐禾,0.2529920293311865,Nb,1
平台,0.24615634770599684,Na,2
草花,0.2375328312815661,Na,1
生態池,0.2336666665320335,Na,1
產業道路,0.2336666665320335,Na,1
造形,0.23309076919193217,Na,1
兒童椅,0.23055462513774638,Na,1
地景區,0.23055462513774638,Nc,1
瞭望台,0.23055462513774638,Nc,1
耶誕城,0.2144340628940796,Nc,1
藝術節,0.2144340628940796,Nd,1
新北,0.2144340628940796,Nc,1
緣之屋,0.20562841879391394,Na,1
英國,0.20562841879391394,Nc,1
橋頭,0.20562841879391394,Nc,1
武嶺橋,0.2054849514053549,Nc,2
拍照點,0.20200233002616144,Na,1
鄉村,0.19944454061677375,Nc,1
閘口,0.19944454061677375,Na,1
健行,0.19944454061677375,VA,1
晶喜,0.19783334095211286,Nb,1
自家,0.19783334095211286,Nc,1
傳統,0.19457937682899645,VH,1
悠久,0.19457937682899645,VH,1
二級,0.19457937682899645,Na,1
思維,0.19457937682899645,Na,1
雲層,0.18985201531736803,Na,1
煙花,0.18379894004960468,Na,1
