words,tfidf,pos,freq
體驗,4.5893472517950515,VC,20
生態,2.4238404462421004,Na,16
螢火蟲,1.1034603966539638,Na,10
溪水,0.9544098485150943,Na,3
導覽,0.8971683346467152,VC,7
大自然,0.7963454806481678,Nc,2
生態區,0.6749287989239573,Nc,1
桃源,0.5222041667547999,Nc,3
diy,0.4168570228415485,FW,0
青蛙粿,0.41594755219749335,Na,1
農村,0.40306815896020676,Nc,2
螢況,0.3902604664287074,Nb,1
教學,0.36009949897489374,VA,1
思維,0.3218956279271513,Na,1
趣味,0.3218956279271513,Na,1
自家,0.285496687765484,Nc,1
桃米村,0.28284808704965886,Nc,1
果凍,0.2609684959057851,Na,1
網子,0.25730895246776786,Na,1
孩童,0.23182151120835554,Na,1
蛙類,0.2134292025428424,Na,1
植物,0.15606516947654467,Na,1
生態環境,0.15606516947654467,Na,1
蝴蝶,0.15606516947654467,Na,1
青竹絲,0.15606516947654467,Na,1
鳳梨,0.13895234094718284,Na,1
農業,0.13895234094718284,Na,2
農事,0.13895234094718284,Na,1
茭白筍,0.13895234094718284,Na,1
紙燈,0.13895234094718284,Na,1
紙農,0.13895234094718284,Na,1
書院,0.13895234094718284,Nc,1
玩法,0.13895234094718284,Na,1
手作,0.13895234094718284,Na,1
埔里,0.13895234094718284,Nc,1
嘉寶,0.13895234094718284,Nb,1
南投,0.13895234094718284,Nc,1
果果醬,0.13895234094718284,Na,1
福同宮,0.12174077684080183,Nc,1
願景,0.12174077684080183,Na,1
銀髮,0.12174077684080183,Na,1
農業區,0.12174077684080183,Nc,1
茅屋,0.12174077684080183,Na,1
紙教堂,0.12174077684080183,Na,1
生態村,0.12174077684080183,Nc,1
暨南,0.12174077684080183,Nb,1
文教,0.12174077684080183,Na,1
文化,0.12174077684080183,Na,1
協會,0.12174077684080183,Nc,1
佳原,0.12174077684080183,Nb,1
漁蝦,0.10962517863586219,Na,1
班長,0.10962517863586219,Na,1
講解員,0.10962517863586219,Na,1
下車點,0.06621030180777496,Na,1
回程車,0.06621030180777496,Na,1
接駁組,0.06621030180777496,Nc,1
東勢,0.06621030180777496,Nc,1
林場,0.06621030180777496,Nc,1
福斯,0.06621030180777496,Nb,1
