words,tfidf,pos,freq
玩水,14.286620557136555,VA,62
公園,4.848179674798638,Nc,24
戲水,3.604431948894632,VA,23
水池,3.4758654697325935,Na,22
放電,3.125723211012262,VA,9
更衣室,2.452880961370278,Nc,11
消暑,2.1454818925114805,VA,6
生態,1.725043914515434,Na,6
埔里,1.6019966700129926,Nc,9
親水區,1.3971058459242691,Nc,3
山泉水,1.2872377827763184,Na,6
池水,1.2850174724566945,Na,4
清涼,1.2453659506950214,VH,3
防護,1.1560501623739068,Na,4
腳踝,1.0798717717194666,Na,4
盥洗室,1.0341687988846422,Nc,4
溜滑梯,1.0030697790566514,VA,7
戲水區,0.9586829967976424,Nc,2
戲水池,0.9209414701407665,Na,5
南投,0.9130776959749898,Nc,7
蝌蚪,0.9128704617983923,Na,4
泡腳池,0.8962786767038022,Na,2
星級,0.8949883409290444,Na,3
溪水,0.8878721269093248,Na,3
沖洗間,0.8032720875029793,Nc,2
草地,0.7986898228281014,Nc,2
樹葉,0.7865236188260176,Na,4
小朋,0.7331109893527292,Na,36
泳池,0.7121110281758762,Na,3
隱藏版,0.6837251727942658,Na,1
潔癖,0.6403556423448962,Na,3
野餐,0.6266089326704303,VA,4
p值,0.6187511105556113,Na,0
泥土,0.5980385125934571,Na,2
紀念品,0.572546331034846,Na,1
安全度,0.5616603813095697,Na,1
紙教堂,0.560021781185037,Na,2
泥沙,0.5465765655170303,Na,3
遛小孩,0.5462928569746984,VA,1
餐墊,0.5234362143349137,Na,2
水深,0.5011887176773144,Na,2
人情味,0.47789439909140125,Na,1
更衣間,0.4743146484313385,Nc,2
水蛭,0.47329789124455013,Na,1
死水,0.4730570023180796,Na,1
廢棄區,0.46792275836846525,Nc,1
沈澱物,0.46194945283138134,Na,2
太太,0.4608795185053503,Na,1
衛浴間,0.453640376563322,Nc,1
顧成,0.4469083464035233,Nb,1
反應,0.42937264268244324,Na,2
老板,0.4282004050432497,Na,1
池塘,0.42715492586092857,Nc,1
蚊子館,0.4136828778697986,Nc,1
人龍,0.4119577668961508,Na,1
沖澡間,0.4119577668961508,Nc,1
遮陰處,0.4016814442441482,Nc,1
表演,0.39495426451193644,VC,2
體驗,0.38273960807195023,VC,2
步道,0.37613036091042495,Na,2
市集,0.3615631613770323,Na,2
紅豆冰,0.34379935849013077,Na,1
溪流,0.33450473210058285,Na,1
宣傳照,0.3333438020967734,Na,1
樂園,0.33118572310784145,Na,1
輪椅族,0.31928803540558354,Na,1
腳水,0.3191762709355382,Na,1
拍照,0.31821003829585287,VB,2
白眼,0.31396784065677474,Na,2
蝴蝶,0.3122297189520084,Na,1
硬幣,0.3066061406066716,Na,1
攤販,0.3029674100686124,Na,1
泡腳,0.2976221755724939,VA,3
身旁,0.2948357700247844,Nc,1
海生館,0.28673331253981893,Nc,1
鯨魚池,0.28673331253981893,Nc,1
莊園,0.28584308055071056,Na,1
小吃店,0.283117071317202,Nc,1
洗澡間,0.2822201176741849,Nc,1
四年級,0.2822201176741849,Na,1
山區,0.27605125068271286,Nc,1
沉澱物,0.2612736760689999,Na,2
水底,0.25862201702053755,Na,1
