words,tfidf,pos,freq
蜜餞,33.273421458291125,Na,207
diy,15.95185403821827,FW,7
伴手禮,15.838390463037147,Na,56
金棗,12.18282733510273,Na,128
金棗茶,12.109064635272064,Na,53
宜蘭,10.351138756818987,Nc,62
金桔,10.240572086422318,Na,62
體驗,9.837312812962468,VC,40
手作,6.27094575276525,Na,22
金橘,5.780281591989896,Na,29
拍照,5.078800538939162,VB,18
金桔茶,4.3436401193478,Na,15
金橘茶,3.3945916299521834,Na,7
天然,2.6708936202788456,A,10
橘之鄉,2.2482294086499417,Na,14
購物,2.2030657273669942,VA,13
喉嚨,2.1508028190309614,Na,5
博物館,1.8566238713671028,Nc,3
導覽,1.7743297677233971,VC,8
金佶,1.7733386622128384,Nb,3
下午茶,1.7053942873158348,Na,9
形象館,1.6800408083723233,Nc,14
果乾,1.6222984339672724,Na,8
梅子,1.4793560418294396,Na,3
蜜棗,1.4469285973356012,Na,2
悠閒,1.4158657305123632,VH,5
手工,1.3596753500672543,Na,5
茶飲,1.3514702456059555,Na,5
品項,1.2951388210883668,Na,5
產線,1.2698408612810335,Na,4
金吉,1.124248136771173,Nb,6
酸桔,1.081509669214832,Na,2
鴨賞,1.0056860832368524,Na,2
密餞,1.0006822787876197,Na,2
橘屋,1.0,Nb,1
戰利品,1.0,Na,1
桔茶,0.9976273037303123,Na,20
洛神,0.9244316577994984,Nb,3
成就感,0.9015603135857116,Na,2
功夫,0.8981246623853227,Na,1
散步,0.8913812042855527,VA,1
海帶芽,0.8908896927316552,Na,2
土產,0.8894073234556847,Na,2
門市,0.8819829276318589,Nc,3
玻璃屋,0.8748924333553016,Na,4
廠區,0.8738232076799555,Nc,2
橘茶,0.8664598625586041,Na,9
歐風,0.8661206783569804,Na,2
蜜餞類,0.840470778260999,Na,3
教學,0.8295838849920889,VA,4
香氣,0.8118366666830259,Na,3
老少咸宜,0.8071912006193986,VH,2
農產品,0.7886860416002638,Na,1
海景,0.7881486541977982,Na,1
牛舌餅,0.7875676423203236,Na,2
防腐劑,0.7815488518810622,Na,2
乾果,0.7765702509361039,Na,1
産品,0.7765702509361039,Na,1
蜜蜂,0.7732972175138394,Na,4
文化,0.7618735836945965,Na,7
蜜餞館,0.7544562668925672,Nc,2
台北,0.7525064235771619,Nc,1
商店,0.7496568344914625,Nc,3
粽子,0.7412083844829185,Na,1
停靠站,0.7379400697330311,Nc,1
印象館,0.7339053928913352,Nc,1
販售點,0.710641022369316,Nc,1
南部人,0.6870309902459805,Na,1
花茶,0.6837498578010945,Na,1
金棗類,0.6765010510466544,Na,1
金柑,0.6501212402876568,Na,2
金桔醬,0.6451132892375419,Na,1
拌手禮,0.6348350921610799,Na,2
廠家,0.6275161793999277,Na,2
生津,0.6175955744074084,Nc,4
