words,tfidf,pos,freq
部落,9.013948064304302,Nc,56
武界,6.244408828782446,Nc,54
瀑布,4.76916268462975,Na,29
雲海,3.048283874249272,Na,14
南投,2.59166928087641,Nc,15
世外桃源,2.531204012412914,Na,5
原住民,2.252163348202401,Na,9
吊橋,1.7342840536133182,Na,12
摩摩納爾,1.6311743682835949,Nb,11
體驗,1.5962846578234906,VC,6
仙境,1.5773502691896257,Nc,2
寧靜,1.5509075318202572,VH,2
自然,1.4035336875205793,VH,9
埔里,1.1785962850561749,Nc,4
河床,1.1712552202693247,Na,7
步道,1.1195627652813573,Na,5
布農族,1.1010675533705543,Nb,5
雲瀑,1.0849697997965908,Na,2
櫻花,1.0693059333859312,Na,8
仁愛鄉,1.048435644385492,Nc,4
山谷,1.0109552012418772,Na,2
日出,0.983602871209619,VA,5
秀麗,0.9704320501112638,VH,2
南投縣,0.9064502882808786,Nc,3
清新,0.9003541412394813,VH,3
露營,0.8744220570474674,VA,3
好漢坡,0.8405229543990582,Nc,5
武界壩,0.8332351758118361,Nc,5
村莊,0.8229109856996472,Nc,1
龍紋石,0.7999499794958782,Na,4
爬山,0.793309897576055,VA,2
祕境,0.7919905864935846,Nc,2
山林,0.7836069975745419,Nc,1
山明水秀,0.7739085045684205,VH,1
深山,0.7645898794006192,Na,2
大自然,0.7616559008839674,Nc,4
玩水,0.7280602605737996,VA,2
濁水溪,0.7167587048981398,Nc,4
氫鬆,0.7071067811865475,Na,1
滿江紅,0.6969368846411486,Na,4
風景區,0.6811263429205869,Nc,2
山美,0.6120322395145662,Nb,1
法治,0.5778516106780791,Na,3
一絕,0.5764313628096959,Na,1
涉溪,0.5574968330590016,Nc,1
人情味,0.5485013183184595,Na,2
表演,0.545667901717225,VC,2
馬告,0.5376392597593713,Nc,2
溪水,0.5288553135848499,Na,2
高山,0.5237236188396757,Na,3
地盤,0.5,Na,1
部落區,0.49393437205254026,Nc,1
梅花,0.49393437205254026,Na,1
山區,0.48576890367989367,Nc,1
曲冰,0.4846724753197228,Nb,2
界壩,0.47923962738145126,Na,6
天武,0.47923962738145126,Nb,1
產業道路,0.4696230108357518,Na,1
武界橋,0.4696230108357518,Nc,1
廂型車,0.4627630464567946,Na,1
日月潭,0.4511002906687456,Nc,3
原始,0.4508400623698944,VH,4
車埕,0.4472135954999579,Nc,1
元首館,0.4472135954999579,Nc,1
布農,0.4425606102661324,Nb,6
靈魂,0.4404806079278245,Na,1
愜意,0.4279347205467148,VH,1
度假,0.4263736412748232,VA,1
山巒,0.4086336857412057,Na,1
山景,0.4025775088496172,Na,2
脾氣,0.3924863465830424,Na,1
辣椒,0.3905849368150352,Na,1
腳步,0.38765927035865494,Na,1
歌舞,0.3855478318775383,Na,2
孫女,0.3749060576418805,Na,1
拉拉米斯,0.37192603817180714,Nb,2
平地,0.3667204143812566,Na,2
泰雅族,0.35583215894909814,Nb,3
清涼,0.35460035552096003,VH,1
鬼斧神工,0.35111636257115586,VH,1
水庫,0.3463719335242409,Na,2
好朋友,0.3440537393603622,Na,1
山水,0.3440537393603622,Na,2
偏鄉,0.3382401802624061,Nc,1
愛心,0.3382401802624061,Na,1
套裝,0.3328705835113162,Na,1
晚會,0.3328705835113162,Na,1
宵夜,0.3328705835113162,Na,1
市集,0.3287325574851721,Na,2
仁愛,0.31711737899197445,Na,6
湖泊,0.3168800631199547,Na,1
雄偉,0.3168800631199547,VH,1
瀑布群,0.31634106298840303,Na,1
健走,0.31634106298840303,VA,1
山泉水,0.31634106298840303,Na,1
高海拔,0.3160345375806172,Na,1
藻類,0.3042789942612277,Na,1
溪𥚃,0.2977043455496275,Na,1
托鞋,0.2977043455496275,Na,1
茶莊,0.2966091084733556,Nc,1
終身,0.2966091084733556,Na,1
夢雲,0.2966091084733556,Na,1
牛奶湖,0.29195324203153267,Nc,1
山地,0.29195324203153267,Nc,1
商家,0.29195324203153267,Na,1
武界霸,0.281145052795634,Nc,1
茶園,0.28057792517514235,Nc,2
山櫻花,0.2789908885079954,Na,2
櫻花季,0.2729383579001547,Na,2
山山水水,0.2640651616040606,Na,1
風光明媚,0.2640651616040606,VH,1
潔淨度,0.25675113329868443,Na,1
男女,0.25675113329868443,Na,1
原民風,0.25675113329868443,Na,1
山泉,0.2559803667858831,Na,2
朔溪鞋,0.2559803667858831,Nb,1
林蔭路,0.2559803667858831,Nc,1
悠閒,0.25415295204619986,VH,2
麥克風,0.2520177065478125,Na,1
蕓蘆,0.24658269652739825,Na,1
來客,0.23836370781931976,Na,1
景點區,0.23836370781931976,Nc,1
遺址,0.23836370781931976,Nc,1
楓彩,0.23772743714154013,Na,1
奧萬大,0.23772743714154013,Nc,1
事務,0.23598454388443835,Na,1
農作物,0.23598454388443835,Na,1
綠意盎然,0.2343830225949157,VH,1
芬多精,0.2343830225949157,Na,1
遼闊,0.2343830225949157,VH,1
拍照,0.22060269706261454,VB,1
怪石嶙峋,0.2057357598430472,Na,1
趣味,0.20263776767813457,Na,1
沙地,0.20263776767813457,Na,1
武巴,0.20263776767813457,Nb,1
巴庫拉斯,0.20263776767813457,Nb,1
單車,0.20263776767813457,Na,1
吉普車族,0.20263776767813457,Na,1
信義鄉,0.20041504152489062,Nc,1
地形,0.20041504152489062,Na,1
居住地,0.20041504152489062,Nc,1
峽谷,0.20041504152489062,Na,1
栗栖溪,0.20041504152489062,Nc,1
民族,0.20041504152489062,Na,1
清幽,0.19956837162669075,VH,1
人座,0.19956837162669075,Nc,1
平台,0.19956837162669075,Na,1
底盤,0.1904410178289909,Na,1
專車,0.1904410178289909,Na,1
森林,0.18663550301989662,Na,2
群山,0.18569764517248444,Na,1
皮蛋,0.18569764517248444,Na,1
昭和葉,0.18569764517248444,Nb,1
伴手禮,0.18569764517248444,Na,1
肥肉,0.18569764517248444,Na,1
色澤,0.18569764517248444,Na,1
高麗菜乾,0.18569764517248444,Na,1
蘋果乾,0.18569764517248444,Na,1
分褲,0.18318789441418593,Na,1
國語,0.18318789441418593,Na,1
日本話,0.18318789441418593,Na,1
私利,0.18318789441418593,Na,1
染劑,0.182966962849458,Na,1
大名,0.17169936702151867,Na,1
漢坡,0.17169936702151867,Nb,6
籃球,0.16682925864583198,Na,1
法治村,0.1642755457580846,Nc,1
引水道,0.1642755457580846,Na,1
魚嘴石,0.1642755457580846,Na,1
鐘乳石,0.1642755457580846,Na,1
石壁,0.1642755457580846,Na,1
壯觀,0.1642755457580846,VH,1
好漢波,0.1642755457580846,Nc,1
壩頂,0.1642755457580846,Nc,1
鳥語,0.16124173461264138,Na,1
登山,0.16124173461264138,VA,3
療癒,0.16124173461264138,VC,1
健行,0.16124173461264138,VA,1
原野,0.16124173461264138,Na,1
山野,0.16124173461264138,Nc,1
心胸,0.16124173461264138,Na,1
朔溪,0.16124173461264138,Nc,2
花香,0.16124173461264138,Na,1
話外之地,0.16124173461264138,Na,1
採收期,0.1605366583743044,Na,1
山頂,0.15778735314317802,Nc,1
輕風,0.15778735314317802,Na,1
茶樹,0.15778735314317802,Na,1
山澗,0.15778735314317802,Na,1
繡球,0.13646917895007735,Na,1
花季,0.13646917895007735,Nd,3
伯特利,0.13646917895007735,Nb,1
包套,0.13646917895007735,Na,1
天魚,0.13646917895007735,Na,1
文化,0.13646917895007735,Na,1
毛毛蟲,0.13646917895007735,Na,1
水管橋,0.13646917895007735,Na,1
瑪嵐,0.13646917895007735,Nb,1
莊園,0.13646917895007735,Na,1
蘭花,0.13646917895007735,Na,1
老公,0.13494231401181228,Na,1
目的地,0.13494231401181228,Nc,1
百香,0.11463307889611628,Na,1
閨蜜,0.11463307889611628,Na,1
重機車隊,0.11463307889611628,Na,1
車身,0.11463307889611628,Na,1
維他命,0.11463307889611628,Na,1
魚石,0.11463307889611628,Na,1
沙灘,0.11463307889611628,Na,1
晚餐,0.11463307889611628,Na,1
寬度,0.11463307889611628,Na,1
女人,0.11463307889611628,Na,1
美稱,0.1081709311487954,Na,1
搶獵區,0.1081709311487954,Nc,1
民風,0.1081709311487954,Na,2
涼爽,0.1081709311487954,VH,1
台北,0.1081709311487954,Nc,1
分界線,0.1081709311487954,Nc,1
