words,tfidf,pos,freq
櫻花,2.6924058198700314,Na,14
武陵,2.426842920965542,Nc,11
金針花,2.3449821907170345,Na,6
農場,1.0281255626603256,Nc,3
日本,1.0,Nc,1
覚櫻,1.0,Na,1
富貴,0.809285575349947,Na,1
櫻花季,0.7637960485225365,Na,3
老字號,0.7071067811865476,Na,1
樱花,0.5722362564021749,Na,1
山野,0.5668042604620798,Nc,1
捷克,0.5,Nc,1
露營區,0.4620609592378098,Nc,2
萬里,0.41414316237627224,Nc,1
一望無際,0.41414316237627224,VH,1
鬼針草,0.3857689435262064,Na,1
桃山,0.37796447300922725,Nb,1
壯觀,0.37796447300922725,VH,1
訪客,0.3394136587294384,Na,1
楓紅,0.33648284317433397,Na,1
秋裝,0.33648284317433397,Na,1
粉紅色,0.3337918211800928,Na,1
山脈,0.3337918211800928,Na,1
腰帶,0.3337918211800928,Na,1
青色,0.3337918211800928,Na,1
遺珠之憾,0.32753215689169507,Na,1
拍照,0.3189768881551053,VB,1
山林,0.29342730454193255,Nc,1
櫻花冠,0.21620399530373896,Na,1
賞花客,0.21620399530373896,Na,1
專車,0.1732611063228415,Na,1
遊園,0.1732611063228415,VA,1
桃子園,0.1732611063228415,Nc,1
