words,tfidf,pos,freq
漁港,16.907919618246964,Nc,134
永安,15.17028583129582,Nc,136
海螺,12.015774540589572,Na,160
拍照,9.630331515361373,VB,60
文化,8.766656759387871,Na,110
客家,7.676497657334819,Na,90
體驗,7.171040834398463,VC,64
夕陽,6.493464539531483,Na,30
海螺館,5.78101074057478,Nc,39
展覽,5.059029968880325,VC,41
海鮮,4.8469586855009394,Na,20
海景,4.474995949517361,Na,24
散步,4.419432958219275,VA,22
桃園,3.906319888347287,Nc,33
海邊,3.8605093248994136,Na,18
海風,3.543732172328241,Na,18
文化館,3.4539034802424133,Nc,22
藝術,3.2392748039874784,Na,33
悠閒,2.912902134962088,VH,9
海產,2.526142880887149,Na,12
蚊子館,2.4744032925194284,Nc,7
導覽,2.2601347037086588,VC,14
展館,2.2247855454759495,Nc,9
漁村,1.9256819606159934,Nc,12
海港,1.777981700986271,Nc,7
風鈴,1.7354933307529645,Na,14
曲線,1.636425895107943,Na,15
生態,1.6017670306954863,Na,8
步道,1.5809425396441412,Na,10
日落,1.5215680469282657,VA,6
放風,1.4948322223289008,VA,7
踏青,1.480810932547335,VA,3
海岸線,1.4607932192854964,Na,5
文物,1.4491496178787178,Na,7
遛小孩,1.4286561360014443,VA,3
展場,1.4071789340207554,Nc,4
市場,1.3743984813376777,Nc,10
魚市,1.3535674588131696,Nc,11
新屋,1.3071526125064692,Nc,16
線條,1.3049358773512456,Na,6
海岸,1.2801902168579904,Nc,10
設計感,1.2328459571602148,Na,5
漁業,1.2070012386783668,Na,9
遼闊,1.1976229621142225,VH,4
博物館,1.1788002476109558,Nc,4
平台,1.1723746959786867,Na,7
預算,1.1256674010986965,Na,4
歷史,1.1200116410250802,Na,9
市集,1.077754602870482,Na,4
休憩區,1.0718416235054633,Nc,2
山坡,1.0423444853449981,Na,4
寓教於樂,1.0294200265586453,VA,4
觀景台,1.0174883377232615,Nc,6
夜拍,1.0,Na,1
漁網網,1.0,Na,1
桃園市,0.9947680911516887,Nc,8
鸚鵡,0.9880534975278388,Na,6
漁民,0.9793715379377068,Na,5
草坪,0.9733127258917627,Na,4
vr,0.9677018833383724,FW,0
客家人,0.9671783462454135,Na,7
愜意,0.95722636392281,VH,5
涼爽,0.9466553762591128,VH,3
展覽館,0.9370134691642418,Nc,4
魚市場,0.8970885979932004,Nc,5
時尚,0.8866333181437975,Na,3
釣魚,0.8714248972578722,VA,2
中庭,0.8555763566048442,Nc,9
故事館,0.8385234215754973,Nc,7
內涵,0.8363272971225275,Na,2
魚港,0.8221456315272766,Nc,3
傳統,0.8075801393775959,VH,7
熱鬧,0.7836952671053,VH,2
藻礁,0.7679739804934204,Na,6
新人,0.7532916085170361,Na,3
避暑,0.752240188921434,VA,3
展覽室,0.7404442097896323,Nc,3
表演,0.7303369602428458,VC,2
警報器,0.7229754073460507,Na,3
漁市,0.7065768959586343,Nc,3
教學,0.7008935256691826,VA,2
菲爾,0.6812733876217777,Nb,1
西濱,0.6792911197888662,Nc,3
互動區,0.6766110257906186,Nc,2
蛋糕,0.6717918920004374,Na,2
油漆味,0.6705473235095062,Na,1
漁巿,0.6492677097372082,Nc,1
文化展,0.648688216707116,Na,1
觀海橋,0.6463046924982743,Nc,6
聲響,0.646253596422639,Na,6
風常,0.642048142149196,Na,1
石滬,0.6157907801354809,Na,5
吊橋,0.6110190378691356,Na,1
港景,0.5989763019506825,Na,1
公園,0.592348514003999,Nc,2
互動式,0.5895820889472398,A,2
文青照,0.5869010969190371,Nb,2
海客,0.5819554091655508,Na,8
藝術品,0.5794474618686262,Na,3
草原,0.5783393301634357,Na,3
新屋區,0.5761624298411882,Nc,5
風向儀,0.5761512160369593,Na,6
鹽漁業,0.566371950117276,Na,1
壯觀,0.5536925176057248,VH,1
療癒,0.5344821345332604,VC,3
美食區,0.5299257069834785,Nc,2
濕地,0.5285487926941584,Na,2
網拍,0.5266538153560123,Na,1
用餐區,0.5240533218835679,Nc,2
身後,0.5211000505323246,Nc,1
鮮貨,0.5199074239776412,Na,1
夜景,0.515259055647507,Na,2
石塭,0.49231169142986775,Nc,8
曲面,0.4913324707245994,Na,4
海天,0.4836864240289306,Na,3
草地,0.48223326416384416,Nc,2
週遭,0.47535696835536495,Nc,1
價碼,0.47257490859790563,Na,1
風景區,0.47257490859790563,Nc,1
騎車,0.47101567687132323,VA,2
拍攝,0.46245016702388375,VC,2
土丘,0.45387268769105393,Na,4
生魚片,0.44790979996880875,Na,1
水池,0.44587635259780395,Na,5
地質,0.44337966671393825,Na,2
主軸,0.4332194323342442,Na,2
金剛,0.42322779182429215,Na,3
英國,0.42100550467131925,Nc,1
海灘,0.41823752306890466,Na,1
草皮區,0.41744625341835384,Nc,2
廠館,0.4114959601727672,Nc,1
風車,0.4098842314534144,Na,1
政績館,0.408248290463863,Nc,1
肥燦,0.408248290463863,Nb,1
客博會,0.40207548809236054,Na,1
攝客,0.40181376846820815,Na,1
紅利,0.39751628105196135,Na,1
點數,0.39751628105196135,Na,1
海客祭,0.39751628105196135,Na,1
桃子,0.39751628105196135,Na,1
軟硬體,0.39328020522144225,Na,1
新港路,0.3924384317898911,Nc,3
白色系,0.3898052915199035,Nc,2
預算款,0.3896893515753242,Na,1
簡餐店,0.3831192390508642,Nc,2
事蹟館,0.3825826495676535,Nc,1
朝聖,0.37639015525752206,VA,3
漁船,0.3753263182981674,Na,2
沙丘,0.37438886333014587,Na,2
遺珠,0.37341254639619637,Na,2
雜草叢生,0.37341254639619637,VH,1
佛經,0.3719196612079201,Na,1
外海,0.3719196612079201,Nc,1
室內展,0.3719196612079201,Na,1
經文,0.3719196612079201,Na,1
瓷器,0.3719196612079201,Na,1
生具,0.36841457145976125,Na,1
