words,tfidf,pos,freq
花海,1.8445082617979445,Na,7
波斯菊,1.2531199287130759,Na,6
蘋果王,0.7071067811865476,Na,1
高山,0.6857938440040716,Na,2
福壽山,0.5528159929392231,Nc,2
拍攝,0.49069917908837685,VC,2
植物,0.41414316237627224,Na,1
菊花,0.41414316237627224,Na,1
溫差,0.3857689435262064,Na,1
大自然,0.3725508741983953,Nc,1
蟲子,0.3725508741983953,Na,1
風景區,0.3612954039057093,Nc,1
阿增祇劫,0.3333333333333333,Na,1
七情,0.3333333333333333,Na,1
遼闊,0.3015113445777636,VH,1
花姿,0.3015113445777636,Na,1
英姿,0.3015113445777636,Na,1
農場,0.3015113445777636,Nc,1
雅境,0.3015113445777636,Nc,1
魯冰花,0.29671112213397743,Nb,1
波斯菊海,0.2810406380092736,Nc,1
拍照,0.2569461993189148,VB,1
花圃,0.2569461993189148,Nc,1
山脈,0.24534958954418842,Na,1
攝友,0.24534958954418842,Na,1
製茶廠,0.24534958954418842,Nc,1
雪山,0.24534958954418842,Na,1
平地,0.23640826111529625,Na,1
陰雨天,0.23640826111529625,Na,1
