words,tfidf,pos,freq
散步,2.7489075459011456,VA,5
步道,2.0001243498198438,Na,15
櫻花,1.7882215985026453,Na,9
公園,1.7139895265800598,Nc,10
花園,1.5391449262748789,Nc,7
繡球花,1.2266815154692452,Na,5
花兒,1.2058527489198436,Na,4
花木,0.7391387109017791,Na,1
住戶型,0.5837860862228904,Na,1
泰山,0.5779198128369526,Nb,2
秋海棠,0.5307418548276472,Na,1
櫻花季,0.457299698752081,Na,1
狹長型,0.4508633330600206,Na,2
世外桃源,0.4454856348585581,Na,2
櫻花道,0.4003916879326731,Na,1
眼睛,0.3714808188990356,Na,1
花期,0.3714808188990356,Na,1
炮仗花,0.36550716839398945,Na,1
杜鵑花,0.36550716839398945,Na,1
河景,0.3521859833267306,Na,1
一絕,0.3521859833267306,Na,1
植物,0.33522802146035235,Na,2
親民,0.31639701669732667,VH,1
美人兒,0.31639701669732667,Na,1
蜀葵花,0.2544361540006212,Na,1
里民,0.21605541665670142,Na,1
里長,0.21605541665670142,Na,1
花種,0.21605541665670142,Na,1
高公局,0.21506495050290922,Nc,2
拍照,0.16688630288017098,VB,1
長條,0.16688630288017098,Na,1
騎車,0.16688630288017098,VA,1
風車,0.13638641981493396,Na,1
公園處,0.13638641981493396,Nc,1
向日葵,0.13638641981493396,Na,1
蜈蚣,0.13638641981493396,Na,1
高工局,0.13638641981493396,Nc,1
花朵,0.1134338126437692,Na,1
燦然,0.1134338126437692,Nb,1
粉櫻,0.1134338126437692,Na,1
宮粉梅,0.1134338126437692,Na,1
蜀葵,0.1134338126437692,Na,2
長度,0.1134338126437692,Na,1
模樣,0.1134338126437692,Na,1
炮杖花,0.1134338126437692,Na,1
墨染櫻,0.1134338126437692,Na,1
昭和櫻,0.1134338126437692,Na,1
山腳,0.1134338126437692,Nc,1
大窠坑溪,0.1134338126437692,Nc,1
吉野櫻,0.1134338126437692,Na,1
勝景,0.1134338126437692,Na,1
步道圖,0.10753247525145461,Na,1
網子,0.10753247525145461,Na,1
爬山,0.10753247525145461,VA,1
檳榔攤,0.10753247525145461,Nc,1
鐵欄杆,0.10753247525145461,Na,1
