words,tfidf,pos,freq
散步,2.6017630949428083,VA,7
夜景,2.0148829531922363,Na,4
景观苑,1.0,Nc,1
阿勃勒,0.7619483431107247,Nb,2
夜橋,0.7071067811865476,Nc,1
海天橋,0.6750266673170605,Nc,3
單車,0.6297299731752234,Na,2
感情,0.5761863276637307,Na,1
景觀橋,0.5242025136590307,Na,1
旱溪,0.5242025136590307,Nc,2
拍照,0.45087948293699803,VB,2
小家庭,0.4356203804004536,Na,1
橋樑,0.3846363871556348,Na,2
夜幕,0.38228853930115686,Na,1
阿博樂樹,0.38142905478940736,Nb,1
巨型,0.3612954039057093,Na,1
夜燈,0.3594957995704555,Na,1
吊架,0.3087357121226656,Na,1
設計感,0.3087357121226656,Na,1
鋼構,0.3087357121226656,Na,1
旱溪路,0.30094736220705165,Nc,1
北屯,0.2707734640823465,Nb,1
藍光,0.2707734640823465,Nb,1
舊地,0.2267072592475527,Nc,2
黃昏,0.19133477093288861,Nd,1
曲弧橋,0.19133477093288861,Na,1
健行,0.11335362962377635,VA,1
弧形,0.11335362962377635,Na,1
藍白色,0.11335362962377635,Na,1
