words,tfidf,pos,freq
日式,7.389586463242102,A,40
古色古香,4.205419400099389,VH,8
古蹟,2.4839949839357813,Na,24
拍照,2.271635637772029,VB,11
虎尾,1.9771607215434424,Nc,34
涌翠閣,1.639729382002578,Nc,19
歷史,1.4678547651255527,Na,15
展覽,1.1098398256484001,VC,8
日本,1.0521241775083563,Nc,5
水塔,1.0317847837454988,Na,4
招待所,1.0285593644381061,Nc,12
文化,1.010554595769339,Na,11
復古,1.0,VHC,1
幽靜,0.9788711557593677,VH,3
雲林,0.9522591101064526,Nc,22
體驗,0.7748897030042069,VC,5
藝文,0.774466862698652,A,5
公園,0.7521021318640213,Nc,5
藝術,0.723720560701313,Na,12
大崙腳,0.682424812035232,Nc,3
雲林縣,0.6791902049858358,Nc,8
懷古,0.6064625749223386,VH,1
購物,0.59733416553291,VA,2
酒家,0.5814199801624694,Nc,2
攝影展,0.5773502691896257,Na,1
膳食,0.5773502691896257,Na,1
古典,0.5773502691896257,VH,1
外縣市,0.5329401597299271,Nc,4
庭院,0.4916859682419308,Na,3
遺產,0.4786992045111268,Na,1
文學,0.4763811463510328,Na,1
展場,0.4647952995874208,Nc,1
藝人展,0.4647952995874208,Na,1
幽翠閣,0.4561677756337237,Nc,3
主題性,0.4445447498327059,Na,1
文創,0.44318357944044307,Na,2
文青,0.43718717483387715,Nb,1
古樸,0.43718717483387715,VH,1
油畫,0.4360816199993607,Na,2
畫展,0.43580685196050994,Na,2
下午茶,0.4288137642251442,Na,4
法院,0.4256863407108563,Nc,6
夕陽,0.41816149987614604,Na,1
東洋風,0.41816149987614604,Na,1
導覽,0.40078079698889413,VC,3
虎尾人,0.39817442913342405,Na,1
湧翠閣,0.3978806170337619,Na,5
貓咪,0.38322717400833756,Na,2
塌塌米,0.34732437442524433,Na,2
協會,0.34544098318171423,Nc,6
書香,0.3373993918961975,Na,1
典雅,0.3373993918961975,Nv,1
周一,0.3265200276060715,Nb,1
緣慳,0.3265200276060715,Na,1
書院,0.3234481043677303,Nc,4
山水,0.3123286298320265,Na,1
日劇,0.3123286298320265,Na,1
喀喀聲,0.3123286298320265,Na,1
天皇,0.30411185042248245,Na,2
房舍,0.30238000459061687,Na,3
檜木,0.2992168657983664,Na,1
古厝,0.2992168657983664,Na,1
外表,0.2992168657983664,Na,1
鎮公所,0.29695483291351193,Nc,4
溫泉,0.2907099900812347,Na,1
北投,0.2907099900812347,Nc,1
閒暇,0.2799921371025313,Na,1
窗櫺,0.27098146072652585,Na,2
文史,0.26883207604853576,Na,3
宴會,0.26875467166305933,Na,1
蔣耀賢,0.26875467166305933,Nb,1
涼茶,0.26565816354103994,Na,1
日式房,0.26501849477795997,Na,1
二崙,0.26501849477795997,Nc,1
烙畫,0.26501849477795997,Na,2
烙畫班,0.26501849477795997,Nc,1
聯展,0.26501849477795997,Na,1
師生,0.26501849477795997,Na,1
開幕式,0.26501849477795997,Na,1
職務,0.2571507953149386,Na,3
虎尾郡,0.25062144961427985,Nc,4
木香,0.24072115843074346,Na,1
館員,0.2332770472014564,Na,2
愜意,0.21804080999968034,VH,1
木窗,0.21804080999968034,Na,1
賓客,0.21695279420089897,Na,3
碎片,0.2050123205061458,Na,2
接待室,0.2050123205061458,Nc,2
雪花,0.2050123205061458,Na,2
維護費,0.2050123205061458,Na,2
書房,0.2050123205061458,Nc,2
療癒感,0.2050123205061458,Na,2
和室,0.2050123205061458,Nc,2
日文,0.20178083822587145,Na,2
職員,0.19859055468984002,Na,2
植栽區,0.19723854826817402,Nc,1
儲藏室,0.1812474650537733,Nc,2
庭園,0.17851341081197003,Na,2
寧靜,0.17492265183540845,VH,2
租約,0.17289665665813425,Na,3
感情,0.16678372777739373,Na,1
榕樹,0.16678372777739373,Na,1
二二八事件,0.1655617562680718,Nd,3
悠久,0.15891547451310248,VH,1
散步,0.15891547451310248,VA,2
閂鎖,0.15891547451310248,Na,1
雲霄,0.15891547451310248,Nc,1
漢字,0.15205592521124123,Na,1
高官,0.15205592521124123,Na,1
發音,0.15205592521124123,Na,1
功用,0.15205592521124123,Na,1
歷史性,0.15205592521124123,Na,1
學者,0.15205592521124123,Na,1
傭懶,0.13338549564512786,Na,1
藝品,0.13338549564512786,Na,1
自然,0.13338549564512786,VH,1
國藝會,0.13120010497572412,Nc,2
合室,0.1243116219230342,Nc,1
形態,0.1243116219230342,Na,1
水源路,0.1243116219230342,Nc,1
貴賓室,0.1243116219230342,Nc,1
體育場,0.1243116219230342,Nc,1
書法,0.1166385236007282,Na,1
配件,0.1166385236007282,Na,1
虎尾站,0.1166385236007282,Nc,1
公藝,0.1166385236007282,Na,1
春仔花,0.1166385236007282,Na,1
台西,0.1166385236007282,Nc,1
台籍,0.11208126477874777,Na,2
軍方,0.11208126477874777,Na,2
意見,0.11201837399101817,Na,1
系統性,0.09062373252688664,Na,1
辦公處,0.09062373252688664,Nc,1
購買慾,0.09062373252688664,Na,1
角色,0.09062373252688664,Na,1
梅花鹿,0.09062373252688664,Na,1
庭院區,0.09062373252688664,Nc,1
展出物,0.09062373252688664,Na,1
虎尾街,0.06824635981747014,Nc,1
研討會,0.06824635981747014,Na,1
臺南州,0.06824635981747014,Nc,1
蔡秋敏,0.06824635981747014,Nb,1
藝文界,0.06824635981747014,Nc,1
虎尾巴,0.06824635981747014,Na,1
郡守,0.06824635981747014,Na,1
虎尾鎮,0.06824635981747014,Nc,2
虎尾鎮所,0.06824635981747014,Nc,1
議員,0.06824635981747014,Na,1
貯水塔,0.06824635981747014,Na,1
田中鐵太郎,0.06824635981747014,Nb,1
鎮長,0.06824635981747014,Na,1
發源地,0.06824635981747014,Nc,1
前庭,0.06824635981747014,Nc,1
法官,0.06824635981747014,Na,1
律師,0.06824635981747014,Na,1
二次大戰,0.06824635981747014,Na,1
仕紳,0.06824635981747014,Na,1
