words,tfidf,pos,freq
老屋,0.7071067811865476,Na,1
古厝,0.2540002540003809,Na,2
山西,0.24253562503633297,Nc,1
李家,0.24253562503633297,Nc,1
桑椹,0.24253562503633297,Nb,1
福建,0.24253562503633297,Nc,1
燕尾,0.12700012700019045,Na,1
路牌,0.12700012700019045,Na,1
舉人,0.12700012700019045,Na,1
紅磚,0.12700012700019045,Na,1
竹子,0.12700012700019045,Na,1
竹圍子,0.12700012700019045,Nc,1
窗柵,0.12700012700019045,Na,1
石雕,0.12700012700019045,Na,1
牆腳,0.12700012700019045,Nc,1
木雕,0.12700012700019045,Na,1
淡水,0.12700012700019045,Nc,1
桂花樹,0.12700012700019045,Na,1
旗桿厝,0.12700012700019045,Na,1
故居,0.12700012700019045,Nc,1
忠寮,0.12700012700019045,Nc,1
建築群,0.12700012700019045,Na,1
岔路,0.12700012700019045,Na,1
合院,0.12700012700019045,Nc,1
閩南,0.12700012700019045,Nc,1
