words,tfidf,pos,freq
淡水,2.7343449008248504,Nc,14
表演,2.4568077111780955,VC,9
夕陽,1.9138400626378385,Na,6
溜滑梯,1.690839914424744,VA,8
公園,1.289334576019102,Nc,5
放電,1.2137309664696936,VA,2
日落,1.1960652911244463,VA,3
悠閒,1.1147764799075843,VH,3
散步,1.0187405102317268,VA,3
海風,1.0155429626398274,Na,4
老街,1.0154725285918225,Nc,4
遊樂,0.9139867237308756,VA,2
黃昏,0.9066051580673735,Nd,3
步道,0.8766923596881613,Na,2
草地,0.7071067811865475,Nc,1
遼闊,0.7071067811865475,VH,1
寧靜,0.7071067811865475,VH,1
海岸,0.7008944941757281,Nc,2
浪漫,0.6369644808839559,VH,3
藝術,0.5949205718760485,Na,4
流滑梯,0.5773502691896257,Na,1
滑石子,0.5773502691896257,Na,1
餘暉,0.5735360274784649,Na,1
暮色,0.5735360274784649,Na,1
涼爽,0.5,VH,1
遊戲場,0.4862157475112005,Nc,1
榕樹,0.4439271679127119,Na,1
渡輪,0.4270011863036308,Na,2
沙灘,0.4262157927613802,Na,1
博物館,0.41251785206107944,Nc,1
夜景,0.408248290463863,Na,1
拍照,0.4042272157280978,VB,1
體驗,0.3898898218556999,VC,1
火災,0.3898898218556999,Na,1
盪鞦韆,0.3700825641860449,VA,2
路磚,0.29746028593802426,Na,1
繪畫,0.29746028593802426,Na,1
幕色,0.24163351316135326,Na,1
下午茶,0.24163351316135326,Na,1
同事,0.24096632603602794,Na,1
孫子,0.24096632603602794,Na,1
藝術節,0.23639347722856058,Nd,1
內人,0.22706739270618706,Na,1
孫女,0.22706739270618706,Na,1
宜蘭,0.22706739270618706,Nc,1
招集人,0.22706739270618706,Na,1
羅東,0.22706739270618706,Nc,1
八里,0.2135005931518154,Nc,1
燈海,0.2135005931518154,Na,1
觀音山,0.2135005931518154,Nc,1
觀景屋,0.21232149362798527,Na,1
扭腰器,0.20739855692928763,Na,1
願望,0.19809247397008298,Na,1
海岸線,0.19809247397008298,Na,1
消防隊,0.18598329793256932,Na,1
寓教於樂,0.17432465256599794,VA,1
