words,tfidf,pos,freq
斷崖,12.219321773839749,Na,101
壯觀,8.915405546644148,VH,25
觀景台,7.096229913451067,Nc,32
花蓮,5.913688280537457,Nc,32
拍照,5.539389413366076,VB,22
海景,5.085189212898733,Na,12
懸崖,4.886790979481188,Nc,19
蘇花公路,4.267268553557768,Nc,24
隧道,3.562081016702598,Na,25
步道,3.2627736999733092,Na,25
海岸,2.7988901420234082,Nc,21
遼闊,2.437549168147776,VH,7
匯德,2.3436827076118085,Nb,19
大自然,2.270908742170323,Nc,13
自然,2.210365974262797,VH,20
山海,2.1452030519025893,Nb,10
蘇花,2.0023480629437156,Nc,33
風光明媚,2.0,VH,2
鬼斧神工,1.8328781198347737,VH,4
東部,1.7033990383737216,Ncd,4
山脈,1.5521644746383358,Na,6
海岸線,1.5471214206575636,Na,4
天然,1.459811179039337,A,3
海灘,1.309314175831946,Na,3
太魯閣,1.2660999154160462,Nc,7
休憩區,1.2654932282530413,Nc,5
山景,1.2342949016169675,Na,3
一望無際,1.2176951573118582,VH,4
海風,1.209505184827913,Na,7
海天一色,1.0703448593359741,Na,2
頂視圖,1.0,Na,1
震撼,0.9676291643834002,VJ,2
風景區,0.956846789301018,Nc,2
山洞,0.9486408922563191,Na,3
子安,0.9060568931507237,Nb,1
宏偉,0.8768018096192517,VH,3
觀海,0.8690843944348289,VA,1
雄偉,0.8658682762685943,VH,6
水水,0.8402311643082752,Nc,1
宜蘭,0.8270260314191535,Nc,5
巧奪天工,0.8222555633343123,VH,2
前人,0.8059014713819638,Na,4
平台,0.7965144599642515,Na,3
雲層,0.7964664554478231,Na,2
現況,0.7827983332094158,Na,1
清水山,0.7792657392423772,Nc,10
崖壁,0.7555865319084268,Na,5
停車區,0.7555585806428522,Nc,5
散步,0.7484247598995142,VA,5
朝聖,0.7387886771510138,VA,2
山壁,0.7278709295121729,Na,8
黃昏,0.7275143535206854,Nd,1
秀麗,0.7042569443576926,VH,1
流動率,0.6989216934079411,Na,1
景觀點,0.6684778548307119,Na,2
台灣島,0.6519136651078425,Nc,1
老少咸宜,0.6467603745824763,VH,1
圓石灘,0.6279387482536682,Nc,1
觀點,0.6270360464837044,Na,3
言語,0.6159402583344611,Na,2
陽光明媚,0.6133164998126773,Na,2
大車,0.5981186530777688,Na,2
公路史,0.5895521793307782,Na,1
絕壁,0.5726166486108089,Na,5
小清水,0.569041949855791,Nc,1
佳點,0.5573727985714194,Na,1
清水崖,0.5529347359452816,Nc,1
海邊,0.5510587446110657,Na,3
中外,0.5471953756286362,Nc,1
療癒,0.5417035900233911,VC,2
秀林鄉,0.5382802334300304,Nc,4
海浪聲,0.522367249152286,Na,1
高山,0.5143004833706653,Na,2
觀景點,0.49949210666201804,Nc,2
沖繩,0.49682963285763204,Nc,1
雨傘,0.49534981764732766,Na,2
夏威夷,0.4934145210518812,Nc,1
都平路,0.48653996509312536,Nc,1
日出,0.48407148242791465,VA,4
海崖,0.4826512696296621,Nc,4
清新,0.48200884492613605,VH,1
石碑,0.46936881754133375,Na,4
蔚藍海岸,0.4692339969816904,Nc,1
線條,0.4619642691772587,Na,1
愜意,0.46106077289978226,VH,1
靛藍,0.46106077289978226,Na,1
四腳蜥蜴,0.4606721894809393,Na,1
碧綠色,0.45747109305854294,Na,1
海海,0.4520602633738714,Na,1
社會,0.44325601750101434,Na,1
區間,0.4332908818823743,Na,1
深淺,0.42563814671552685,Na,1
海浪,0.4111647874410843,Na,4
峭壁,0.4098068080639243,Na,2
青山,0.408248290463863,Na,1
碧濤,0.408248290463863,Nb,1
公園,0.3999281642612023,Nc,6
台北,0.3933514761615432,Nc,1
環島,0.3933514761615432,VA,1
清幽,0.3854053140593117,VH,1
韓國,0.37611047805618086,Nc,1
大巴,0.37611047805618086,Na,1
慧德,0.37013587492518785,Nb,2
作用,0.36768530705336755,Na,4
夕陽,0.36457973170239344,Na,2
台9線,0.36413322879197874,Nc,4
太太,0.3618377620560662,Na,1
海天,0.36021278974184573,Na,4
北迴線,0.35888407455540666,Na,1
實境秀,0.3453004286326157,Na,1
山里,0.3451575283624074,Nc,1
台灣鯛,0.3418586998159963,Na,1
陸客,0.3418586998159963,Na,1
涼亭仔,0.3350114004728749,Na,1
連鞭,0.3350114004728749,Na,1
便所,0.3350114004728749,Nc,1
南橫,0.3280553814031763,Nc,2
雲朵,0.3278379951296369,Na,1
水域,0.3241120674106087,Na,1
天際,0.3189633803441438,Nc,1
和仁,0.3181814041919429,Nb,4
太祿閣,0.31370226706754145,Nc,1
展望台,0.31370226706754145,Nc,1
霧霧,0.3127659797081328,Nc,1
健身房,0.30869492227505974,Nc,1
遠百,0.30869492227505974,Nb,1
館長,0.30869492227505974,Na,1
花蓮縣,0.3082779712983922,Nc,3
寶島,0.30782560656329866,Nc,1
瞭望台,0.3002909624085413,Nc,1
蝴蝶,0.3002909624085413,Na,1
蜘蛛,0.3002909624085413,Na,1
寧靜,0.29803616519491316,VH,5
陰霾,0.29657805038707113,Na,1
車速,0.29473675288869444,Na,1
秩序,0.29151174317431705,Na,1
眼睛,0.2900947336250467,Na,1
照片點,0.2870166084797372,Na,1
燕子口,0.2811365511553512,Nc,1
九曲洞,0.2811365511553512,Nc,1
拍攝,0.27951565347143775,VC,3
山巒,0.27951565347143775,Na,1
洞穴,0.2749177336744801,Na,1
徒步區,0.2729269977200863,Nc,3
岩性,0.2715078736616487,Na,3
風化,0.2715078736616487,VHC,3
菲律賓,0.2715078736616487,Nc,3
片麻岩,0.2715078736616487,Na,3
大理岩,0.2715078736616487,Na,3
鐵路,0.26316109035844704,Na,2
汪海,0.248442890213794,Na,3
多層次,0.248442890213794,Na,3
巨壁,0.248442890213794,Na,3
詩篇,0.248442890213794,Na,3
海平面,0.24046685103445392,Na,3
仙境,0.23808539702907233,Nc,1
空位,0.23453375559792514,Na,1
曲線,0.2336597614193643,Na,1
山峰,0.23164840327545336,Na,1
青水壇,0.23164840327545336,Nc,1
海霧,0.23164840327545336,Na,1
雲彩,0.22889525274203593,Na,1
隧道口,0.2202854244154252,Na,2
色差,0.20902099472258936,Na,1
汪洋萬,0.20704299343505644,Na,2
北口,0.1912239500516536,Nc,3
地形,0.19069817644176468,Na,1
崇德段,0.19069817644176468,Nc,1
空拍機,0.1902316669851309,Na,1
山谷,0.18506793746259392,Na,1
倦意,0.17970630154870595,Na,1
卡德站,0.17343575068791778,Nc,1
衝擊力,0.17343575068791778,Na,1
峽谷,0.17343575068791778,Na,1
台鐵,0.17343575068791778,Nc,1
角獨,0.17343575068791778,Na,1
9號線,0.17343575068791778,Nc,1
寬度,0.17312726937256326,Na,1
滑手機,0.17312726937256326,Na,1
飼主,0.17312726937256326,Na,1
石牆,0.17312726937256326,Na,1
奇葩,0.17312726937256326,Na,1
淨空,0.16491610459208822,Na,1
休旅車,0.15942567996159754,Na,1
遊興,0.15942567996159754,Na,1
邊緣,0.14342986099493515,Nc,2
海鷗,0.1409998108537431,Na,2
危險區,0.12187117996391109,Nc,2
觀景臺,0.12187117996391109,Nc,2
終端,0.12187117996391109,Nc,2
波濤,0.12187117996391109,Na,2
匯徳,0.12187117996391109,Nb,2
自行車,0.11137827382003312,Na,2
體驗,0.1101427122077126,VC,1
平安,0.1101427122077126,VH,1
中型,0.1101427122077126,Na,1
台9丁線,0.1101427122077126,Nc,1
蘇花改,0.1101427122077126,Nc,1
形勢,0.10654808356402716,Na,1
斷層,0.10654808356402716,Na,1
線崖,0.10654808356402716,Na,1
茫茫大海,0.10654808356402716,Na,1
隆升,0.10654808356402716,Nb,1
維基百科,0.10610305415766896,Nb,1
目的地,0.07171493049746758,Nc,1
臉頰,0.07171493049746758,Na,1
健行,0.07171493049746758,VA,1
意識,0.07171493049746758,Na,1
威力,0.07171493049746758,Na,1
南投縣,0.07049990542687155,Nc,1
埔里鎮,0.07049990542687155,Nc,1
綠樹,0.07049990542687155,Na,1
計劃,0.07049990542687155,Na,1
來源,0.05568913691001656,Na,1
台9號,0.05568913691001656,Nc,1
和仁站,0.05568913691001656,Nc,1
崇德站,0.05568913691001656,Nc,1
新城,0.05568913691001656,Nc,1
汪洋,0.05568913691001656,Na,3
清水溪口,0.05568913691001656,Nc,1
花蓮市,0.05568913691001656,Nc,1
蘇澳,0.05568913691001656,Nc,1
雪山,0.05568913691001656,Na,1
