words,tfidf,pos,freq
坑道,4.841600963833664,Na,40
體驗,3.4896738206281994,VC,13
鬼洞,2.3727178273063267,Na,15
地道,2.1297147153646607,Na,11
軍事,1.9930192568198628,Na,9
壓迫感,1.8996406857965868,Na,6
戰備,1.8988366895765254,Na,12
隧道,1.8388775787078413,Na,13
防空洞,1.7013522700895534,Na,5
鰲峰山,1.4684935386356939,Nc,10
寢室,1.347342309569889,Nc,7
公園,1.300838017273974,Nc,9
戰爭,1.1377694497719195,Na,4
歷史,0.9574458518580817,Na,3
儲藏室,0.8090413102432306,Nc,6
涼爽,0.8019521697560222,VH,4
洞穴,0.7906658991175297,Na,3
主坑道,0.7786272125331257,Na,3
金門,0.6594708429945961,Nc,3
機槍堡,0.6449437942780971,Nc,2
日軍,0.6416177748479994,Na,3
牆壁,0.6317611117923333,Na,4
高個子,0.6186426237356545,Na,1
h型,0.6154632763431583,Na,0
鬼斧神工,0.595185807803803,VH,1
鵝卵石,0.5502390556792301,Na,3
地洞,0.5476145035390841,Na,2
碉堡,0.4806000489512373,Na,3
儲藏庫,0.4623804269780922,Na,1
摸乳巷,0.4082338574956865,Nc,2
越南,0.40759772171057834,Nc,1
古芝,0.40759772171057834,Nb,1
人性,0.40759772171057834,Na,1
大肚山,0.40607381350750177,Nc,1
指揮所,0.40607381350750177,Nc,1
網站,0.4021750160953348,Nc,1
導覽,0.39561260421915634,VC,1
號碼牌,0.3955783001365648,Na,1
故事性,0.3931287101117301,Na,1
崗哨,0.3871748516795769,Na,3
鴕鳥,0.3640877740791611,Na,1
循環,0.3617107445226438,Na,1
避暑,0.3588909584982257,VA,2
方圓,0.3577370329742066,Na,1
山洞,0.3495179217272035,Na,1
頭部,0.3413832185591355,Nc,1
舊址,0.3413832185591355,Nc,1
迷宮,0.3409092047144489,Na,1
中國人,0.33918156959775186,Na,1
惡意,0.33918156959775186,Na,1
石碑,0.33918156959775186,Na,1
軍人,0.33785629217434304,Na,1
寬度,0.3375425358005027,Na,1
質量,0.3359558874991887,Na,1
缺氧,0.3359558874991887,Na,1
爬山,0.3359558874991887,VA,1
副支,0.3188539820087226,Na,3
軍備,0.3165521497614769,Na,1
日劇,0.3165521497614769,Na,1
體質,0.3011756984301059,Na,1
女友,0.29888072883806693,Na,2
霉味,0.2939302007185694,Na,1
清涼,0.2939302007185694,VH,1
探奇感,0.28745719794768304,Na,1
自行車,0.27856640411260947,Na,2
支坑道,0.26397527708489604,Na,2
副支坑道,0.26397527708489604,Na,1
消暑,0.2565527796978207,VA,1
阿北,0.24954402392220218,Nb,1
時空,0.24278949329932933,Na,1
燈火,0.24278949329932933,Na,1
壁面,0.24260800211088981,Na,1
鋼筋,0.24260800211088981,Na,1
h形,0.2333044226776181,Na,0
牌子,0.23028501296091436,Na,1
涵洞,0.2282604890549827,Na,1
視線,0.2248539129545517,Na,1
通風扇,0.2248539129545517,Na,1
遺跡,0.2248539129545517,Na,1
狙擊區,0.2230127386170385,Nc,2
身子,0.22089057453107175,Na,1
懷念,0.21982361433153202,VJ,1
槍械室,0.21809152263105822,Nc,1
石床,0.21809152263105822,Na,1
恐懼症,0.21809152263105822,Na,1
名牌,0.21809152263105822,Na,1
難處,0.21217753946005014,Na,1
戰事,0.21217753946005014,Na,1
管制哨,0.2068674056611619,Nc,1
參觀證,0.20264129668628966,Na,1
步道,0.20264129668628966,Na,1
轟轟聲,0.20264129668628966,Na,1
阿罵,0.19687510837244768,Nb,1
抽風機,0.19531569394052795,Na,1
細沙,0.19531569394052795,Na,1
身交會,0.19531569394052795,Na,1
窄廊,0.19531569394052795,Na,1
粉塵,0.19531569394052795,Na,1
觀音廟,0.19364463742416993,Nc,1
紫雲嚴,0.19364463742416993,Nb,1
大自然,0.19364463742416993,Nc,1
古跡,0.19364463742416993,Na,1
復古,0.19364463742416993,VHC,1
拜拜,0.19364463742416993,VA,1
療癒,0.19364463742416993,VC,1
