words,tfidf,pos,freq
清幽,3.317398190445843,VH,7
莊嚴,2.6068589993272093,VH,7
清靜,2.3467306380983817,VH,5
佛門,1.7297789044826033,Nc,4
佛寺,1.7197242036726712,Nc,4
菩薩,1.2956415220265973,Na,3
清覺寺,1.080863483852801,Nc,8
知本,1.072300927453008,Nc,8
肅穆,0.8929016941339224,VH,2
幽靜,0.8709147165671298,VH,2
庭院,0.8349121094408742,Na,2
臥佛山,0.7298991576993623,Nc,2
酒店,0.6716916171963527,Nc,4
禮佛,0.6507545090745409,VA,2
寧靜,0.6496341864367022,VH,1
風景區,0.6229399136604434,Nc,1
茶花,0.5729239293454426,Na,1
台東,0.5555255467623534,Nc,5
真佛,0.4763325940314029,Na,1
花木,0.46723244704448497,Na,2
寶地,0.4308261456439172,Na,1
寺院,0.40195971326198165,Nc,1
釋迦摩尼佛,0.3643666824865493,Nb,2
聲響,0.3426726190012883,Na,1
寧祥,0.3031643528815566,Nc,1
觀世音,0.2918125470660879,Nb,1
山脈,0.2843304657723518,Na,1
天然,0.2843304657723518,A,1
蓮花座,0.2843304657723518,Nb,1
納骨塔,0.26746308641789013,Na,1
參拜,0.24187963762079562,VC,2
清幽路,0.23778742047117718,Nc,1
大堂,0.23778742047117718,Nc,1
猴群,0.23778742047117718,Na,1
遠足,0.23778742047117718,VA,1
大象,0.2366584422613553,Na,2
寺廟,0.2366584422613553,Nc,2
高雄,0.1840077638914584,Nc,1
台北,0.1840077638914584,Nc,1
同鄉,0.1840077638914584,Na,1
金馬號,0.1840077638914584,Nb,1
工作日,0.15166905349058957,Na,1
雕像,0.15166905349058957,Na,1
自行車,0.15166905349058957,Na,1
知品,0.15166905349058957,Na,1
旅館,0.15166905349058957,Nc,1
溫泉,0.15166905349058957,Na,3
山腳,0.15166905349058957,Nc,1
千本山,0.15166905349058957,Nc,1
壯觀,0.15166905349058957,VH,1
自然,0.15166905349058957,VH,1
綿薄之力,0.12093981881039781,Na,1
佛陀,0.12093981881039781,Na,1
平安,0.12093981881039781,VH,1
心意,0.12093981881039781,Na,1
佛祖,0.12093981881039781,Na,1
溪谷,0.10803338093461488,Na,1
鷺鷥,0.10803338093461488,Na,1
飛簷,0.10803338093461488,Na,1
銅鑄,0.10803338093461488,Na,1
釋迦牟尼佛,0.10803338093461488,Nb,1
緬甸,0.10803338093461488,Nc,1
知本溪,0.10803338093461488,Nc,1
溫泉村,0.10803338093461488,Nc,1
溫泉區,0.10803338093461488,Nc,1
悠閒,0.10803338093461488,VH,1
泰國,0.10803338093461488,Nc,1
森林,0.10803338093461488,Na,1
山嶺,0.10803338093461488,Na,1
寶殿,0.10803338093461488,Na,1
大雄,0.10803338093461488,Nb,1
大佛,0.10803338093461488,Na,1
地藏殿,0.10803338093461488,Nc,1
卑南鄉,0.10803338093461488,Nc,1
中上游,0.10803338093461488,Nc,1
龍泉山,0.10803338093461488,Nc,1
