words,tfidf,pos,freq
步道,4.498714447030419,Na,29
愚公亭,2.5018095197248833,Nc,25
水庫,2.1346740960606745,Na,18
登山,2.0472832327578354,VA,33
登山口,1.9316651668066993,Nc,17
小百岳,1.839228364400742,Nb,7
三角點,1.8325671935128727,Nc,21
溪洲山,1.5760811763430413,Nc,22
石門,1.4884083303391078,Nc,20
爬山,1.1728424789181875,VA,4
溪州山,1.0186111938837192,Nc,9
血滕花,1.0,Na,1
溪洲,0.9728667433104332,Nc,30
郊山,0.966599883561692,Nc,4
健行,0.9535622482325448,VA,2
標高,0.9312622603784323,Na,6
血藤花,0.7731225262218556,Na,4
公園,0.765690684549468,Nc,8
練習場,0.7333447766035898,Nc,1
石門山,0.7229213961481674,Nc,6
汗味,0.7071067811865475,Na,1
顫士,0.7071067811865475,Na,1
遠足,0.7071067811865475,VA,1
存量,0.7031268020377724,Na,1
清新,0.6799171750522999,VH,2
百岳,0.6734170792041206,Neu,13
郊遊,0.6594661518620786,VA,1
石階,0.6317779435656886,Na,4
自然,0.6087554329308575,VH,3
山林,0.5835465420614216,Nc,3
桃園,0.5712689044291724,Nc,6
古道,0.5563270029079519,Na,2
平台,0.5219947727637846,Na,4
坪林,0.5060582603488264,Nc,7
花期,0.49608536397016867,Na,2
初階,0.4956758970969207,Na,1
山頂,0.46780406561455024,Nc,1
健身,0.45758358116530146,VA,3
日照,0.4456298517390176,Na,1
涼爽,0.44454648275422054,VH,2
森林,0.4329481970014746,Na,3
壩頂,0.4328370832865096,Nc,1
肌力,0.41575997631980655,Na,1
收費站,0.40504663007998015,Nc,5
山友,0.3990928017908104,Na,2
生態,0.39718689332951335,Na,3
血藤,0.3968754617720664,Na,6
路跡,0.3839536116081548,Na,1
新溪洲山,0.3731796949092014,Nc,5
原始,0.3577098788260211,VH,4
踏青,0.3329804974805575,VA,1
桃園市,0.3329804974805575,Nc,1
休憩處,0.3284722196092304,Nc,1
觀音山,0.3284722196092304,Nc,1
清幽,0.320368463880007,VH,1
強度,0.320368463880007,Na,1
山血藤花,0.31064439484144274,Na,1
叉路,0.29387018158020206,Na,5
林道,0.2870451876651922,Na,1
大芎宮,0.2808683969693857,Nc,2
記號,0.2633938218851524,Na,1
福山巖,0.2462832918400722,Nc,3
岔路,0.2462832918400722,Na,3
大溪,0.24211159675803545,Nc,3
台四線,0.2394172809760493,Nc,2
雲霄,0.22427485366858446,Nc,1
溪州,0.2141847137119306,Nc,11
背袋,0.20888792177047724,Na,1
懸崖,0.2073659774102446,Nc,1
葫蘆坑,0.2073659774102446,Na,1
邊坡,0.2073659774102446,Na,1
原始風,0.2021271282495723,Na,1
快感,0.2021271282495723,Na,1
提示牌,0.19880452051927527,Na,1
果實籽,0.19880452051927527,Na,1
花木,0.19880452051927527,Na,1
祕境,0.1924866230118826,Nc,1
盪鞦韆,0.1924866230118826,VA,1
吊環,0.1924866230118826,Na,1
呼啦圈,0.1924866230118826,Na,1
交口,0.18600048134279715,Nc,2
苗埔,0.18600048134279715,Nc,2
稜線,0.18600048134279715,Na,2
大壩,0.18012236996641473,Na,2
豆干,0.16424938263287364,Na,3
黃大目,0.16424938263287364,Nb,2
溪石亭,0.14043419848469285,Na,1
錦茵,0.14043419848469285,Nb,1
金紅姊,0.14043419848469285,Nb,1
行兄,0.14043419848469285,Na,1
艽芎,0.14043419848469285,Na,1
群英會,0.14043419848469285,Na,1
真愛,0.14043419848469285,Na,1
心頭,0.14043419848469285,Nc,1
明哥,0.14043419848469285,Nb,1
伍肆參,0.14043419848469285,Nb,1
三生石,0.14043419848469285,Na,1
高山,0.14043419848469285,Na,1
靜嬌嬸,0.14043419848469285,Nb,1
佳美,0.13352318874907648,Nb,1
徑路,0.13352318874907648,Na,1
泥土山,0.13352318874907648,Nc,1
清涼,0.12304646277834086,VH,1
強弱,0.12304646277834086,Na,1
總落差,0.12304646277834086,Na,1
觀景台,0.12304646277834086,Nc,1
豆干店,0.12304646277834086,Nc,1
水中,0.11866563859301198,Na,1
觀景臺,0.11866563859301198,Nc,1
綾線,0.11866563859301198,Na,1
登山鞋,0.11866563859301198,Na,1
土地公廟,0.11866563859301198,Nc,1
大艽宮,0.11866563859301198,Nc,1
售票亭,0.11866563859301198,Na,1
三峽,0.09813987050730945,Nc,1
五寮尖,0.09813987050730945,Nc,1
五溪,0.09813987050730945,Nc,1
呼拉圈,0.09813987050730945,Na,1
單槓,0.09813987050730945,Na,1
指標處,0.09813987050730945,Nc,1
腳程,0.09813987050730945,Na,1
雨棚,0.09813987050730945,Na,1
風口,0.09813987050730945,Nc,1
彩霞亭,0.09751254130864297,Nc,1
觀景點,0.09751254130864297,Nc,1
出口處,0.09751254130864297,Nc,1
五段,0.09300024067139857,Nc,1
康莊路,0.09300024067139857,Nc,1
時鐘,0.09300024067139857,Na,1
景觀點,0.09300024067139857,Na,1
泥石坡,0.09300024067139857,Na,1
石梯,0.09300024067139857,Na,1
都平路,0.09300024067139857,Nc,1
電塔,0.07965918757184764,Na,1
福南宮,0.07965918757184764,Nc,1
舊名,0.07965918757184764,Na,1
繩索,0.07965918757184764,Na,1
竹林區,0.07965918757184764,Nc,1
體驗,0.07965918757184764,VC,1
泰安宮,0.07965918757184764,Nc,1
水門,0.07965918757184764,Na,1
叉路點,0.07965918757184764,Na,1
拍照,0.07965918757184764,VB,1
叉路處,0.0712470632334514,Na,1
次數,0.0712470632334514,Na,1
登山趣,0.0712470632334514,Na,1
芬多精,0.0712470632334514,Na,1
路基,0.0712470632334514,Na,1
體耐力量力而為,0.0712470632334514,Na,1
