words,tfidf,pos,freq
公園,7.520373161349871,Nc,47
軍機,5.506771070883458,Na,30
遊樂,2.2267432687183484,VA,15
雜草叢生,2.0,VH,2
拍照,1.7794629761701257,VB,6
戰鬥機,1.7189134991054669,Na,7
飛彈,1.6775789312770262,Na,9
溜滑梯,1.6014814327070197,VA,8
放電,1.5075898182540797,VA,4
運輸機,1.3449045693522945,Na,7
散步,0.9827202887731095,VA,2
溪湖,0.970783675604088,Nc,6
戰機,0.9172729727079632,Na,2
老母雞,0.8922123562485637,Na,2
體驗,0.831864795599446,VC,2
火箭,0.7864650044191396,Na,3
雄偉,0.7675261760569771,VH,1
歷史,0.7515431637013088,Na,2
空拍,0.7176419442938279,Na,1
糖廠,0.6524145085477755,Nc,2
傘兵,0.591369664387121,Na,1
油漆,0.5640706703529794,Na,2
部落,0.5,Nc,1
墓地,0.5,Nc,1
漁港,0.486464025199168,Nc,1
王功,0.486464025199168,Na,1
武器,0.4536350630056454,Na,1
彰化,0.4257381428562419,Nc,6
軍營,0.371605433393553,Nc,1
海鮮,0.36716259749554464,Na,1
實體,0.3580406035274751,Na,1
脚踏車,0.3580406035274751,Na,1
導彈,0.34173292619150547,Na,1
轟炸機,0.34173292619150547,Na,1
遊樂器,0.33254243061748223,Na,3
盪鞦韆,0.3261181008715076,VA,2
駕照,0.31009847440680793,Na,1
學弟妹,0.31009847440680793,Na,1
藝術,0.3076213125282551,Na,1
住戶,0.2779671743174055,Na,1
畫具,0.2699855235686733,Na,1
福安路,0.25198207123393457,Nc,1
好奇心,0.24442374397727445,Na,1
帶狀,0.24442374397727445,Na,1
鄉鎮,0.24442374397727445,Nc,1
跑道,0.22463483959397318,Na,1
住宅區,0.20221828424319635,Nc,1
熱鬧,0.20221828424319635,VH,1
彰化縣,0.19531011735307466,Nc,1
溪湖鎮,0.19531011735307466,Nc,1
鐵橋,0.18458478693685165,Na,1
方向盤,0.18458478693685165,Na,1
公所,0.17329543760237676,Nc,2
鎮公所,0.17329543760237676,Nc,1
關子,0.17329543760237676,Na,1
草地,0.17029525714249674,Nc,2
機械,0.12714065462370244,Na,1
攀爬架,0.12714065462370244,Na,1
支架,0.12714065462370244,Na,1
大同路,0.12714065462370244,Nc,1
尿布型,0.12714065462370244,Na,1
大政路,0.12714065462370244,Nc,1
空位,0.12714065462370244,Na,1
身形,0.11084747687249408,Na,1
壯觀,0.11084747687249408,VH,1
登月艇,0.11084747687249408,Na,1
中正號,0.08514762857124837,Nb,1
停機坪,0.08514762857124837,Nc,1
偵察機,0.08514762857124837,Na,1
呂陳,0.08514762857124837,Nb,1
孩童,0.08514762857124837,Na,1
懶人包,0.08514762857124837,Na,1
戰轟機,0.08514762857124837,Na,1
水泥地,0.08514762857124837,Na,1
軍事,0.08514762857124837,Na,1
軍方,0.08514762857124837,Na,1
軍機迷,0.08514762857124837,Na,1
