words,tfidf,pos,freq
廖添丁,2.959964225020518,Nb,43
廟宇,2.103353280166896,Na,15
夜市,1.8498027453070618,Nc,8
歷史,1.748226479365742,Na,7
八里,1.6174775629289095,Nc,15
公園,1.583449339262976,Nc,13
文化,1.3730154182708827,Na,5
攤販,1.3578743794562698,Na,4
北高,1.3341814412652933,Nc,3
義賊,1.209709518430893,Na,3
廖添丁廟,1.044024277656691,Nc,12
有求必應,1.0,VH,1
落子,1.0,Na,1
平安,0.8707226621466361,VH,3
漢民祠,0.8151196643255535,Nc,11
莊嚴,0.792699015217869,VH,2
清靜,0.7799636879415794,VH,1
香火,0.7627472914415312,Na,2
靈驗,0.7627472914415312,VH,2
鼎盛,0.7627472914415312,VH,2
古色古香,0.7524597239405751,VH,1
車友,0.7503039379873808,Na,2
西濱,0.7487779549963345,Nc,2
壯觀,0.7071067811865475,VH,1
廖天丁,0.7071067811865475,Nb,1
關公廟,0.6342629161000611,Nc,3
籃球場,0.6249226249372805,Nc,2
腳踏車,0.6171405133703006,Na,1
清幽,0.6171405133703006,VH,1
寺廟,0.6088608780580788,Nc,1
傳統,0.6088608780580788,VH,1
義勇,0.6012571502487354,Na,1
出發地,0.6012571502487354,Nc,1
悠久,0.5988045786951143,VH,1
市集,0.591369664387121,Na,1
保祐,0.5711417780639276,VJ,1
陰廟,0.562649795049519,Na,3
鄉民,0.5099605485086444,Na,6
紅龜粿,0.4945720557235185,Na,1
楊林,0.48165546043623575,Nb,4
八里區,0.47426401724842937,Nc,5
仙境,0.4712341408556738,Nc,1
草粿,0.47003709182623166,Na,1
威靈,0.4649593871437352,Na,1
顯赫,0.4649593871437352,VH,1
阿雲,0.4475774978451546,Nb,1
廖公,0.44322383200801313,Nb,3
婉如,0.436502112258458,Nb,1
關公,0.42940101514661566,Nb,7
正義,0.3991567246614567,Na,2
玉旨,0.393748500875794,Na,2
義行,0.37730069799186305,Na,4
拜拜,0.36808512772455737,VA,2
廟口,0.33280571953363935,Nc,2
攤位,0.32993951753712303,Na,2
傳奇,0.32708061813765676,Na,2
單車族,0.31810354992991813,Na,1
賽事,0.31810354992991813,Na,1
微波爐,0.31079617900833134,Na,1
豬血糕,0.31079617900833134,Na,1
表情,0.30583476053149977,Na,1
地方人,0.3041887205864353,Na,1
交會點,0.3041887205864353,Na,1
卡拉,0.2967786503089304,Na,1
朝代,0.292795701452182,Na,1
散步,0.2887114631621135,VA,4
山洞,0.24082773021811787,Na,2
栩栩如生,0.24049660333303027,VH,1
層次,0.24049660333303027,Na,1
雕刻,0.24049660333303027,Na,1
鱗片,0.24049660333303027,Na,1
龍柱,0.24049660333303027,Na,1
漁港,0.23906175575167365,Nc,1
渡船頭,0.23906175575167365,Nc,1
竹圍,0.23906175575167365,Nc,1
竹林寺,0.23906175575167365,Nc,1
海山,0.23906175575167365,Nc,1
魚池,0.23906175575167365,Nc,1
釣魚,0.23906175575167365,VA,1
土地公廟,0.23906175575167365,Nc,1
林口,0.23906175575167365,Nc,1
義俠盜士,0.2298479908326462,Na,1
民族,0.22625959086993366,Na,2
日本,0.22291227866595695,Nc,3
思緒,0.21913947129333036,Na,1
前人,0.21913947129333036,Na,1
墳墓,0.2060033978357705,Na,2
景物,0.20469026202634116,Na,1
