words,tfidf,pos,freq
櫻花,2.743332142817281,Na,14
瀑布,1.225391532593651,Na,5
烏來,0.8819512914176599,Nc,3
仙境,0.7071067811865475,Nc,1
步道,0.6327338115850356,Na,2
負離子,0.5773502691896258,VJ,1
福山路,0.49291854905218235,Nc,1
自然,0.4506413710243451,VH,1
櫻花數,0.39138555682496085,Na,1
泡湯,0.3766617590410935,VA,1
山產,0.3766617590410935,Na,1
纜車,0.3766617590410935,Na,1
秀麗,0.3723404219787286,VH,1
壯觀,0.3723404219787286,VH,1
商店街,0.3270414406065078,Nc,1
櫻花樹,0.2949688312457386,Na,1
花苞,0.2949688312457386,Na,1
踏青,0.24397756821921884,VA,1
老街,0.24397756821921884,Nc,1
