words,tfidf,pos,freq
散步,3.4290911695667483,VA,8
步道,2.6545888387108167,Na,21
海灘,2.6017127932037214,Na,14
燭台,2.299298045882803,Na,17
雙嶼,1.8965275228706675,Nc,13
海景,1.682134347154075,Na,5
金山,1.6698602422909796,Nc,10
海岸,1.1911521733930606,Nc,11
沙灘,1.1179866943895693,Na,5
天然,1.0538580855832376,A,3
吉見,1.0,Nb,1
寧靜,1.0,VH,1
爬山,1.0,VA,1
海浪,0.9219884691983914,Na,5
落日,0.8517910162153607,Na,1
公園,0.8420023724301013,Nc,7
漁港,0.7085317688181803,Nc,7
青山綠水,0.7071067811865475,Na,1
海岸線,0.7061872170079196,Na,3
磺港,0.6535069259225093,Nc,6
視角,0.597827928706389,Na,1
海邊,0.5905023728157498,Na,4
夫妻石,0.5351607988136066,Na,2
拍照,0.5178302724996533,VB,2
雙燭台,0.49932547420105133,Na,2
獅頭山,0.4917688641157699,Nc,5
踏青,0.48623976608020064,VA,1
登山,0.48330476081849844,VA,3
鄰里,0.46504997557533534,Na,2
新人,0.4412732511492032,Na,1
細雨,0.43827074698378854,Na,1
老伴,0.43827074698378854,Na,1
浪漫,0.43827074698378854,VH,1
潮汐,0.4154201234538478,Na,2
山頂,0.41005217998058086,Nc,2
野百合,0.40810787209285465,Na,1
祕境,0.4019715014691727,Nc,2
相機,0.3976431511034567,Na,2
情人,0.39734321023289776,Na,1
廟口,0.3880765221136161,Nc,1
鴨肉,0.3880765221136161,Na,1
公眾,0.381593432212015,Na,1
繩索,0.377370888352624,Na,2
奇岩,0.37634921583826453,Na,1
怪石,0.37634921583826453,Na,1
丈夫,0.36604049548311374,Na,4
草木,0.34851311138213753,Na,1
攀岩,0.3357677521711499,VA,2
攀爬,0.3240715750546905,VC,3
戀人,0.31126485426419637,Na,1
岩岩,0.30343292271323474,Na,1
階距,0.30343292271323474,Na,1
愜意,0.29903674453693363,VH,1
山道,0.29842947178156537,Na,1
映月,0.29842947178156537,Na,1
浮潛,0.2980998568379822,VA,2
雙燭嶼,0.29751852004046825,Nc,1
自然,0.294007892025525,VH,3
快門,0.2930622562545057,Na,2
老街,0.2845802305253632,Nc,1
野柳,0.282085980279714,Nc,3
男女,0.28128612028908934,Na,1
海風,0.28128612028908934,Na,1
碉堡,0.26915582237765723,Na,2
海路,0.2657127970609218,Na,1
水清,0.2657127970609218,Na,1
沙白,0.2657127970609218,Nb,1
燭臺,0.23619195959507436,Na,3
九份,0.23252498778766767,Nc,1
韓國人,0.23252498778766767,Na,1
水尾,0.21526245528618235,Nc,3
便利店,0.2135290520363105,Nc,1
珊瑚,0.2135290520363105,Na,1
拍攝,0.19882157555172836,VC,1
戰爭,0.19882157555172836,Na,1
自拍杆,0.19882157555172836,Na,1
遺跡,0.19882157555172836,Na,1
夫妻,0.17652560968895123,Na,3
眼簾,0.17652560968895123,Na,1
稜線,0.17652560968895123,Na,1
清風,0.17652560968895123,Na,1
終點處,0.17652560968895123,Nc,1
總長,0.17652560968895123,Na,1
親民,0.17652560968895123,VH,1
手作,0.17449175027187183,Na,1
荷蘭籍,0.17449175027187183,Na,1
黑松露,0.17449175027187183,Nb,1
洋蔥,0.17449175027187183,Na,1
石花,0.17449175027187183,Na,1
鬼斧神工,0.16788387608557495,VH,1
大自然,0.16788387608557495,Nc,1
墬崖,0.1544640685093412,Nc,1
家犬,0.1544640685093412,Na,1
魚港,0.1544640685093412,Nc,1
雜草叢生,0.15149101097970794,VH,1
小黑,0.15149101097970794,Nb,1
島嶼,0.15149101097970794,Na,1
花台,0.15149101097970794,Na,1
鐵柵門,0.15149101097970794,Nc,1
頂峰,0.15149101097970794,Nc,1
石頭山,0.1470039460127625,Nc,1
海天,0.14350830352412156,Na,2
生態,0.14350830352412156,Na,2
哥哥,0.11729740022721723,Na,1
夕陽,0.11729740022721723,Na,2
嫂嫂,0.11729740022721723,Na,1
目的地,0.11729740022721723,Nc,1
帳浪,0.10802385835156349,Na,1
溫泉,0.10802385835156349,Na,1
石塊,0.10802385835156349,Na,1
酒水,0.10802385835156349,Na,1
北海岸,0.09151012387077843,Nc,1
女人,0.09151012387077843,Na,1
妻子,0.09151012387077843,Na,1
軍事,0.07175415176206078,Na,1
車程,0.07175415176206078,Na,1
水窪,0.07175415176206078,Na,1
郵局,0.07175415176206078,Nc,1
漁火,0.07175415176206078,Na,1
健行,0.07175415176206078,VA,1
基隆,0.07175415176206078,Nc,1
城隍廟站,0.07175415176206078,Nc,1
中角,0.07175415176206078,Na,1
一望無際,0.07175415176206078,VH,1
野柳岬,0.07175415176206078,Na,1
