words,tfidf,pos,freq
吊橋,4.276294178977211,Na,17
天梯,1.272418945869231,Na,8
天空之橋,1.2352122916652308,Nb,3
猴探井,1.1585318484076046,Na,10
南投,1.1279580626913366,Nc,9
遊憩區,0.9204638868050657,Nc,6
悠閒,0.9137068466261475,VH,2
氣份,0.8692794228203385,Na,1
攤販,0.853772791139159,Na,5
拍照,0.7769579825789159,VB,2
至高點,0.7524597239405751,Na,1
彰化,0.666102275503323,Nc,7
鳳梨田,0.6428399694242553,Na,2
夜景,0.5991625448820709,Na,2
表演,0.5773502691896257,VC,1
原點,0.5773502691896257,Na,1
o型,0.5773502691896257,Na,0
雨傘,0.5689221296579594,Na,1
療癒,0.5532037802917108,VC,2
微雨,0.5530495841654833,Na,1
風景區,0.5487680462018467,Nc,2
斷橋,0.5336814897207667,VHC,1
花園,0.5283849652442903,Nc,4
南投市,0.4906354736296762,Nc,4
路障,0.47584493141272466,Na,1
攤位,0.4461861594586959,Na,2
花花草草,0.41984839600713636,Na,1
山谷,0.41716132541441553,Na,3
防護,0.3876963622088925,Na,1
機率,0.3774288467861186,Na,1
平原,0.3729957862400727,Na,3
舊地,0.3549727573582411,Nc,1
南投縣,0.34967474335709703,Nc,2
夜市,0.33813475135217486,Nc,2
健行,0.3355456488777609,VA,1
動物,0.3294980751900022,Na,1
優待票,0.3236018328245351,Na,1
暇意,0.3178484024151755,Na,1
步伐,0.30909743253893046,Na,1
古老,0.30909743253893046,VH,1
雲梯,0.30909743253893046,Na,1
茶園,0.30720699371214677,Nc,2
寶傘,0.2894573677623358,Nb,1
深林,0.2894573677623358,Na,1
幽靜,0.2894573677623358,VH,1
流行樂,0.2859675454975908,Na,1
寧靜,0.2859675454975908,VH,1
自然,0.2859675454975908,VH,1
吸引點,0.28491334024884907,Na,1
階段,0.28491334024884907,Na,1
踏青,0.27709286964143975,VA,1
清風,0.27709286964143975,Na,1
搖搖椅,0.25932576535993707,Na,1
櫻花,0.25932576535993707,Na,1
攤商,0.25743130309397194,Na,1
鳳梨酥,0.2555759663945554,Na,1
豪旺角,0.2555759663945554,Nb,1
邊區,0.2534282983281509,Nc,1
金光,0.2534282983281509,Na,1
眺望台,0.2370361202074472,Nc,1
登山,0.2370361202074472,VA,1
步道,0.2370361202074472,Na,1
丘陵,0.22099301495209234,Na,1
公園,0.22099301495209234,Nc,1
遼闊,0.22099301495209234,VH,1
期初,0.20768284671308707,Na,1
商家,0.20768284671308707,Na,1
附圖,0.20707857599567003,Na,1
全面性,0.20707857599567003,Na,1
尖塔,0.188680864987226,Na,2
彰化縣,0.188680864987226,Nc,2
社頭鄉,0.188680864987226,Nc,2
散步,0.17865793253456408,VA,2
觀景台,0.17701184810426615,Nc,2
網友,0.17239556955640725,Na,2
機台,0.1576589805864719,Na,1
爬山,0.1576589805864719,VA,1
鼻屎點,0.1576589805864719,Na,1
近景,0.1576589805864719,Na,1
主管,0.1576589805864719,Na,1
文化,0.1576589805864719,Na,1
手推車,0.15459702402510847,Na,1
特點,0.15459702402510847,Na,1
日晷,0.10474049857024649,Na,1
風水師,0.10474049857024649,Na,1
首富,0.10474049857024649,Na,1
路口處,0.10474049857024649,Nc,1
猴井穴,0.10474049857024649,Na,1
時針,0.10474049857024649,Na,1
林姓,0.10474049857024649,Nb,1
成效,0.10474049857024649,Na,1
來由,0.10474049857024649,Na,1
體驗,0.10474049857024649,VC,1
地形,0.10474049857024649,Na,1
當紅期,0.09475159889387129,Na,1
靜美,0.09475159889387129,Nb,1
閒座,0.09475159889387129,Na,1
谷風,0.09475159889387129,Na,1
荷包,0.09475159889387129,Na,1
票處,0.09475159889387129,Nc,1
自小客,0.09475159889387129,Na,1
御花園,0.09475159889387129,Nc,1
小食,0.09475159889387129,Na,1
夕陽,0.09475159889387129,Na,1
清幽,0.09475159889387129,VH,1
茶葉,0.094340432493613,Na,1
鳳梨園,0.094340432493613,Nc,1
鳳梨,0.094340432493613,Na,5
雲林縣,0.094340432493613,Nc,1
鐵路,0.094340432493613,Na,1
農產品,0.094340432493613,Na,1
谷地,0.094340432493613,Na,1
西海岸,0.094340432493613,Nc,1
荔枝園,0.094340432493613,Nc,1
荔枝,0.094340432493613,Na,2
壯觀,0.094340432493613,VH,1
維基百科,0.094340432493613,Nb,1
福山里,0.094340432493613,Nc,1
單車,0.094340432493613,Na,1
台中港,0.094340432493613,Nc,1
台中市,0.094340432493613,Nc,1
列車,0.094340432493613,Na,1
出海口,0.094340432493613,Nc,1
八卦,0.094340432493613,Na,1
中段,0.094340432493613,Na,1
一望無際,0.094340432493613,VH,1
麥寮鄉,0.094340432493613,Nc,1
