words,tfidf,pos,freq
原始,1.119171470409978,VH,5
獅子嘴,1.0905971017645562,Na,10
古道,1.0146825336147471,Na,6
登山,0.9865736505343412,VA,11
獅子嘴岩,0.9120737226452882,Na,3
三貂嶺,0.8918768339397339,Nc,5
奇岩,0.7866372653696998,Na,5
登高,0.744856083786575,VA,1
猴硐,0.7353530919759171,Nc,5
登山客,0.7125991590938688,Na,2
柴寮,0.6626667044867106,Nc,4
山徑,0.538768578165632,Na,2
路基,0.5362241223715286,Na,1
烏塗窟山,0.5273109150875684,Nc,2
登山口,0.492213574723382,Nc,4
山頂,0.46147950337705207,Nc,2
攀爬,0.45632059350152354,VC,1
登山口客,0.360951921555715,Nc,1
步道,0.3529370924602233,Na,2
健行,0.34327568479493004,VA,1
五分寮山,0.34327568479493004,Nc,1
中坑,0.33860283352440307,Nb,2
烏塗窟,0.29209545671027876,Nc,3
腳步,0.24538728321078548,Na,1
侯硐,0.2417627246739559,Nc,1
枝葉,0.2417627246739559,Na,1
雷聲,0.2417627246739559,Na,1
岔路,0.23851979040416693,Na,1
山坡,0.172133445023485,Na,1
事實,0.1554811498806376,Na,1
山形,0.1554811498806376,Na,1
獅子,0.1554811498806376,Na,11
礦工,0.1554811498806376,Na,1
群山,0.1554811498806376,Na,1
難事,0.1554811498806376,Na,1
河谷,0.13623618119834055,Nc,1
瀑布,0.13623618119834055,Na,2
雄偉,0.13623618119834055,VH,1
合谷,0.13623618119834055,Nc,1
瀑布群,0.13623618119834055,Na,1
