words,tfidf,pos,freq
釣魚,3.5125173853029716,VA,19
愜意,1.6217995319042926,VH,3
釣魚台,1.5492611780280086,Nc,5
獅子頭,1.3032817433959585,Na,10
遼闊,1.2531505406610992,VH,4
釣客,0.908238543679815,Na,5
趣處,0.861128502139869,Na,1
公園,0.7052261868253689,Nc,3
平台,0.6913828184646824,Na,5
週遭,0.6793105075297529,Nc,2
日出,0.6571426483826419,VA,1
風粉,0.5438921310739377,Na,1
八里,0.5274759024570549,Nc,3
五股,0.4168076406906881,Nc,4
淡水河,0.4069044035466603,Nc,3
關渡,0.3762652450374829,Nc,4
髒話,0.3745817378159685,Na,1
檳榔,0.3745817378159685,Na,1
風光明媚,0.35277542495646796,VH,1
基隆河,0.34214657083307953,Nc,2
社子島,0.34214657083307953,Nc,2
拍攝,0.3286942246981406,VC,1
三重,0.3286942246981406,Nc,1
單車,0.3286942246981406,Na,2
單車道,0.3286942246981406,Na,1
壯觀,0.3213175878957942,VH,1
釣友,0.3213175878957942,Na,1
關渡宮,0.3213175878957942,Nc,1
半圓形,0.30000657890454435,Na,2
健走,0.2830093678433626,VA,1
步道,0.2830093678433626,Na,1
河景,0.2830093678433626,Na,1
釣法,0.2791120188856452,Na,1
夕陽,0.24532040854895643,Na,1
優點,0.24532040854895643,Na,1
陽明山,0.24532040854895643,Nc,2
汙泥,0.24532040854895643,Na,1
夜景,0.24532040854895643,Na,1
路亞,0.2416553336195639,Nb,1
油味,0.2416553336195639,Na,1
二重,0.23205166369782318,Nc,2
疏洪道,0.23205166369782318,Na,2
島頭,0.22501701876392696,Na,1
天際線,0.22501701876392696,Na,1
匯流處,0.22501701876392696,Nc,1
台北,0.22501701876392696,Nc,2
山腳,0.20840382034534405,Nc,2
獅子頭山,0.20840382034534405,Nc,2
吸毒仔,0.20156444698157455,Na,1
抹布,0.20156444698157455,Na,1
針頭,0.20156444698157455,Na,1
散步,0.18889918785538753,VA,2
騎車,0.18889918785538753,VA,1
淡水,0.18889918785538753,Nc,4
自行車站,0.18889918785538753,Nc,1
陽明山系,0.15044517276633487,Nc,1
釣點,0.15044517276633487,Nc,1
遛小孩,0.15044517276633487,VA,1
高地,0.15044517276633487,Na,1
釣況,0.15044517276633487,Na,1
獅象,0.15044517276633487,Na,1
悍門,0.15044517276633487,Nb,1
台北市,0.15044517276633487,Nc,1
出水口,0.15044517276633487,Nc,1
住戶,0.15044517276633487,Na,1
平原,0.15044517276633487,Na,1
百姓,0.10420191017267202,Na,1
隘口地,0.10420191017267202,Nc,1
隘口,0.10420191017267202,Nc,2
農田,0.10420191017267202,Na,1
農民,0.10420191017267202,Na,1
良田,0.10420191017267202,Na,1
自行車道,0.10420191017267202,Na,1
河道,0.10420191017267202,Na,1
濕地,0.10420191017267202,Na,1
潮汐,0.10420191017267202,Na,1
水患,0.10420191017267202,Na,1
左岸,0.10420191017267202,Nc,1
失誤,0.10420191017267202,Na,1
名稱作,0.10420191017267202,Na,1
代價,0.10420191017267202,Na,1
鹽田,0.10420191017267202,Nc,1
