words,tfidf,pos,freq
煤礦,1.4943631769632792,Na,8
運煤橋,1.3961761822898224,Na,10
歷史,1.3422158320139088,Na,4
拍照,1.1815474744905674,VB,4
軌道,1.0308794686550904,Na,5
暗示性,1.0,Na,1
鐵道,0.8703409242361386,Na,3
礦車,0.8081055776274135,Na,3
體驗,0.7900702435860272,VC,2
礦業,0.739376370422989,Na,6
礦坑,0.7355875175932969,Na,3
礦工,0.703898816260712,Na,2
橋樑,0.6788630512377749,Na,3
基隆河,0.6479287392025563,Nc,3
猴硐,0.6375025378822008,Nc,5
整煤廠,0.599276548440064,Nc,2
煤礦業,0.5984842172216728,Na,2
生態,0.5456423931054788,Na,1
煤場,0.5259385009235665,Nc,3
文化,0.522649994716131,Na,1
圓弧形,0.5149084512085166,Na,3
鋼筯,0.5149084512085166,Na,3
卡車,0.5010820154099356,Na,2
鐵橋,0.4689361265774847,Na,2
煤廠,0.4561709635147194,Nc,4
布魯,0.4472135954999579,Nb,1
俄羅斯,0.4472135954999579,Nc,1
傾盆大雨,0.4097050083560605,Na,1
礦井,0.4097050083560605,Na,1
貓村,0.40677299585323234,Nc,2
古蹟,0.3787476524339864,Na,1
河面,0.3686350120507652,Na,1
侯硐,0.34143315341358665,Nc,2
河流,0.3187801884580283,Na,1
瑞三整,0.30893028445966053,Nb,1
工地,0.3058247175650113,Na,2
煤倉,0.3027685464957448,Na,1
煤車,0.3027685464957448,Na,2
遮蔽處,0.2961648044738053,Nc,1
隧道,0.2961648044738053,Na,1
新北市,0.26745109427094443,Nc,3
人工廠,0.258135782115077,Nc,1
小姐姐,0.258135782115077,Na,1
破敗感,0.258135782115077,Na,1
電車,0.25643737056085947,Na,1
鐵軌,0.24994122565003468,Na,2
柴油,0.2118289996488621,Na,1
坑口,0.2118289996488621,Nc,1
機關車,0.2118289996488621,Na,1
戰爭,0.18824566226565573,Na,1
遺跡,0.18824566226565573,Na,1
懷舊,0.18824566226565573,VH,1
古老,0.18824566226565573,VH,1
瑞芳區,0.17830072951396295,Nc,2
人像,0.17804374341529866,Na,1
便當盒,0.17804374341529866,Na,1
對話,0.17804374341529866,Na,1
藝品,0.17804374341529866,Na,1
牆壁,0.15291235878250564,Na,1
願景館,0.15291235878250564,Nc,1
壯年,0.15291235878250564,Na,1
右手,0.15291235878250564,Na,1
溪流,0.14016854783398533,Na,1
物體,0.14016854783398533,Na,1
目標橋,0.14016854783398533,Nc,1
自行車,0.14016854783398533,Na,1
運煤車,0.13411004600907386,Na,1
遺構,0.13411004600907386,Na,1
鑛業,0.13411004600907386,Na,1
材質,0.13411004600907386,Na,1
廠房,0.13411004600907386,Nc,1
外貌,0.13411004600907386,Na,1
來源,0.08915036475698147,Na,1
古人,0.08915036475698147,Na,1
層次,0.08915036475698147,Na,1
往事,0.08915036475698147,Na,1
攝影師,0.08915036475698147,Na,1
旅遊局,0.08915036475698147,Nc,1
柴寮路,0.08915036475698147,Nc,1
網站,0.08915036475698147,Nc,1
臺車,0.08915036475698147,Na,1
軌距,0.08915036475698147,Na,1
