words,tfidf,pos,freq
步道,4.341200973530842,Na,30
南寮,1.2579578752535232,Nc,8
瑞井,1.1089839878685288,Nc,9
涼爽,1.0,VH,1
登山,0.9197442426343436,VA,8
散步,0.7676246648600459,VA,1
古井,0.7568906442654708,Na,8
郊山,0.6163485148824837,Nc,1
山客,0.6089100401656031,Na,1
竹坑,0.5901037854404486,Nc,5
慶順宮,0.5156786698915782,Nc,5
鄉野,0.5119001159412416,Nc,1
布滿,0.5020378057011013,Na,1
二號,0.42017454644817154,Nc,3
登山口,0.39162209909605583,Nc,2
瑞安宮,0.38238883724437756,Nc,2
大水,0.37102692587956354,Na,1
彈孔,0.35937531196620354,Na,3
原始,0.332438361643774,VH,1
原生林樹,0.28718554842972976,Na,1
茂盛,0.28718554842972976,VH,1
健走,0.28718554842972976,VA,1
公所,0.28718554842972976,Nc,1
稜線,0.2583171601170162,Na,1
相思樹林,0.2583171601170162,Na,1
龍井,0.2583171601170162,Nc,1
雜草叢生,0.25298751348850074,VH,2
一號,0.23458662745252215,Nc,1
山道,0.23458662745252215,Na,1
導向,0.22745224827079985,Na,1
湧泉,0.20185545815512687,Na,2
黃土,0.20185545815512687,Na,2
華山路,0.19581104954802792,Nc,1
紀念區,0.1844500701280804,Nc,1
木樁,0.1844500701280804,Na,1
路跡,0.1844500701280804,Na,1
瑞井路,0.1844500701280804,Nc,1
牆壁,0.1844500701280804,Na,1
太平路,0.1844500701280804,Nc,1
7巷,0.1844500701280804,Nc,1
工人,0.16843781289188206,Na,2
草叢,0.16843781289188206,Na,4
停車處,0.10666986573071603,Nc,1
農民,0.10666986573071603,Na,1
拜拜,0.10666986573071603,VA,1
路樹,0.10092772907756344,Na,1
草原,0.10092772907756344,Na,1
老少咸宜,0.10092772907756344,VH,1
飲用泉,0.10092772907756344,Na,1
岔路,0.10092772907756344,Na,1
平台,0.10092772907756344,Na,1
下游,0.10092772907756344,Nc,1
公園,0.10092772907756344,Nc,1
儲水井,0.10092772907756344,Na,1
井體,0.10092772907756344,Na,1
井水,0.10092772907756344,Na,1
叉路口,0.08421890644594103,Na,1
木碑,0.08421890644594103,Na,1
產業道路,0.08421890644594103,Na,1
荒煙,0.08421890644594103,Na,1
蔓草,0.08421890644594103,Na,1
邏輯,0.08421890644594103,Na,1
里程,0.08421890644594103,Na,1
