words,tfidf,pos,freq
拍照,1.3073939450996253,VB,3
公園,0.9808930004710841,Nc,2
貓村,0.7630214555633792,Nc,3
鄉下,0.7071067811865475,Nc,1
三民,0.6949536844437887,Nc,6
田中,0.6294658558753471,Nc,7
牆雕,0.5950446870086986,Na,1
陶瓷,0.5950446870086986,Na,1
貓雕,0.5463965504888819,Na,2
陶藝,0.5309796689024177,Na,2
沃爾夫,0.5113611288531902,Nb,1
貓窯,0.5,Na,1
童趣,0.40063118129227865,Na,1
陶燒貓,0.40063118129227865,Na,1
農村,0.39679035229758913,Nc,1
散步,0.3520579848121065,VA,1
古樸,0.34004027331422704,VH,1
田野,0.34004027331422704,Nc,1
栩栩如生,0.27319827524444096,VH,1
楸七桃,0.27319827524444096,Na,1
雕像,0.2688891337507152,Na,1
拍攝,0.2688891337507152,VC,1
情感,0.2657123257265658,Na,1
欣欣,0.2657123257265658,Nb,1
里民,0.2657123257265658,Na,1
藝術,0.23280260356023952,Na,1
貓迷,0.23280260356023952,Na,1
朝聖,0.23280260356023952,VA,1
彰化站,0.20451208523824246,Nc,2
寧靜,0.1840087624537644,VH,1
旨臨宮,0.1840087624537644,Na,1
轎車,0.1840087624537644,Na,1
松田中窯,0.1671657354816507,Nb,1
農民,0.1671657354816507,Na,1
理事長,0.1671657354816507,Na,1
芹菜,0.1671657354816507,Na,1
夫妻樹,0.1671657354816507,Na,1
台中市,0.1671657354816507,Nc,1
協會,0.1671657354816507,Nc,1
快線,0.10225604261912123,Na,1
蜜麻花,0.10225604261912123,Na,1
茄苳,0.10225604261912123,Na,1
舊名,0.10225604261912123,Na,1
站牌,0.10225604261912123,Na,1
田中站,0.10225604261912123,Nc,1
木棉樹,0.10225604261912123,Na,1
斗中路,0.10225604261912123,Nc,1
二路,0.10225604261912123,Nc,1
彰南,0.10225604261912123,Nc,1
幅員,0.10225604261912123,Na,1
夫妻,0.10225604261912123,Na,2
大社路,0.10225604261912123,Nc,1
台鐵,0.10225604261912123,Nc,1
二林,0.10225604261912123,Nc,1
三民路,0.10225604261912123,Nc,1
三塊厝,0.10225604261912123,Nc,1
雷擊,0.10225604261912123,Na,1
