words,tfidf,pos,freq
貓咪,20.469190259501723,Na,94
體驗,11.970867339743979,VC,50
貓貓,9.435101554977296,Na,34
蜀葵花,5.63337239359557,Na,26
麵包,5.171594699761105,Na,28
拍照,4.049813950602691,VB,20
花海,3.8134920418131664,Na,16
蜀葵,3.020303703595554,Na,42
花季,2.7156618198135387,Nd,13
手拉胚,2.7044491624260028,Na,13
陶土,2.618028622761068,Na,8
diy,2.6118091638763845,FW,1
手作,2.098770043689641,Na,6
陶藝,1.9383612706018476,Na,7
放電,1.917352419044949,VA,5
手工,1.5097813971392853,Na,4
悠閒,1.3885979722860275,VH,3
愜意,1.3450487809155476,VH,4
彰化,1.176729190998737,Nc,7
花田,1.1422454349911704,Na,7
手拉,1.073613674364941,Na,22
瓷盤,1.067820371960899,Na,5
療癒,1.0167165339786157,VC,3
嚕貓,1.0,Nb,1
花期,1.0,Na,1
冰淇淋,0.9364458998316757,Na,5
雞腿堡,0.8826198981828108,Na,7
貓泥,0.86472024497611,Na,3
田中窯,0.855725389492945,Nc,7
窯廠,0.8511337951584125,Nc,1
浪貓,0.8500496455046525,Na,6
散步,0.840388812878337,VA,5
花園,0.829674793317976,Nc,5
花玩,0.7875570636987306,Na,1
盤子,0.7805592199058884,Na,4
蜀葵花窯,0.7714867922904904,Na,1
紫藤,0.7678994475812508,Na,2
動物,0.7515884806709551,Na,3
眼睛,0.7095226826282954,Na,3
四號,0.7071067811865475,Nc,1
龜龜,0.7071067811865475,Na,1
成品,0.6791691818429094,Na,3
折抵券,0.6678182449320196,Na,3
草地,0.6572745913642587,Nc,3
西西里,0.654141122209406,Nc,3
踏青,0.6449333217860284,VA,2
豆干,0.6349221869926174,Na,4
愛心,0.6216120031123442,Na,2
貓窯,0.619499414963775,Na,1
教學,0.6082324289710901,VA,3
藝術品,0.5982233027624666,Na,1
窯創,0.5982233027624666,Na,1
手拉坯,0.5668634733786715,Na,2
罐頭,0.55171807629493,Na,3
貓毛,0.5465634737370856,Na,3
自然,0.5450884094404085,VH,2
水缸,0.5289933150776724,Na,3
髒亂感,0.5286364847835682,Na,1
防護,0.52738533766077,Na,3
古早味,0.5271609073268416,Na,1
田中,0.5271609073268416,Nc,8
窯題,0.5271609073268416,Na,1
工讀生,0.524969808403361,Na,2
桶仔雞,0.5235473198860972,Na,4
遛小孩,0.5187044022351288,VA,1
傳統,0.518254010829136,VH,2
陸龜,0.5169660288214726,Na,2
藝術,0.5169475594127899,Na,3
粉多,0.5140893819174898,Na,1
餐飲科,0.5140893819174898,Na,1
田野,0.49986679803175454,Nc,1
野餐,0.4977095465852234,VA,3
虎斑貓,0.4901850223833374,Na,2
桶子雞,0.48852524769284156,Na,2
草坪,0.4821637501426797,Na,3
餐費,0.4801246639781784,Na,1
文化,0.4773178612189096,Na,1
高鐵站,0.43841240609642407,Nc,1
碗盤,0.4329585432566207,Na,1
創藝,0.42670071969418993,Na,4
手拉坏,0.42000093863948695,Na,2
雞腿堡餐,0.4115831738548205,Na,1
老板,0.4092467339525974,Na,1
花草,0.402488209478309,Na,1
女孩,0.39949983567858166,Na,1
蜀葵花秀,0.38828441822823023,Na,1
壯觀,0.38828441822823023,VH,1
木頭人,0.3857281767709083,Na,1
浪貓仔,0.38256389839027044,Na,1
裝置品,0.38256389839027044,Na,1
胚陶,0.3794381055686394,Na,1
發票,0.37915759847901,Na,5
馬驢,0.37818407774414875,Na,1
耳朵,0.3766364737241442,Na,2
妹妹,0.37179172504971914,Na,2
清幽,0.368615185826633,VH,2
桌面,0.3605054955682151,Nc,2
許願藤,0.35710118267891944,Na,1
歌手,0.34901649817032354,Na,2
鼠葵,0.3453329260627123,Na,1
烤雞,0.3443081690821149,Na,1
芋頭湯,0.3443081690821149,Na,1
芋頭粥,0.3443081690821149,Na,1
花廊,0.32924827387234035,Nc,1
尼龍布,0.3183404784724773,Na,1
單項,0.30979198277614245,Na,1
漢服,0.30972772195264536,Na,1
單品項,0.30609830059462,Na,1
手勢,0.30201297290708756,Na,2
糰子,0.2999468156903411,Na,1
兄弟,0.2999468156903411,Na,1
收銀機,0.2910171693215589,Na,1
模樣,0.29035375708549704,Na,1
賣點,0.289219303378737,Na,2
部位,0.28832474522182555,Na,1
麵皮,0.28515224526862354,Na,1
懷裡,0.2849373826259735,Nc,1
罐罐,0.2849373826259735,Na,1
世外桃源,0.27473538327180985,Na,1
村莊,0.27473538327180985,Nc,1
雞腿,0.2709003286561834,Na,9
落雨松,0.26857314325918596,Na,1
拍攝,0.2656878097195321,VC,1
檸檬花,0.26443241769522485,Na,1
花圃,0.26361982196224987,Nc,2
陶器,0.26244992343011014,Na,1
卡啦ok,0.2613296860307061,Na,1
貓肉泥,0.2613296860307061,Na,1
藤枝,0.26102070859644655,Na,1
飽足感,0.25603058112084087,Na,1
蔓越莓,0.25538564723358886,Na,1
甕窯雞,0.25377391512883973,Na,1
小可愛,0.2508708839110893,Na,1
工藝師,0.2508708839110893,Na,1
波斯菊,0.24947029899018275,Na,1
陶窯,0.24947029899018275,Na,1
公雞,0.24947029899018275,Na,1
大龜,0.24947029899018275,Na,1
下午茶,0.24649624802904935,Na,1
陸亀雞園,0.24649624802904935,Na,1
鱷龜,0.24649624802904935,Na,1
鶯歌,0.24442418083464218,Nc,2
青瓷,0.24265448091105868,Na,1
野生,0.24070374824085167,A,1
店主,0.23855355729916547,Na,1
灰色,0.23855355729916547,Na,1
成就感,0.23800611561200724,Na,1
窯陶,0.23800611561200724,Na,1
韓柚茶,0.23800611561200724,Na,1
公園,0.23457946430332477,Nc,1
碎片,0.23318104321566416,Na,1
綠水,0.23197949823435388,Na,1
騎車,0.22782591825912768,VA,1
腳踏車,0.22782591825912768,Na,1
手拉柸,0.2263279401417591,Na,1
天熱,0.2157335544886823,Na,1
爪子,0.2157335544886823,Na,1
疾病,0.20657348706107997,Na,1
市售價,0.20588367529128285,Na,1
彰化縣,0.20588367529128285,Nc,1
燒窯,0.20169505219628844,Na,1
浪浪貓,0.20057542458923514,Na,1
九重葛,0.20057542458923514,Na,1
服務生,0.19653380591723157,Na,1
甕仔雞,0.19653380591723157,Na,1
果蠅,0.1884664533840369,Na,1
沙土,0.1884664533840369,Na,1
魚缸,0.1884664533840369,Na,1
泥土,0.18589586252485957,Na,1
湯碗,0.18589586252485957,Na,1
西瓜,0.18589586252485957,Na,1
庫洛米,0.18589586252485957,Nb,1
殘念,0.1851050279254723,Na,1
天靈蓋,0.1851050279254723,Na,1
杯蓋,0.1851050279254723,Na,1
廢物,0.1767247204861969,Na,1
捕獸夾,0.1767247204861969,Na,1
鄉下,0.1767247204861969,Nc,1
冰拿鐵,0.17051452838404066,Na,1
冰淇淋區,0.17051452838404066,Nc,1
手工區,0.17051452838404066,Nc,1
花園區,0.17051452838404066,Nc,1
餐廳區,0.17051452838404066,Nc,1
駐唱區,0.17051452838404066,Nc,1
過年,0.16296101492373638,VA,1
暴力,0.15714296051202087,Na,1
正餐,0.15714296051202087,Na,1
水盆,0.15622481992314255,Na,1
清潔感,0.15622481992314255,Na,1
食盆,0.15622481992314255,Na,1
分泌物,0.15080721504068706,Na,1
流浪貓,0.15080721504068706,Na,1
黑貓,0.15080721504068706,Na,1
鼻涕,0.15080721504068706,Na,1
屬性,0.1378079294647798,Na,1
月份,0.1378079294647798,Na,3
歉意,0.1378079294647798,Na,1
老麵,0.1354501643280917,Na,1
雕像,0.1354501643280917,Na,1
天然,0.1354501643280917,A,1
咖哩,0.1354501643280917,Na,1
彰化站,0.13202688679205976,Nc,1
柴窯窯,0.13202688679205976,Na,1
枝葉,0.13202688679205976,Na,1
菜餚,0.13202688679205976,Na,1
嘴角,0.13202688679205976,Nc,1
吉他,0.13202688679205976,Na,1
古董,0.13202688679205976,Na,1
冰品,0.13202688679205976,Na,1
梅子醋,0.12718191833764214,Na,1
產業道路,0.12718191833764214,Na,1
芋頭味,0.12718191833764214,Na,1
菜脯,0.12718191833764214,Na,2
菜脯味,0.12718191833764214,Na,1
鹹粥,0.12718191833764214,Na,1
來賓,0.11507430295680712,Na,1
葵蜀花,0.11507430295680712,Na,1
肉泥,0.11507430295680712,Na,2
他處,0.11507430295680712,Nc,1
人手,0.11507430295680712,Na,1
統一發票,0.11390252129337498,Na,1
青梅醋,0.11390252129337498,Na,1
花瓣,0.11390252129337498,Na,1
腳程,0.11390252129337498,Na,1
螺紋,0.11390252129337498,Na,1
紙本發票,0.11390252129337498,Na,1
程序,0.11390252129337498,Na,1
售票處,0.11390252129337498,Nc,1
員林,0.11390252129337498,Nc,1
紀念品,0.10674766453369337,Na,1
草原,0.10674766453369337,Na,1
陶盤,0.10674766453369337,Na,1
三合院,0.10480690957245141,Nc,1
中型,0.10480690957245141,Na,1
斜陽,0.10480690957245141,Na,1
窯器,0.10480690957245141,Na,1
雙寶,0.10480690957245141,Na,1
