words,tfidf,pos,freq
甲仙,2.8910688358838903,Nc,15
步道,2.3950169145662326,Na,13
高地,1.0572046592003794,Na,6
清幽,0.778583901341179,VH,2
甲仙大橋,0.6686989428771689,Nc,2
登山,0.6428733489207776,VA,1
野餐,0.4804923259545484,VA,3
臺階,0.4378322198261612,Na,3
遼闊,0.4312577868036971,VH,2
山腳,0.404038093542616,Nc,2
蟲鳴,0.38746834442722644,Na,1
甲仙橋,0.3702481480163799,Nc,1
觀鄉亭,0.3702481480163799,Nc,1
散步,0.36496714617621834,VA,1
街梯,0.3217644186145319,Na,1
物理,0.3217644186145319,Na,1
臺地,0.29188814655077416,Na,2
冰品,0.28867513459481287,Na,1
蛀蟲,0.2859852757126751,Na,1
雜草叢生,0.25977238190665847,VH,1
觀景亭,0.25977238190665847,Nc,1
山頂,0.25977238190665847,Nc,1
螞蟻,0.2561017791548238,Na,1
森林感,0.2561017791548238,Na,1
蝴蝶,0.2561017791548238,Na,2
望鄉亭,0.25292760994640906,Nc,3
水泥地,0.21656646230105184,Na,2
草皮,0.21656646230105184,Na,2
體驗,0.17310567827894344,VC,1
撲滿,0.17310567827894344,Na,1
樹葉,0.17310567827894344,Na,1
目的地,0.17310567827894344,Nc,1
草地,0.16861840663093935,Nc,2
枯葉,0.14594407327538708,Na,1
溪谷,0.14594407327538708,Na,1
放風,0.10828323115052592,VA,1
拍照,0.10828323115052592,VB,1
肺炎,0.10828323115052592,Na,1
武漢,0.10828323115052592,Nc,1
平台,0.10828323115052592,Na,1
六義山,0.08430920331546968,Nc,1
化石谷,0.08430920331546968,Na,1
四德,0.08430920331546968,Na,1
地貌,0.08430920331546968,Na,1
攔河堰,0.08430920331546968,Na,1
楠仔仙溪,0.08430920331546968,Nc,1
油礦溪,0.08430920331546968,Na,1
生態,0.08430920331546968,Na,1
蝴蝶蟲,0.08430920331546968,Na,1
街區,0.08430920331546968,Nc,1
露營車,0.08430920331546968,Na,1
鳴鳥,0.08430920331546968,Na,1
