words,tfidf,pos,freq
雪山,1.7266494915312114,Na,4
群山,1.2036204527823327,Na,2
界碑,1.1184729735193786,Na,4
聖稜線,1.109808942748211,Na,3
觀景台,1.05916064840947,Nc,4
西稜,0.8272725848089137,Nb,2
公園,0.7647362952270584,Nc,2
雪霸,0.7647362952270584,Nc,2
西陵,0.7071067811865476,Nb,1
聖景,0.6363396019911247,Na,1
山巒,0.6155547553744701,Na,1
大覇尖,0.6155547553744701,Nc,1
平台,0.6099321332447389,Na,2
遼闊,0.5185015082848391,VH,1
壯觀,0.5185015082848391,VH,1
遊憩區,0.5184424862344187,Nc,2
雄偉,0.5,VH,1
大霸尖山,0.5,Nc,1
拍照,0.45499649897094474,VB,1
司馬限林道,0.44499809764506615,Nb,2
日出,0.38128723910724266,VA,1
拍攝,0.3207562248441733,VC,1
樹枝,0.3207562248441733,Na,1
人跡,0.3099770395288461,Na,1
樹葉,0.3099770395288461,Na,1
枝葉,0.274002446295213,Na,1
心胸,0.2619187072018016,Na,1
视野,0.2619187072018016,Na,1
內山,0.24253562503633297,Nc,1
目的地,0.24253562503633297,Nc,1
山林,0.2234474577836316,Nc,1
司馬庫斯,0.21432616843208768,Nc,1
桶子,0.21432616843208768,Na,1
產業道路,0.21432616843208768,Na,1
長度,0.21432616843208768,Na,1
