words,tfidf,pos,freq
大武山,1.825996401138105,Nc,8
登山,1.289659153230483,VA,21
登山客,1.153845310019932,Na,4
北大武,0.9926523194849098,Nc,5
大武,0.9828585870523888,Nb,18
山羊,0.8908860219558176,Na,9
山友,0.7204352030006899,Na,6
咖啡豆,0.7071067811865476,Na,1
登山口,0.6679892842888301,Nc,5
故事館,0.6668407807154445,Nc,4
小維,0.607878958908879,Nb,2
老闆人,0.5287409610370621,Na,1
老板,0.5,Na,1
超棒款,0.5,Na,1
體驗,0.44686551698482413,VC,5
沐浴乳,0.3943550437591423,Na,2
電扇,0.364037580546197,Na,1
山屋,0.3531112945864868,Na,3
微波爐,0.314774939627483,Na,2
電鍋,0.314774939627483,Na,2
屏東,0.30564199681263743,Nc,1
登山界,0.30431659705820197,Nc,2
停泊點,0.2969851559263856,Na,1
大武山系,0.2969851559263856,Nc,1
水壓,0.2870376798080103,Na,1
洗髮乳,0.2870376798080103,Na,1
小卡車,0.276297399335462,Na,1
住宿點,0.2699869383385967,Nc,1
車程,0.23514632959572188,Na,1
梅花,0.23395530637321021,Na,1
院子,0.23395530637321021,Na,1
全身,0.2183964990310231,Nc,1
館主,0.2183964990310231,Na,1
高齢,0.2183964990310231,Na,1
聖母峰,0.2183964990310231,Nc,1
強者,0.2183964990310231,Na,1
隊友,0.21815847422117604,Na,1
展出品,0.21736156316106442,Na,1
願景,0.21736156316106442,Na,1
通舖,0.20154257518494398,Na,1
爬山,0.1982199181889251,VA,1
事蹟,0.1982199181889251,Na,1
傳奇,0.1982199181889251,Na,1
貢獻,0.1982199181889251,Na,1
百岳,0.19285830799628864,Neu,1
祖靈,0.17703859524283586,Na,1
部落,0.17703859524283586,Nc,1
動物,0.17703859524283586,Na,1
歷史,0.17703859524283586,Na,1
祭典,0.17703859524283586,Na,1
登山人,0.15962024993936097,Na,1
房客,0.15962024993936097,Na,1
車門,0.15962024993936097,Na,1
山區,0.14571664711773125,Nc,1
暴雨,0.14571664711773125,Na,1
洗髮精,0.14571664711773125,Na,1
睡袋,0.14571664711773125,Na,1
日出,0.13650815297155428,VA,2
自然,0.13650815297155428,VH,2
山界,0.13572870556111974,Nc,3
鼻祖,0.13572870556111974,Na,1
用具,0.13572870556111974,Na,1
山人,0.13572870556111974,Na,2
牙刷,0.06825407648577714,Na,1
餘暉,0.06825407648577714,Na,1
貓頭鷹,0.06825407648577714,Na,1
象徵性,0.06825407648577714,Na,1
腳架,0.06825407648577714,Na,1
硬幣,0.06825407648577714,Na,1
直面,0.06825407648577714,Na,1
牙膏,0.06825407648577714,Na,1
震撼,0.06825407648577714,VJ,1
浴巾,0.06825407648577714,Na,1
星光,0.06825407648577714,Na,1
尾巴,0.06825407648577714,Na,1
容器,0.06825407648577714,Na,1
好人,0.06825407648577714,Na,1
夕陽,0.06825407648577714,Na,1
北館,0.06825407648577714,Nc,1
公關,0.06825407648577714,Na,1
單方面,0.0464438334339869,Na,1
定位圖,0.0464438334339869,Na,1
想法,0.0464438334339869,Na,1
留言,0.0464438334339869,Na,1
盲點,0.0464438334339869,Na,1
雙眼,0.0464438334339869,Na,1
