words,tfidf,pos,freq
溫泉,7.914769424914891,Na,69
野溪,3.352134308128507,Nc,20
天然,2.829407496484519,A,11
白橋,1.8853970989651399,Nc,13
溪水,1.527208190569284,Na,9
阿公,1.4836413052815087,Na,6
硫磺泉,1.2871154227600132,Na,2
前人,1.0643568847176488,Na,3
紅橋,0.975298550796437,Nc,6
大自然,0.9423733417465735,Nc,4
醬子,0.8163882118022172,Na,1
硫磺味,0.7939373337555797,Na,4
泡湯,0.7207182841749069,VA,4
更衣室,0.71643022232064,Nc,3
祕境,0.709196763991469,Nc,2
舒適度,0.7071067811865475,Na,1
泡腳,0.6429328155736453,VA,6
朝聖,0.618239433407088,VA,1
水泥池,0.5789829727405132,Na,2
山林,0.5027008564287584,Nc,2
騎車,0.49001901160002836,VA,1
深山,0.4625676918918659,Na,1
網速,0.4625676918918659,Na,1
愛心,0.4215242855610804,Na,1
自然,0.4082443719365104,VH,8
溫泉池,0.3968296384458848,Na,2
野溪池,0.3932057419349759,Nc,1
溪谷,0.37826575544224267,Na,2
人造池,0.37821919810755544,Na,1
池況,0.37821919810755544,Na,1
溫泉溪,0.37821919810755544,Nc,1
水池,0.37284835460079735,Na,6
模樣,0.35355339059327373,Na,1
旅遊團,0.3330277443364497,Na,1
山泉,0.3240317270310139,Na,1
停車處,0.32139609419002846,Nc,1
好心人,0.31185616091137025,Na,1
繩鎖,0.3104748591018073,Na,1
出河口,0.3104748591018073,Nc,1
圓鍬,0.3104748591018073,Na,1
禮儀,0.3070263114747018,Na,1
常客,0.3070263114747018,Na,1
硫磺,0.28419788571675114,Na,8
溫泉路,0.28329039297034414,Na,1
老伯,0.28329039297034414,Na,1
高齡,0.2824549930565472,Na,1
繩索,0.28104944625336115,Na,1
體驗,0.2597116649553104,VC,2
拉管,0.2522529196518671,Na,1
台東,0.24860196902417003,Nc,3
岔路,0.24860196902417003,Na,3
溫泉區,0.24393355446154194,Nc,1
冷泉,0.24255732835074134,Na,1
牛奶湯,0.24255732835074134,Na,1
牛奶色,0.23566819794679209,Na,1
親民車,0.23566819794679209,Na,1
關子嶺,0.2313325037981384,Nc,1
泥沙,0.2313325037981384,Na,1
玩水,0.2313325037981384,VA,1
冷熱池,0.21232159994207012,Na,1
水熱,0.21232159994207012,Na,1
黃褐色,0.21232159994207012,Na,1
冷水池,0.21232159994207012,Na,1
恩賜,0.20936850338965526,Na,1
湯泉,0.20936850338965526,Na,1
溫泉水,0.19860483544837587,Na,2
產業道路,0.19860483544837587,Na,2
池上,0.19273123947389587,Nc,2
球鞋,0.19273123947389587,Na,2
洗水池,0.1926551001954036,Na,2
部落,0.189860017775132,Nc,2
河床,0.17365838283879398,Na,2
阿自然,0.16269995556554298,Nc,1
湧泉,0.16269995556554298,Na,1
泡腳池,0.16269995556554298,Na,1
有心人,0.16269995556554298,Na,1
石子,0.14354120000492032,Na,1
冷管,0.14354120000492032,Na,1
勺子,0.14354120000492032,Na,1
座標,0.14354120000492032,Na,1
淺坡,0.14354120000492032,Na,1
熱管,0.14354120000492032,Na,1
眼簾,0.14354120000492032,Na,1
秘境感,0.14354120000492032,Na,1
綠能所,0.14354120000492032,Nc,1
音樂會,0.1193910655237743,Na,1
蝴蝶谷,0.1193910655237743,Nc,1
熱氣球,0.1193910655237743,Na,1
鹿野,0.1193910655237743,Nc,1
黑泥,0.1193910655237743,Na,1
花樣,0.1193910655237743,Na,1
壁畫,0.1193910655237743,Na,1
泥石路,0.1193910655237743,Na,1
毛雨,0.1193910655237743,Na,1
延平鄉,0.1193910655237743,Nc,1
少棒,0.1193910655237743,Na,1
光雕,0.1193910655237743,Na,1
水泥道,0.1193910655237743,Na,1
工務所,0.09636561973694793,Nc,1
溪底,0.09636561973694793,Na,1
腳踏車,0.09636561973694793,Na,1
冷水管,0.09636561973694793,Na,1
伯朗,0.09636561973694793,Nb,1
休旅車,0.09636561973694793,Na,1
活水,0.0963275500977018,Na,1
乳白色,0.08682919141939699,Na,1
換日線,0.08682919141939699,Na,1
松楓橋,0.08682919141939699,Nc,1
泉色,0.08682919141939699,Na,1
牧場,0.08682919141939699,Nc,1
目的地,0.08682919141939699,Nc,1
紅葉橋,0.08682919141939699,Nc,1
群山,0.08682919141939699,Na,1
谷歌,0.08682919141939699,Nb,1
鹿鳴路,0.08682919141939699,Nc,1
