words,tfidf,pos,freq
瀑布,12.6204812973263,Na,86
步道,6.246163428403559,Na,33
螞蟻,1.8969290910352743,Na,8
親民,1.8115134042749943,VH,5
管線,1.8113506704883058,Na,8
知本,1.672303556515204,Nc,8
壯觀,1.3849335316211473,VH,4
溫泉,1.373690729720058,Na,10
白玉,1.2881387141560985,Na,5
清幽,1.2431534910187882,VH,4
涼爽,1.069328539022735,VH,3
溪水,1.0,Na,1
玩水,0.9782885551139822,VA,5
自然,0.9166090691607464,VH,5
泡湯,0.9074131059107006,VA,2
溫泉區,0.9023180376314485,Nc,3
芬多精,0.8932493067375689,Na,3
深山,0.8510886110865599,Na,2
天然,0.8097732934349242,A,3
散步,0.7937428772645377,VA,3
絲綢,0.7155897151536416,Na,2
長者,0.7072480189732161,Na,3
山景,0.6518126476301911,Na,2
大自然,0.6244527972995947,Nc,1
目的地,0.6154662522155332,Nc,2
微雨,0.6088608780580788,Na,1
拍照,0.5910508697878851,VB,2
消暑,0.5808164692534121,VA,2
龍泉路,0.5542354510301383,Nc,2
43巷,0.5542354510301383,Nc,2
福音,0.5106310053941463,Na,1
飛泉,0.49476796572331444,Na,1
水區,0.48998068584959137,Nc,1
清涼,0.48658002169105374,VH,1
階梯型,0.4855167162981896,Na,1
健行,0.48095074251119885,VA,1
水分子,0.4659459440028661,Na,1
卡努,0.443831527645816,Nb,1
精華,0.4223700446196075,Na,1
日月,0.4223700446196075,Na,1
棧道,0.4084873172309103,Na,1
蝴蝶,0.4082845503148216,Na,1
羊脂,0.40175659013880083,Na,1
壓迫感,0.39022957430735367,Na,1
生態,0.3794628879789137,Na,2
猴仔,0.37013225942996275,Na,1
楷梯,0.36790645802980787,Na,1
蹺蹺板,0.36551245279345157,Na,1
去水量,0.36361633374721,Na,1
體驗,0.350307117454276,VC,1
河流,0.330922772221693,Na,1
雪花,0.3257117129260178,Na,1
低難度,0.32152805757268477,Na,1
山泉水,0.31962497259489797,Na,1
扇形,0.31767895495580845,Na,1
靈性,0.31767895495580845,Na,1
療癒,0.31767895495580845,VC,1
日程,0.30133752099667516,Na,1
溫泉水,0.2975140929494939,Na,1
獼猴,0.29249193165588216,Na,1
負離子,0.29249193165588216,VJ,1
遠近皆宜,0.27507353062677997,Na,1
木梯,0.27507353062677997,Na,1
溪谷,0.26938491545178506,Na,1
少女,0.2651522776369652,Na,1
溪流,0.2651522776369652,Na,1
上衣,0.2651522776369652,Na,1
祕境,0.2649797596597877,Nc,1
瀑布點,0.25031782641082206,Na,1
路滑,0.2373723973319285,Na,1
水坑,0.2286281932821321,Na,1
富士山,0.2228418058928948,Nc,1
自行車,0.2228418058928948,Na,1
器堂,0.2228418058928948,Na,1
森林浴,0.21364822303542239,Na,1
富野,0.20697515046208187,Nb,1
自小客貨車,0.1958660017678789,Na,1
勇男橋,0.14336287080308788,Nc,1
名氣,0.14336287080308788,Na,1
商家,0.14336287080308788,Na,1
住宿區,0.13993227546563353,Nc,1
股歌,0.13993227546563353,Nb,1
蟹魚,0.13993227546563353,Na,1
