words,tfidf,pos,freq
石龜,1.9757481572268163,Na,13
熊貓,1.368325810001917,Na,7
村落,0.9305418578190009,Na,3
彩繪村,0.8791228657609852,Nc,3
胖達,0.6196014214860693,Nb,1
斗南鎮,0.5429861571175705,Nc,1
雲林縣,0.5429861571175705,Nc,1
鄉間,0.5114810767119049,Nc,2
主体,0.428700381940094,Na,1
拍照,0.3867101967622772,VB,1
村莊,0.3867101967622772,Nc,1
體驗,0.30607954551206024,VC,1
鄉村,0.30607954551206024,Nc,1
鄉野,0.30607954551206024,Nc,1
寧靜,0.29496883124573864,VH,1
林子,0.24346215031114601,Na,1
阿丹,0.24346215031114601,Nb,1
散步,0.24346215031114601,VA,1
雕像,0.2400144967841214,Na,1
石溪里,0.14769378418698867,Nc,1
醬油,0.14769378418698867,Na,1
輾米廠,0.14769378418698867,Nc,1
聖王,0.14769378418698867,Na,1
老店,0.14769378418698867,Nc,1
石龜里,0.14769378418698867,Nc,1
石龜溪,0.14769378418698867,Nc,1
母子,0.14769378418698867,Na,1
歷史,0.14769378418698867,Na,1
校園,0.14769378418698867,Nc,1
彩圖,0.14769378418698867,Na,1
平安龜,0.14769378418698867,Na,1
小鋪,0.14769378418698867,Nc,1
五股,0.14769378418698867,Nc,1
金龜,0.14769378418698867,Na,1
