words,tfidf,pos,freq
公園,2.5390326194380806,Nc,12
自然,1.4551307669820885,VH,4
自行車道,1.2819130050450975,Na,4
河濱,1.040368743939128,Nc,3
寧靜,1.0,VH,1
紅樹林,0.9945052303372255,Na,5
生態,0.9081013681851063,Na,2
螃蟹,0.8715402199670517,Na,2
竹南,0.8613272650155896,Nc,3
踏青,0.8392903874770128,VA,1
涼爽,0.8304447445347923,VH,1
夜市場,0.7391387109017791,Nc,1
散步,0.6389983963913517,VA,2
出海口,0.561685466885314,Nc,1
彈塗魚,0.546038352628274,Na,3
海風,0.44365865895403805,Na,1
五福橋,0.4211071169444604,Nc,1
大河戀,0.4211071169444604,Na,1
野餐,0.4149665516403308,VA,1
拍照,0.38520713407836704,VB,1
果樹,0.38520713407836704,Na,1
動植物,0.3834802228248831,Na,1
水筆仔,0.3834802228248831,Na,1
招潮蟹,0.3547397907567058,Na,2
楸韆,0.28418285578057406,Na,1
蛛蛛絲,0.28418285578057406,Na,1
步道,0.10302901337112712,Na,1
藝術,0.10302901337112712,Na,1
落日,0.10302901337112712,Na,1
泥沼,0.10302901337112712,Nc,1
泥土,0.10302901337112712,Na,1
夕陽,0.10302901337112712,Na,1
正字標記,0.10302901337112712,Na,1
官義渡,0.10302901337112712,Nb,1
大佛頭,0.10302901337112712,Na,1
印像,0.10302901337112712,Na,1
五福大橋,0.10302901337112712,Na,1
雕像,0.10302901337112712,Na,1
