words,tfidf,pos,freq
竹東,1.662774567594877,Nc,11
文創,1.42341206430099,Na,8
拍照,1.1400181082516305,VB,4
原住民,0.9889311399693752,Na,3
市集,0.9851073179828429,Na,3
悠閒,0.7352181083383657,VH,2
藝術村,0.6862430860998724,Nc,5
體驗,0.6262193015242403,VC,1
空城,0.5620092684934423,Na,1
廢區,0.5245431689829914,Nc,2
老區,0.47779396778898614,Nc,1
歌手,0.36619129990623334,Na,1
客家,0.35264501971206347,Na,1
布藝品,0.35264501971206347,Na,1
藝術,0.32045836847966697,Na,6
舊事,0.30766107253644637,Na,2
蚊子館,0.30766107253644637,Nc,2
榮景,0.2696232319391525,Na,1
工作坊,0.26460934615303244,Nc,1
阿比,0.2622715844914957,Nb,1
攤販,0.25967099269774485,Na,1
優點,0.25967099269774485,Na,1
徒步區,0.2563278817755529,Nc,1
新舊,0.2562150293390573,Na,1
漢服,0.2562150293390573,Na,1
老屋,0.2562150293390573,Na,1
垃圾堆,0.23629172382533764,Na,1
工業風,0.2146691602561383,Na,1
廢墟狀,0.2146691602561383,Na,1
商店,0.20983774066696068,Nc,1
文青,0.20983774066696068,Nb,1
租客,0.20711934296160933,Na,1
分數,0.1488142213272062,Na,1
專案,0.1488142213272062,Na,1
攤位,0.1488142213272062,Na,1
右手,0.12294959845835572,Na,1
平交道,0.12294959845835572,Nc,1
新竹縣,0.12294959845835572,Nc,1
竹東鎮,0.12294959845835572,Nc,1
規則,0.12294959845835572,Na,1
