words,tfidf,pos,freq
步道,1.7365621916330287,Na,14
古道,1.7008001791590523,Na,17
米棧,1.1874671065609275,Nc,15
觀景台,1.0000380268591043,Nc,9
路线,1.0,Na,1
清靜,1.0,VH,1
原始,0.9768509443890349,VH,3
榕樹,0.8881172378285798,Na,3
部落,0.6063801061603757,Nc,1
神話,0.5943953651378014,Na,1
體驗,0.5509416428047773,VC,4
郊遊,0.4723568209649002,VA,1
古色古香,0.4723568209649002,VH,1
花蓮,0.4576337225556376,Nc,9
花東,0.45123772606022083,Nc,3
碎石子路,0.4479041966194098,Na,2
蟲鳴,0.4312956664678832,Na,2
縱谷,0.34870369561625936,Na,2
單車,0.34665355591903996,Na,1
自然,0.3464842732791962,VH,4
山椒,0.3325717450062883,Na,1
土地廟,0.3318534552788977,Nc,1
樹葉,0.3305817128804561,Na,2
蜜蜂,0.3245676797088572,Na,1
藝術,0.3084478382458348,Na,2
芬多精,0.2950859279656344,Na,1
健行,0.29441763844071034,VA,2
貨物,0.2794866956404082,Na,3
平台,0.2794475571061589,Na,2
環島,0.2618433974424598,VA,1
文明,0.2618433974424598,Na,1
強度,0.22967428998854836,Na,1
林木,0.22967428998854836,Na,1
生態,0.22967428998854836,Na,1
茂盛,0.22967428998854836,VH,1
腳步,0.22205103559353603,Na,1
大峽谷,0.2079026441555688,Nc,1
水窪,0.2079026441555688,Na,1
太魯閣,0.2079026441555688,Nc,1
秀麗,0.2079026441555688,VH,1
夥伴,0.2079026441555688,Na,1
樹陰,0.19255782489765397,Na,1
碎石子,0.19255782489765397,Na,3
愛情,0.19009997416196456,Na,1
清涼,0.19009997416196456,VH,1
壽豐,0.15700114554535308,Nc,3
協會,0.14944316206943536,Nc,2
涼爽,0.1492669887740689,VH,1
西段,0.1492669887740689,Nc,1
海風,0.1447205480031606,Na,1
枝葉,0.1407202004171203,Na,1
樹枝,0.1407202004171203,Na,1
瞭望台,0.11410020167085988,Nc,1
登山,0.11410020167085988,VA,5
山友,0.11410020167085988,Na,1
快餐店,0.11410020167085988,Nc,1
車程,0.09341149013473979,Na,1
親民,0.09341149013473979,VH,1
田園景,0.09341149013473979,Na,1
花蓮市,0.09341149013473979,Nc,1
泥土路,0.09341149013473979,Na,1
爬山,0.09341149013473979,VA,1
停車處,0.09341149013473979,Nc,1
交接處,0.08549422338495144,Nc,1
地主,0.08549422338495144,Na,1
牌子,0.08549422338495144,Na,1
草鼻段,0.08549422338495144,Nc,1
街景,0.08549422338495144,Na,1
稻米,0.07850057277267654,Na,1
農產品,0.07850057277267654,Na,1
花蓮縣,0.07850057277267654,Nc,1
花蓮溪,0.07850057277267654,Nc,1
花蓮人,0.07850057277267654,Na,1
米棧村,0.07850057277267654,Nc,1
渡船,0.07850057277267654,Na,1
祖先,0.07850057277267654,Na,1
省道,0.07850057277267654,Nc,1
牛車,0.07850057277267654,Na,1
水璉,0.07850057277267654,Nc,1
歷史,0.07850057277267654,Na,1
壽豐鄉,0.07850057277267654,Nc,1
雜樹林,0.07850057277267654,Na,1
