words,tfidf,pos,freq
公園,4.8894268868185184,Nc,23
歷史,4.707574324472106,Na,20
萬華,4.443400664325242,Nc,14
台北,3.02303958155294,Nc,16
文化,2.85738164937756,Na,11
糖廠,2.1718341610479897,Nc,11
散步,2.139278230537893,VA,7
糖業,1.8801530986516606,Na,9
古蹟,1.7254088525931177,Na,9
糖廍,1.7237449709584505,Na,8
清幽,1.370180821248415,VH,3
展覽,1.2863139737623723,VC,4
溜滑梯,1.187579715684082,VA,5
遊樂,1.159452753667712,VA,5
甘蔗,1.0269415515528242,Na,13
住戶,0.9034223847237615,Na,2
萬華人,0.8178166506846077,Na,1
幽靜,0.8178166506846077,VH,1
野餐,0.8062141433222512,VA,1
體驗,0.8062141433222512,VC,1
花園,0.8029321984594641,Nc,3
放電,0.7571019094728422,VA,3
龍山寺,0.7283315406437607,Nc,4
櫻花,0.7071067811865475,Na,1
遺蹟,0.6918483197416813,Na,1
時代感,0.6654263819362822,Na,1
藝術,0.6366199157826817,Na,2
農田,0.6325893107779056,Na,1
文青,0.617933968820641,Nb,1
文創,0.6062432562914967,Na,1
株式會社,0.6031301113946576,Nc,2
福氣,0.5993426760332201,Na,1
社工,0.5902418378027978,Na,1
古老,0.5893006674692538,VH,2
遊具,0.5817373992022203,Na,2
萬華糖,0.5799393874182588,Nc,1
大石,0.5773502691896258,Na,1
石磨,0.5731357408986325,Na,3
製糖廠,0.5469026403764259,Nc,3
展館,0.5206474913487975,Nc,2
展場,0.5194589812299676,Nc,2
博物館,0.5118197928418021,Nc,3
專員,0.5083033419116341,Na,1
遊園,0.5083033419116341,VA,1
石池,0.5065972255796236,Nc,2
市集,0.49760106675479715,Na,1
藝文,0.49760106675479715,A,1
糖廍里,0.48638836770580174,Nc,1
一角,0.47762029115917204,Nc,2
主題性,0.47145990897374046,Na,1
清流,0.4564709017092353,Na,1
悠閒,0.4490641565677063,VH,1
歷史感,0.4483230100819447,Na,1
沙區,0.445978390762778,Nc,1
復古,0.4377370795308241,VHC,1
展示館,0.4331021411246473,Nc,2
舊地,0.42495879740858167,Nc,1
休憩椅,0.4062743990949448,Na,1
甘蔗園,0.4043117332652888,Nc,2
美食區,0.4032501215369906,Nc,1
花草,0.3937450143252663,Na,2
舅舅,0.39258620521622534,Na,1
里長,0.38810778428101195,Na,1
表演,0.3797396400614873,VC,2
踏青,0.37747663927625685,VA,1
香茸,0.3732252596921294,Na,1
蔗糖,0.3515862734084326,Na,3
廠館,0.3504546123345782,Nc,2
甘蔗廠,0.3361682245213716,Nc,1
孩童,0.31582196774157356,Na,1
靜好,0.31582196774157356,Nb,1
懷舊,0.3151891986505241,VH,1
軌道,0.29996759547901286,Na,2
艋舺,0.29262129044279483,Nc,2
建築群,0.2910074543580265,Na,1
鄰里,0.2910074543580265,Na,1
民意,0.2885502290584714,Na,1
源流,0.28485870967774307,Nc,1
文本,0.28217354107588255,Na,1
製糖處,0.2801432201696242,Nc,1
劇團,0.27656176489249745,Na,1
農村,0.2764865595465474,Nc,1
飲料店,0.2719368693389254,Nc,1
花圃,0.2719368693389254,Nc,1
尿布台,0.2719368693389254,Na,1
菜園,0.2719368693389254,Nc,1
文史,0.25743110644522466,Na,2
糖倉,0.24928347494735262,Nc,1
遊戲場,0.24928347494735262,Nc,1
蟬鳴,0.24928347494735262,Na,1
糖業史,0.2484611459886979,Na,1
戲劇,0.23180647398408832,Na,1
萬華站,0.2301492552695285,Nc,1
感概,0.2222749277209145,Na,1
懷念,0.2222749277209145,VJ,1
觀點,0.2222749277209145,Na,1
時空,0.2222749277209145,Na,1
位址,0.2202469010449676,Na,1
周一,0.2151169623986904,Nb,1
新糖,0.2151169623986904,Nc,1
模特兒,0.2139707919533591,Na,1
日本,0.2139707919533591,Nc,1
樂犬,0.20399277683861605,Na,1
雪納瑞,0.20399277683861605,Nb,1
甘蔗糖,0.18619878615931604,Na,1
農業,0.18619878615931604,Na,1
庶糖,0.18619878615931604,Na,1
實物,0.18408854047847711,Na,1
牛車,0.18408854047847711,Na,1
製糖史,0.18408854047847711,Na,1
大理街,0.18275758068687836,Nc,2
腳踏車,0.1752273061672891,Na,1
過年,0.17082138689865303,VA,1
攀爬,0.17082138689865303,VC,1
滑梯,0.17082138689865303,Na,6
趣味,0.17082138689865303,Na,1
高年級,0.17082138689865303,Na,1
水窗,0.1707897253008205,Na,1
清代,0.1707897253008205,Nd,1
住宅區,0.1707897253008205,Nc,1
煙囪,0.1707897253008205,Na,1
製糖業,0.1707897253008205,Na,1
影音,0.16173990166637828,Na,1
階段,0.16173990166637828,Na,1
蚵仔,0.1455592441799767,Na,1
