words,tfidf,pos,freq
拍照,46.036404501423185,VB,260
diy,11.706056010673889,FW,6
手作,6.235353198970366,Na,38
放電,4.567126763216605,VA,15
球池,3.1938666763128896,Na,14
溜滑梯,2.492312833739844,VA,16
網美照,2.3723977338792634,Na,6
工藝品,2.2537901102257925,Na,15
手工,2.1762449378410444,Na,15
拍照點,2.1744923927125104,Na,6
體驗,2.151967466644894,VC,12
童話,2.0799561145440446,Na,7
佈景,1.697239134274325,Na,6
厚禮,1.5566059002686479,Na,15
伴手禮,1.543385350886633,Na,8
桌遊,1.537219119886603,Na,6
遊樂,1.487300426001378,VA,9
燈光秀,1.454945699599234,Na,2
后里,1.278887148573003,Nc,9
優點,1.1503799065654965,Na,4
盪鞦韆,1.141030077288223,VA,7
藝品,1.0364676009949187,Na,21
浪漫,1.0235108679678702,VH,2
底片,1.0175042371287337,Na,2
網美店,1.0,Nc,1
手工藝,0.9873879565513456,Na,3
用餐區,0.9847255063299281,Nc,7
未來感,0.8642836685023807,Na,1
值回票價,0.8415476870890095,VH,3
朦朧美,0.8278983266382216,Na,1
男生,0.812026016841615,Na,2
禮品,0.7861085477622456,Na,6
紀念品,0.7835358053059076,Na,3
餐飲費,0.7478926742269887,Na,2
約會,0.7400914803185202,VB,1
手創館,0.7328804425636719,Nc,3
記憶體,0.7292884990626922,Na,2
賞心樂事,0.7279328303713394,Na,1
少女,0.7212756312833493,Na,5
遛小孩,0.7158867097719545,VA,2
拍照區,0.7137924989779811,Nc,4
花園,0.6958092983739901,Nc,4
沙池,0.6900414079006358,Na,5
手作區,0.6859117692801031,Nc,3
仙女,0.678044756950602,Na,2
拼圖,0.6734419214158153,Na,2
寫真照,0.6435320764982084,Na,1
尿布台,0.6419767320655207,Na,2
工藝,0.633786181746862,Na,21
集散地,0.6297851271208194,Nc,1
戶外區,0.6282454750125057,Nc,2
音樂盒,0.6237957732594139,Na,3
拍攝,0.6183046194262022,VC,5
樂園,0.6140219009393997,Na,3
