words,tfidf,pos,freq
體驗,2.095029548818058,VC,7
diy,1.2828876151280175,FW,0
馬玉山,1.1454355079855407,Nc,8
穀物,0.932509431920918,Na,7
文化,0.8132546845997162,Na,2
購物,0.6942687037058068,VA,2
導覽,0.5970916748232863,VC,3
遛小孩,0.5576137915270668,VA,1
早午餐,0.5564079721724962,Na,2
嬰兒,0.5311509976541541,Na,6
高雄,0.48817576810708907,Nc,4
鳳梨酥,0.4382804232204658,Na,3
展覽,0.4351866080495401,VC,2
飽足感,0.4015663103711837,Na,1
拍照,0.3847269124579469,VB,3
產線,0.37953529071501174,Na,4
干貝,0.3780610423788829,Na,1
明太子,0.3780610423788829,Nb,1
白醬,0.3780610423788829,Na,1
許姓,0.3599152492545465,Nb,1
八臭,0.3599152492545465,Na,1
臉機,0.3599152492545465,Na,1
優惠卷,0.3397977916339824,Na,1
商家,0.3397977916339824,Na,1
牆壁,0.3185023174954161,Na,3
會員,0.31549455164036566,Na,1
購買慾,0.31549455164036566,Na,1
插畫,0.3013758953859521,Na,2
話題,0.29447591941024437,Na,2
藝術,0.27564351991857544,Na,3
杏仁,0.2552610186138904,Na,2
穀倉,0.249814275658044,Nc,2
企業,0.24863544013983946,Na,2
醬汁,0.2418501286682587,Na,1
菜單,0.2418501286682587,Na,1
示意圖,0.2418501286682587,Na,1
五樓,0.23689577623208918,Nc,2
文章,0.22512795474427902,Na,1
磨豆樂,0.22512795474427902,Na,1
月餅,0.22510538371504618,Na,3
麥片,0.2098142664215944,Na,2
沙拉,0.20902042182410624,Na,1
芝麻醬,0.20902042182410624,Na,1
香氣,0.20902042182410624,Na,1
黑芝麻,0.20902042182410624,Na,1
手工,0.2055590182592167,Na,1
關光,0.20297353518542316,Nb,1
好朋友,0.20034395089123894,Na,1
冰塊,0.18540673751798561,Na,1
民族路,0.17551232920308174,Nc,1
生產線,0.17551232920308174,Na,1
主體性,0.1666154613790337,Na,1
動向,0.1666154613790337,Na,1
廠區,0.1666154613790337,Nc,1
禮盒,0.1666154613790337,Na,1
維持費,0.1666154613790337,Na,1
豐富性,0.1666154613790337,Na,1
財力,0.1666154613790337,Na,1
伴手禮,0.15524562157921112,Na,1
優待,0.15524562157921112,Na,2
底片,0.15524562157921112,Na,1
量販店,0.15524562157921112,Nc,1
生平,0.1552092497988271,Na,1
芝麻,0.1552092497988271,Na,3
療癒,0.1552092497988271,VC,1
味蕾,0.14723795970512218,Na,1
彩筆,0.14723795970512218,Na,1
文創,0.14723795970512218,Na,1
新銳,0.14723795970512218,Na,1
消費者,0.14723795970512218,Na,1
穀創,0.14723795970512218,Nb,1
穀勵,0.14723795970512218,Nb,1
記趣,0.14723795970512218,Na,1
趣味性,0.14723795970512218,Na,1
領袖,0.14723795970512218,Na,1
食性,0.14723795970512218,Na,1
寓教於樂,0.14723795970512218,VA,1
購票處,0.14358203825272417,Nc,1
機台,0.14358203825272417,Na,1
親子團,0.13505574033688497,Na,1
故事館,0.124907137829022,Nc,1
集點卡,0.124907137829022,Na,1
介紹牌,0.124907137829022,Na,1
票完,0.124907137829022,Na,1
産線,0.124907137829022,Na,1
榛果,0.124907137829022,Na,1
藝文區,0.124907137829022,Nc,1
愛心票,0.124907137829022,Na,1
弟弟,0.124907137829022,Na,1
妹妹,0.124907137829022,Na,1
圖案,0.124907137829022,Na,1
售票處,0.124907137829022,Nc,1
優待票,0.124907137829022,Na,1
連結度,0.10623019953083082,Na,1
規則,0.10623019953083082,Na,1
磨豆,0.10623019953083082,Na,2
品項,0.10623019953083082,Na,1
名額,0.10623019953083082,Na,1
中繼點,0.0750351279050154,Na,1
低年齡層,0.0750351279050154,Na,1
卡片,0.0750351279050154,Na,1
商品部,0.0750351279050154,Nc,1
豆奶,0.0750351279050154,Na,1
高層,0.0750351279050154,Na,1
