words,tfidf,pos,freq
步道,8.959637097766082,Na,87
泡腳,4.887152916556261,VA,38
溫泉,4.386656198190844,Na,34
野溪,2.291061826847067,Nc,13
泡腳池,1.6407552617852503,Na,10
紫明溪,1.505422692174365,Nc,18
木屑,1.464763264687496,Na,10
大自然,1.2673794571529082,Nc,3
天然,1.2193347890637538,A,5
陽明山,1.0099930074582542,Nc,8
溫泉水,0.9594398917209874,Na,2
幽靜,0.9416976570316707,VH,1
踏青,0.9369982418370655,VA,2
健行,0.8983510784684504,VA,2
足湯,0.8252077568400249,Na,2
書院,0.798594369791661,Nc,5
湧泉,0.7698717568824399,Na,4
溪水,0.7403876285895103,Na,2
水坑,0.7355713870878715,Na,4
樹皮,0.6976211826696228,Na,1
溪流,0.6959352135738763,Na,3
瀑布,0.6843639329250597,Na,1
導覽,0.6815361441816967,VC,8
郊遊,0.6513691587642456,VA,1
陽明書,0.6151245459162643,Nb,1
老少咸宜,0.6151245459162643,VH,1
清靜,0.5932109226861121,VH,1
硫磺,0.5599154366424514,Na,4
河床,0.5557222020845511,Na,2
優點,0.5005962178465403,Na,1
父島,0.5005962178465403,Nc,1
泡泡腳,0.4890297067033525,Na,1
石壁,0.48462857738394394,Na,1
水泥橋,0.4272178251580487,Na,2
心步道,0.4194634661052786,Na,1
窪地,0.4137419195044107,Nc,1
鋪面,0.401196579441495,Na,2
溫泉池,0.3884585992242225,Na,2
溪谷,0.38106355361378474,Na,2
下游,0.37729827446726594,Nc,2
溫泉區,0.370072596272853,Nc,1
健身,0.3643475798173955,VA,1
護岸,0.3561049954835014,Na,2
柔性,0.3561049954835014,Na,2
材質,0.3561049954835014,Na,2
工法,0.3561049954835014,Na,2
傳統,0.3561049954835014,VH,2
清幽,0.3536328628910804,VH,1
寧靜,0.3536328628910804,VH,1
一點一滴,0.3417561550186701,Na,1
楓葉,0.3415971116616603,Na,2
山溝,0.32994539982919474,Na,2
陽金公路,0.32842400752608375,Nb,2
中興路,0.32842400752608375,Nc,2
木削,0.29501273142176904,Na,1
自然,0.2856118677660325,VH,5
溝渠,0.28375361912445163,Na,1
體驗,0.2779042920499934,VC,2
總站,0.27302577331190586,Nc,2
水池,0.26953594041136697,Na,2
硫磺味,0.2566619026075363,Na,2
台湾,0.2439487865623214,Nc,1
国内,0.2439487865623214,Nc,1
木棧道,0.24067192728397127,Nc,2
林像,0.2367861825750377,Nb,1
溪道,0.2367861825750377,Na,1
硫黃味,0.2367861825750377,Na,1
腳程,0.2349931987912617,Na,1
山林,0.23196194316393565,Nc,1
戲水,0.20165231035771577,VA,1
植被,0.20165231035771577,Na,1
護坡,0.20165231035771577,Na,1
拍攝,0.1930008947441946,VC,1
平台,0.1930008947441946,Na,1
北投,0.18469041232827008,Nc,1
沽水期,0.18469041232827008,Na,1
中段,0.17933047418545736,Na,1
乾溝,0.17933047418545736,Na,1
清新,0.17830510650528802,VH,1
書屋站,0.1740187811952467,Nc,1
網友,0.1740187811952467,Na,1
綠樹,0.1740187811952467,Na,1
撲滿,0.1740187811952467,Na,1
右手,0.17064283837647545,Na,1
窝易,0.17064283837647545,Nb,1
湯泉,0.16497269991459737,Na,1
同好,0.16497269991459737,Na,1
寫手,0.16497269991459737,Na,1
泉源,0.16497269991459737,Na,1
琉磺泉,0.16497269991459737,Na,1
溪畔,0.16421200376304187,Na,1
終點處,0.16421200376304187,Nc,1
導覽費,0.16421200376304187,Na,1
低點,0.16181480698497738,Na,1
叉路口,0.16181480698497738,Na,1
路牌,0.16181480698497738,Na,1
低溫,0.15618261639072567,Na,1
公園,0.15268164508893867,Nc,2
腳踝,0.12357173248270686,Na,1
林區,0.12357173248270686,Nc,1
木棧,0.12357173248270686,Na,3
標示圖,0.12033596364198564,Na,1
熱泉,0.12033596364198564,Na,1
白磺味,0.12033596364198564,Na,1
細流,0.12033596364198564,Na,1
蟬鳴,0.12033596364198564,Na,1
豪雨,0.12033596364198564,Na,1
轉角處,0.12033596364198564,Nc,1
木星,0.11480030708746318,Nb,1
頭頂,0.11480030708746318,Nc,1
金星,0.11480030708746318,Nb,1
野菜,0.11480030708746318,Na,1
觀音山,0.11480030708746318,Nc,1
櫻花,0.11480030708746318,Na,1
杜鵑,0.11480030708746318,Na,1
原始,0.11480030708746318,VH,1
悠閒居,0.11480030708746318,Na,1
彩色秀,0.11480030708746318,Na,1
山味,0.11480030708746318,Na,1
小九,0.11480030708746318,Nb,1
夕陽,0.11480030708746318,Na,1
噴水池,0.11480030708746318,Na,1
彩霞,0.11480030708746318,Na,1
工程處,0.07634082254446933,Nc,1
湯屋,0.06736022067896291,Nc,1
逆行,0.06736022067896291,Na,1
穩定度,0.06736022067896291,Na,1
硫磺泉,0.06736022067896291,Na,1
反應,0.06736022067896291,Na,1
步道頭,0.06736022067896291,Na,1
拐杖,0.06736022067896291,Na,1
悲劇,0.06736022067896291,Na,1
危機,0.06736022067896291,Na,1
階梯型,0.06736022067896291,Na,1
