words,tfidf,pos,freq
溫泉,10.679938908249683,Na,93
泡腳,10.651244429981924,VA,80
泡湯,9.933004676477767,VA,64
泡腳池,9.657374515367668,Na,37
吊橋,4.122606798085356,Na,21
步道,3.8057425786160666,Na,19
溫泉池,3.3428475055026086,Na,20
湯池,2.419207106273269,Nc,26
羅浮,2.2927342404755597,Nb,18
義興,2.2389977049763243,Nb,12
體驗,2.1314282670584594,VC,11
湯屋,1.9719631229261396,Nc,6
大眾池,1.9259231109635884,Na,6
山景,1.6723409575641892,Na,7
美人湯,1.6638055386904886,Na,6
溫泉水,1.6411277451443365,Na,5
泡腳區,1.620793869098532,Nc,5
泡湯池,1.4703567893710754,Na,9
池水,1.464002781479278,Na,5
悠閒,1.438833388471838,VH,3
兒童池,1.3537344494080594,Na,9
冷水池,1.2489466721723357,Na,8
泡泡腳,1.2271639913384147,Na,5
溫泉區,1.1815034047713373,Nc,4
脫水機,1.1080699982053646,Na,7
水味,1.0651445088944078,Na,3
幽靜,1.0615179617280046,VH,2
群山,1.011938172670561,Na,3
桂竹筍,1.0,Na,1
泳池,0.98500630607746,Na,5
羅馬,0.9565312991446548,Nc,3
拉拉山,0.9331897827257642,Nc,2
炮仗花,0.8767926226482824,Na,2
山色,0.8728202227517721,Na,1
桃園,0.8647802346627753,Nc,6
游泳池,0.8511268200371902,Nc,3
遠足,0.8505159084293018,VA,1
藥浴池,0.8185504838519798,Nc,5
足湯,0.7899866689457314,Na,2
碳酸,0.7835912936241152,Na,3
經理,0.7290865252749299,Na,2
沐浴乳,0.7214328716910954,Na,5
機房,0.7164662532376409,Nc,5
冷泉,0.7123728237657018,Na,7
地版,0.7071067811865475,Na,1
健行,0.7069518361203708,VA,3
水柱,0.7050476960688706,Na,3
更衣室,0.6994462135061628,Nc,5
騎車,0.6961367216106222,VA,2
浴巾,0.693127265724478,Na,3
洗腳池,0.6874472741681035,Na,2
復興區,0.6807988645645142,Nc,4
銅鑼,0.6736880401788238,Na,1
熱水池,0.6540466804307212,Na,1
周二,0.6261838014097774,Nb,2
定價,0.6198130686424151,Na,1
北橫,0.6145544566716166,Nc,4
沖腳池,0.6097966456153173,Na,1
觀景池,0.5945978102650753,Nc,2
小烏來,0.5937428562732779,Nc,3
星空,0.5868991347054818,Na,2
新竹,0.5786112232968291,Nc,2
陽春型,0.5707376879022079,Na,1
盥洗室,0.5608852220017531,Nc,2
烏來,0.5588923727661331,Nc,6
水壓,0.5463530630741579,Na,2
景觀池,0.5418087343764441,Na,3
中繼點,0.5306254155334826,Na,1
戲水,0.5230427690719867,VA,2
山城,0.5227636726770766,Na,1
預算,0.521091869959545,Na,1
無湯屋,0.5189346988579081,Nc,1
泳褲,0.5051279644216659,Na,2
旅館,0.5047724605331896,Nc,2
欲望,0.5037447599065568,Na,1
蟲鳴聲,0.5015988785515084,Na,1
山明水秀,0.5005003052162641,VH,1
客容量,0.4960888754201741,Na,1
記次,0.48467212849142943,Na,2
泰雅,0.4638721874684156,Nb,3
秀麗,0.4619797976961473,VH,2
冰品,0.4596791071229352,Na,1
鹽泉,0.4570937482747995,Nc,2
公園,0.4530777637782547,Nc,4
療癒,0.45052102152671103,VC,1
導覽,0.44288595542044845,VC,2
散步,0.4404263099542194,VA,2
親民,0.4314241863627234,VH,2
歌手,0.42147993852711263,Na,1
藥草池,0.4036780076454615,Na,2
清新,0.40156225352098207,VH,1
寧靜,0.4000665017365238,VH,1
夜燈,0.3985073211975179,Na,1
來客數,0.3976763093621349,Na,1
洗髮精,0.39685417899834086,Na,2
商家,0.39674892212961643,Na,3
柴油味,0.39370947997872424,Na,2
風景區,0.3932286107996851,Nc,1
管線,0.3931820798556595,Na,1
西瓜,0.39208928066515725,Na,1
氫鈉泉,0.3883309233525525,Na,1
瀑布群,0.38826548238529984,Na,1
遊戲池,0.38249216297448435,Na,1
熱湯池,0.380602142459616,Na,1
草藥池,0.380602142459616,Na,1
外縣市,0.37504992868005566,Nc,1
巴陵,0.37422023136228844,Nb,1
溪水,0.37216403102158657,Na,2
雲瀑,0.3633525986457455,Na,1
義興橋,0.36201693782587624,Nc,1
單行道,0.359092082584062,Nc,1
清幽,0.3550953451308842,VH,1
飯店級,0.354197567593099,Na,1
山林,0.3541578182441522,Nc,1
民歌,0.3541578182441522,Na,1
泡湯區,0.33776996532416137,Nc,3
環山,0.33459150576734026,VH,1
反應,0.33047563859765405,Na,2
瀑布,0.3266468862036532,Na,2
進度,0.324637718438369,Na,1
雪霧,0.31956856117399784,Na,1
隧道,0.31956856117399784,Na,1
地滑,0.31956856117399784,Na,1
事宜,0.31956856117399784,Na,1
賞景池,0.31950466836706914,Nc,4
媒油,0.3103962005246377,Na,1
黃河,0.3103962005246377,Nc,1
三重,0.30963432962747517,Nc,1
藥膳池,0.30843339013078686,Na,1
鞋襪,0.30349593516867296,Na,1
洗腳處,0.30349593516867296,Nc,1
山嵐,0.29081990819369596,Na,1
湯客,0.28810229838215184,Na,1
業主,0.27964418600083446,Na,1
飲料店,0.27131310507526407,Nc,1
折扣價,0.266356356911525,Na,1
票根,0.26179610707178674,Na,3
馬告樹豆,0.26032360790448045,Nc,1
儲物櫃,0.2587387954533026,Na,2
湯質,0.2568307147132146,Na,1
循環,0.2568307147132146,Na,1
血液,0.2568307147132146,Na,1
日光浴,0.2568307147132146,Na,1
冷泉區,0.2568307147132146,Nc,1
總體,0.2518732002741175,Na,1
玩水,0.2518732002741175,VA,1
台北,0.2501411074322125,Nc,2
沖澡區,0.24846884815216005,Nc,2
水彈,0.24711401160272925,Na,1
飲食區,0.2446480492785533,Nc,2
竹路,0.24259625868771426,Na,1
柴油,0.2408489193814205,Na,3
燃燒味,0.2408489193814205,Na,1
消暑,0.23872540280450796,VA,1
一般票,0.2359706597432308,Na,1
水池,0.23444120224633067,Na,11
遮雨棚,0.23444120224633067,Na,1
養生,0.23297810141752845,VA,1
部落,0.2222233728279624,Nc,2
協會,0.22144297771022423,Nc,1
葱油餅,0.22144297771022423,Na,1
洗澡間,0.2204901397667113,Nc,1
消毒水,0.2204901397667113,Na,1
在來,0.2204901397667113,Na,1
檳榔,0.21580253747097145,Na,1
鼻涕,0.21580253747097145,Na,1
游泳,0.21580253747097145,VA,4
口水,0.21580253747097145,Na,1
原汁,0.214818961342175,Na,1
山峰,0.21331079748016335,Na,1
櫻花,0.21331079748016335,Na,1
邊緣,0.21331079748016335,Nc,1
足浴,0.19985277614088764,Na,1
低溫,0.19568483071292836,Na,1
原則,0.19568483071292836,Na,1
沖腳區,0.19553510166132046,Nc,1
桃園市,0.19466510500684303,Nc,2
想法,0.18945338750614454,Na,1
整体,0.18945338750614454,Na,1
