words,tfidf,pos,freq
美濃,2.950212007073975,Nc,29
歷史,2.1893239678980887,Na,9
古蹟,1.0861332539790287,Na,6
古色古香,1.0,VH,1
雕像,0.7856061617794422,Na,4
思古,0.7071067811865476,VH,1
市場,0.5944151951690867,Nc,2
騎車,0.5430239559035164,VA,3
日本,0.5014659856399931,Nc,2
河川,0.4821909917755027,Na,2
日劇,0.4790637564468718,Na,1
歷史感,0.44225820972389723,Na,1
大溪,0.44225820972389723,Nc,1
石猴,0.3930242503967969,Na,3
趣味,0.3822455738920954,Na,1
典雅,0.3822455738920954,Nv,1
古樸,0.3822455738920954,VH,1
橋樑,0.3699962551136732,Na,2
夕陽,0.3680938778822388,Na,1
新橋,0.28867513459481287,Nc,1
溪水,0.28867513459481287,Na,1
群山,0.28867513459481287,Na,1
學童,0.2786920745284976,Na,3
自行車,0.2769109339152706,Na,1
護童,0.2630302335138904,Na,3
塑像,0.2341393056214488,Na,1
分駐所,0.22649617775220102,Nc,2
護童碑,0.22649617775220102,Nb,2
河道,0.2245743982637167,Na,1
美濃人,0.2245743982637167,Na,1
沙地,0.2245743982637167,Na,1
麻糬,0.21475135391394143,Na,1
村莊,0.21475135391394143,Nc,1
交通安全,0.19127231151318702,Na,1
心意,0.19127231151318702,Na,1
橋頭,0.1145566693525423,Nc,2
永安,0.1145566693525423,Nc,2
老街,0.1145566693525423,Nc,2
橋梁,0.1145566693525423,Na,2
官吏,0.1145566693525423,Na,2
穀倉,0.05727833467627115,Nc,1
高雄,0.05727833467627115,Nc,2
雕刻,0.05727833467627115,Na,1
鋼筋,0.05727833467627115,Na,1
航照圖,0.05727833467627115,Na,1
美濃鎮,0.05727833467627115,Nc,1
美濃溪,0.05727833467627115,Nc,1
美濃橋,0.05727833467627115,Nc,1
美濃庄,0.05727833467627115,Nc,1
役場,0.05727833467627115,Nc,1
正對面,0.05727833467627115,Na,1
橋齡,0.05727833467627115,Na,1
柚仔林,0.05727833467627115,Nc,1
情形,0.05727833467627115,Na,1
庄役所,0.05727833467627115,Nc,1
墩柱,0.05727833467627115,Na,1
公學校,0.05727833467627115,Nc,1
中壇,0.05727833467627115,Nc,1
上述,0.05727833467627115,Na,1
高雄州,0.05727833467627115,Nc,1
