words,tfidf,pos,freq
老夫子,3.4372848136627967,Na,24
美崙,1.6360476676855031,Nb,12
王澤,1.0574087526903715,Nb,6
彩繪村,0.8397287162367262,Nc,4
竹田,0.7261513255292285,Na,6
篇幅,0.6381820085949469,Na,2
畫作,0.6072514398674622,Na,4
村落,0.5811848852419232,Na,4
鄉間,0.5370798561030756,Nc,2
寧靜,0.5273864042432417,VH,4
廟宇,0.5014587185010282,Na,2
懷念,0.4814403419761903,VJ,1
老街,0.4400867886990728,Nc,3
長子,0.38452099899976416,Na,2
壁畫,0.38262791422719505,Na,1
村莊,0.3530955527279809,Nc,2
鄉村,0.34936333398456276,Nc,1
畫像,0.3186065786231215,Na,2
住戶,0.27700749577945016,Na,1
原汁,0.27700749577945016,Na,1
音量,0.27700749577945016,Na,1
本土,0.27700749577945016,Nc,1
喻曉,0.2737038978862647,Nb,1
家戶,0.2737038978862647,Na,1
畫風,0.256329439127704,Na,1
古老,0.25054791294413664,VH,1
創生,0.25054791294413664,Na,1
美崙村,0.25054791294413664,Nc,1
矮房,0.2353046564386122,Na,1
清新,0.2353046564386122,VH,1
清幽,0.2353046564386122,VH,1
高腳屋,0.22817401237244395,Na,1
姓氏,0.22817401237244395,Na,1
古宅,0.22817401237244395,Na,1
晚餐,0.22817401237244395,Na,1
拍照,0.22704055208314958,VB,1
圖案,0.22704055208314958,Na,1
畫冊,0.22268723190724285,Na,1
繪圖牆,0.22225168954683075,Na,1
目的地,0.21242630235662055,Nc,1
筆名,0.19226049949988208,Na,1
古跡感,0.15930328931156074,Na,1
飲料店,0.15930328931156074,Nc,1
畫有,0.15930328931156074,Na,1
歷史,0.15930328931156074,Na,1
傳奇,0.15930328931156074,Na,1
悠久,0.15930328931156074,VH,1
栩栩如生,0.15930328931156074,VH,1
丈母娘,0.14669559623302428,Na,1
粉絲,0.14669559623302428,Na,1
驛站,0.14669559623302428,Nc,1
竹田鄉,0.14036110482154593,Nc,1
岳母,0.14036110482154593,Na,1
過年,0.13730187894627416,VA,1
美侖,0.13730187894627416,Nb,1
