words,tfidf,pos,freq
金針花,2.308854844622318,Na,9
花期,1.3550854361409557,Na,3
台北,0.8721303159798537,Nc,5
散步,0.8523105990464808,VA,2
台北市,0.7697848168766241,Nc,2
文山區,0.7604898751068667,Nc,2
山區,0.7071067811865476,Nc,3
公園,0.6343254101732161,Nc,1
中小型,0.6343254101732161,Na,1
山莊,0.5406702891771744,Nc,2
慈音,0.5406702891771744,Nb,2
悠閒,0.5109488602265194,VH,1
花田,0.4674244652457227,Na,1
可觀性,0.41522451555364726,Na,1
草地,0.38058620864099835,Nc,1
花海,0.37911958199255846,Na,1
花園,0.35002018265347984,Nc,1
拍照,0.3239004210397539,VB,1
東部,0.3235917123969637,Ncd,1
茶類,0.3067067758617027,Na,1
清新,0.3054288562277543,VH,1
老鷹,0.3054288562277543,Na,1
步道,0.26095449863079534,Na,1
貓空,0.26095449863079534,Nc,1
花季,0.26095449863079534,Nd,1
時間點,0.26095449863079534,Na,1
大香山,0.17809211823719379,Nc,1
老泉里,0.17809211823719379,Nc,1
負責人,0.17809211823719379,Na,1
道場,0.17809211823719379,Nc,1
