words,tfidf,pos,freq
體驗,6.637091904409202,VC,19
歷史,3.8401172830431376,Na,26
童玩,2.6672335316732263,Na,8
剝皮寮,2.4359986886522305,Nc,23
古玩,1.6479224345890764,Na,2
街區,1.470239084276492,Nc,14
傳統,1.3869461671060315,VH,4
文化,1.342918668619844,Na,11
兒童月,1.2750202505693193,Na,2
展覽,1.26551085423465,VC,7
老街區,1.2016967623829005,Nc,2
寓教於樂,1.1115798314836407,VA,3
台北市,1.0040764857835622,Nc,4
文青,1.0,Nb,1
懷舊,0.9545489903700731,VH,3
布袋戲,0.8939781120110951,Na,1
古老,0.8650430651660953,VH,2
萬華,0.8327464349535022,Nc,5
童趣,0.8278931537786212,Na,3
台北,0.7666613796230817,Nc,6
導覽,0.7249994891169046,VC,3
表演,0.7071067811865475,VC,1
一级,0.7054185703467541,Na,1
古早味,0.6226457860546807,Na,2
復古,0.6169056132437754,VHC,2
主題站,0.5251808155362298,Nc,1
古物,0.5050501574764852,Na,2
紅磚,0.4632497604722024,Na,3
起源,0.4585393813825888,Na,2
懷古,0.4585393813825888,VH,2
實物,0.4585393813825888,Na,2
私塾,0.4585393813825888,Nc,2
科舉,0.4585393813825888,Na,2
劇組,0.42334297946328925,Na,1
老松,0.4080647686429836,Nb,3
靈魂,0.39964985914659007,Na,1
原居民,0.39964985914659007,Na,1
臺北市,0.37860616985360473,Nc,6
物理,0.3638521238821428,Na,1
後院,0.35355339059327373,Nc,1
老屋,0.3438167371755896,Na,1
醫學,0.32920903860942974,Na,3
青草藥,0.32920903860942974,Na,3
古蹟,0.3053937211877252,Na,1
醫師,0.30533538888638223,Na,5
青山宮,0.2910614686358621,Nc,1
對話,0.25797952312706157,Na,2
構造,0.25609427381005057,Na,1
人文薈萃,0.25609427381005057,VH,1
古厝,0.25609427381005057,Na,1
體溫,0.24455385636066498,Na,1
實名制,0.24455385636066498,Na,1
歌謠,0.23297545641815665,Na,1
匯流處,0.23297545641815665,Nc,1
艋舺,0.23028772503958395,Nc,3
人文,0.21756528717584253,Na,2
拱樓,0.21756528717584253,Na,1
戳章,0.21756528717584253,Na,1
紀念,0.21756528717584253,VJ,1
拍照,0.21756528717584253,VB,1
文物,0.1957521283124018,Na,1
中學,0.1957521283124018,Nc,1
彈珠台,0.19430581347682538,Na,1
機台,0.19430581347682538,Na,1
完善率,0.19430581347682538,Na,1
毛病,0.19430581347682538,Na,1
彈珠,0.19430581347682538,Na,2
沿革,0.19430581347682538,Na,1
一隅,0.19430581347682538,Nc,1
健速堂,0.18320123333182933,Nb,3
茶室,0.18320123333182933,Nc,3
清代,0.18287768041533115,Nd,3
拱廊,0.14106536086328825,Na,1
頂蓋,0.14106536086328825,Na,1
語彙,0.14106536086328825,Na,1
欄干,0.14106536086328825,Na,1
細部,0.14106536086328825,Na,1
勾縫,0.14106536086328825,Na,1
內院,0.14106536086328825,Nc,1
影音,0.12213415555455288,Na,2
來源,0.12191845361022076,Na,2
廣州街,0.12191845361022076,Nc,2
旅遊網,0.12191845361022076,Na,2
臺北,0.12191845361022076,Nc,8
萬華區,0.12191845361022076,Nc,2
文章,0.11116384519520431,Na,1
父母,0.11116384519520431,Na,1
語言,0.11116384519520431,Na,1
洪蘭,0.11116384519520431,Nb,1
本土,0.11116384519520431,Nc,1
時光機,0.11116384519520431,Na,1
文史,0.11116384519520431,Na,1
師長,0.11116384519520431,Na,1
實體,0.11116384519520431,Na,1
人格,0.11116384519520431,Na,1
敎育,0.11116384519520431,Na,1
地上物,0.10359693633207427,Na,1
教學,0.10359693633207427,VA,1
低齡,0.10359693633207427,Na,1
學童,0.10359693633207427,Na,1
會議,0.10359693633207427,Na,1
預定地,0.10359693633207427,Na,1
耆老,0.06106707777727644,Na,1
藥櫃,0.06106707777727644,Na,1
聽筒,0.06106707777727644,Na,1
戲偶,0.06106707777727644,Na,1
西洋,0.06106707777727644,Nc,1
用具,0.06106707777727644,Na,1
蘭大衛,0.06106707777727644,Nb,1
馬雅各,0.06106707777727644,Nb,1
西醫,0.06106707777727644,Na,1
診所,0.06106707777727644,Nc,1
貢獻,0.06106707777727644,Na,1
阿公,0.06106707777727644,Na,1
馬偕,0.06106707777727644,Nb,1
２樓,0.06106707777727644,Nc,1
日語,0.06106707777727644,Na,1
交換站,0.06106707777727644,Nc,1
情報,0.06106707777727644,Na,1
博士,0.06106707777727644,Na,1
往事,0.06106707777727644,Na,1
中醫,0.06106707777727644,Na,1
傳教士,0.06106707777727644,Na,1
兒歌,0.06106707777727644,Na,1
北皮寮,0.06106707777727644,Nc,1
中藥行,0.06106707777727644,Nc,1
名醫,0.06106707777727644,Na,1
國語,0.06106707777727644,Na,1
展館,0.06106707777727644,Nc,1
布袋,0.06106707777727644,Na,2
呂阿昌,0.06106707777727644,Nb,1
拱型,0.06095922680511038,Na,1
雕花,0.06095922680511038,Na,1
街型,0.06095922680511038,Na,1
窗櫺,0.06095922680511038,Na,1
磚牆,0.06095922680511038,Na,1
昆明,0.06095922680511038,Nc,1
店屋,0.06095922680511038,Nc,1
康定路,0.06095922680511038,Nc,1
平臺,0.06095922680511038,Na,1
市街,0.06095922680511038,Na,1
典雅,0.06095922680511038,Nv,1
藝文,0.06095922680511038,A,1
龍山寺,0.06095922680511038,Nc,1
