words,tfidf,pos,freq
散步,2.794119586386962,VA,8
拍照,2.728745534635584,VB,8
台東,2.668224973712015,Nc,15
鐵道,2.4103748274280967,Na,9
悠閒,1.8802898412101374,VH,3
韓籍,1.0,Na,1
單車道,1.0,Na,1
鐵花村,0.958539770034468,Nc,5
驛道,0.7963237277641172,Na,1
月台,0.7882434180165785,Nc,4
秀泰,0.7439702787253983,Nb,3
影城,0.7439702787253983,Nc,3
拍攝點,0.7071067811865476,Na,1
藝術村,0.6846900883807739,Nc,3
熱鬧,0.682101382236759,VH,2
花草,0.6805620643773829,Na,2
文化,0.6658854559500959,Na,2
鐵軌,0.6584192696497004,Na,2
遺產,0.5943953651378014,Na,1
軌道,0.5548832403812132,Na,1
綠意盎然,0.39588984622987483,VH,1
台中市,0.38262791422719505,Nc,1
宣天,0.382627914227195,Nb,1
鐵人,0.382627914227195,Na,1
鑼鼓,0.382627914227195,Na,1
商圈,0.3706662041696443,Nc,1
地帶,0.3706662041696443,Nc,1
表演,0.36589129260529885,VC,1
思古,0.36449466947782927,VH,1
鐵路,0.3527164385526766,Na,2
愜意,0.3509401557231551,VH,1
文創,0.3463234921258264,Na,2
攤位,0.33317241826775074,Na,1
攤販,0.33317241826775074,Na,1
戰士,0.30180771213132673,Na,1
糖廠,0.30082841768449226,Nc,1
腳踏車,0.30082841768449226,Na,1
鯉魚山,0.2761751061285608,Nc,1
縣市政府,0.2751224162942013,Nc,1
前身為,0.27341612123373316,Na,1
月台區,0.27341612123373316,Nc,1
鐵花,0.27341612123373316,Na,6
市集,0.2726578646373854,Na,2
原名,0.2443300073962601,Na,1
人事已,0.2443300073962601,Na,1
卑南站,0.2443300073962601,Nc,1
夜市,0.20452773894795875,Nc,1
大同路,0.20452773894795875,Nc,1
榕樹,0.20452773894795875,Na,1
正氣路,0.20452773894795875,Nc,1
炸雞,0.20452773894795875,Na,1
米苔目,0.20452773894795875,Na,1
遺址,0.20452773894795875,Nc,1
過年,0.18768178830180818,VA,1
使用率,0.1763582192763383,Na,1
台東市,0.1763582192763383,Nc,1
台鐵,0.1763582192763383,Nc,1
架構,0.1763582192763383,Na,1
路廊,0.1763582192763383,Na,1
遊程,0.1763582192763383,Na,1
歷史,0.1363289323186927,Na,1
熱氣球,0.1363289323186927,Na,1
點燈,0.1363289323186927,VA,1
展覽館,0.1363289323186927,Nc,1
腳步,0.1363289323186927,Na,1
