words,tfidf,pos,freq
酒廠,3.090069359336681,Nc,25
台酒,2.8124430079795237,Nc,15
清酒,2.050713422991452,Na,13
酒類,1.7473783998346395,Na,9
桃園,1.6864821891928163,Nc,11
購物,1.516861817424723,VA,7
紅麴,1.49016169450032,Na,8
散步,1.4749408356457787,VA,3
酒品,0.8027585454622256,Na,4
高粱酒,0.7822626686556554,Na,2
啤酒,0.7707809037129579,Na,8
高梁,0.7456940981694269,Na,3
龜山,0.6720426876229499,Nc,2
國旅劵,0.6606055566214597,Na,3
懷舊,0.6551758696929778,VH,1
泡面,0.6171405133703006,Na,1
薄餅,0.6170018477388161,Na,3
能力,0.6089399539748032,Na,2
放風,0.5787127322359906,VA,1
中油,0.5773502691896257,Nc,1
陳公關,0.5773502691896257,Nb,1
騎車,0.560013350079723,VA,1
玄米菓,0.545200981151852,Na,1
辣味,0.545200981151852,Na,1
啤酒廠,0.5221000119624476,Nc,3
蘇打,0.5198113607481705,Nb,2
竹南廠,0.5152962143022363,Nc,1
茶葉,0.505959103849284,Na,5
林口,0.498085153431677,Nc,3
葡萄酒,0.4885128012564626,Na,3
導覽,0.4743314385806937,VC,2
觀光券,0.46973301858627564,Na,1
錦鯉,0.46404793794700394,Na,1
門別類,0.45653061885896684,Na,1
日式,0.4518513604258942,A,3
好物,0.45069956909554787,Na,1
餅干,0.4251788929717215,Na,1
長庚,0.4225346449730657,Nb,1
啤酒節,0.41930748478903723,Nd,1
雞肉麵,0.4167563589048674,Na,1
雪菜,0.4167563589048674,Na,1
電子卷,0.40839643793198593,Na,1
通路,0.40609620699102905,Na,1
花雕酒,0.390350808381535,Na,2
映像,0.3840976758985143,Na,1
米酒,0.3805355236524326,Na,1
香蔥,0.3805355236524326,Na,1
國旅卷,0.3741939635440675,Na,1
公賣局,0.36956129406728994,Nc,1
指定點,0.36849880612049474,Nc,1
主管,0.3625936725714748,Na,2
琴酒,0.32949634099957004,Na,1
禮盒,0.3270077317298132,Na,2
律動感,0.3207684292352786,Na,1
愛人,0.3207684292352786,Na,1
廠區,0.32018032591195833,Nc,1
附屬品,0.32018032591195833,Na,1
雜貨店,0.31905715455753175,Nc,2
葡萄,0.31564750974114353,Na,7
音樂節,0.30238110776242677,Nd,1
搖滾,0.30238110776242677,Na,1
政黨,0.30238110776242677,Na,1
紹興,0.2958686924737453,Nc,4
菸酒,0.29263713305624045,Na,1
過年,0.29051317197331733,VA,1
酒杯,0.29051317197331733,Na,1
豬腳,0.29051317197331733,Na,1
日式風,0.28839099173122035,Na,1
植物,0.28646913938358964,Na,1
金牌,0.2826544379581081,Na,1
標價,0.2691483824740521,Na,1
展覽館,0.2691483824740521,Nc,1
威士忌,0.2669146434590274,Na,2
藝術,0.2643795394552185,Na,3
歷史,0.2643771180435707,Na,2
旗下,0.262633254749391,Nc,1
企業,0.262633254749391,Na,1
酒味,0.2569242638615201,Na,1
購物人,0.2464651159058531,Na,1
櫃子,0.2464651159058531,Na,1
玉泉,0.2386235995726855,Nc,2
養生,0.23643345145670788,VA,2
文物,0.22295508481484047,Na,1
傳統,0.22295508481484047,VH,1
貓貓,0.22237889280622883,Na,1
香腸味,0.22090809017106414,Na,1
商店,0.2129188658081541,Nc,2
波特酒,0.19651583583587964,Nb,1
地鐵站,0.19651583583587964,Nc,1
酒瓶,0.19527789875222445,Na,2
黃酒,0.1951754041907675,Na,1
係列,0.1951754041907675,Na,1
愜意,0.19423023653412994,VH,1
櫻花樹,0.19423023653412994,Na,1
幽靜,0.18709260413033962,VH,1
紅露,0.18709260413033962,Na,1
雞腿,0.18709260413033962,Na,1
蹄膀,0.18709260413033962,Na,1
紹興酒,0.18709260413033962,Na,2
酒粕,0.1866658348549187,Na,5
茶攤,0.18279671912172696,Nc,2
金萱,0.1801720784048871,Nb,1
蔓越莓,0.1801720784048871,Na,1
腰果酥,0.1801720784048871,Na,1
攤位,0.1801720784048871,Na,1
