words,tfidf,pos,freq
隧道,3.9733915073685306,Na,15
鐵道,1.7229195679128608,Na,7
自行車,1.6856326552210374,Na,5
拍照,1.6750778488863807,VB,3
體驗,1.4090013439404836,VC,5
山線,1.2120761669192108,Na,3
腳踏車,1.1003740020371213,Na,4
勝興,1.051924319616555,Nb,5
歷史,0.7634315891394746,Na,2
苗栗,0.6936531649096707,Nc,2
前人,0.5830927816834958,Na,1
鐵軌,0.5361959469141728,Na,2
凡事,0.5,Na,1
涼爽,0.49919231005318315,VH,1
古蹟,0.47799331835814884,Na,1
川橋,0.46894098184546595,Nc,1
鐵道迷,0.46038420877062836,Na,1
七彩,0.45028188385230555,Na,1
斷橋,0.4006765633194059,VHC,4
龍騰,0.4006765633194059,Na,4
老街,0.39804504783911054,Nc,2
現場票,0.3920968361562651,Nc,1
時空,0.36028902758599407,Na,1
復古,0.33435515654247716,VHC,1
總時間,0.28366916800488995,Na,1
投影,0.26362426418378904,Na,2
踏板,0.2554417423895079,Na,1
旅館,0.21414155283044606,Nc,1
山洞,0.20543254723375276,Na,2
隧道口,0.13181213209189452,Na,1
鯉魚潭,0.13181213209189452,Nc,1
信箱,0.1030706008942029,Na,1
單線道,0.1030706008942029,Na,1
老人團,0.1030706008942029,Na,1
商家,0.10271627361687638,Na,1
車號,0.10271627361687638,Na,1
