words,tfidf,pos,freq
海景,12.860241325676508,Na,38
平台,8.455096006108358,Na,56
夕陽,6.367211592146206,Na,20
拍照,5.220467324457481,VB,24
公園,4.743021187225278,Nc,29
散步,4.142992569540687,VA,12
日落,3.560819503493347,VA,6
淺水灣,3.5167295761711657,Nc,16
海邊,2.833464524629588,Na,9
芝蘭,2.795312128939458,Na,20
海風,2.7565000179264945,Na,9
步道,2.4510931736583554,Na,10
沙灘,2.375765765580099,Na,9
三芝,2.0516665691423643,Nc,15
玩水,1.981772172691334,VA,5
落日,1.9138088646070779,Na,6
北海岸,1.6870159080611615,Nc,7
海岸,1.5573486346936551,Nc,15
觀景台,1.3798538700604015,Nc,8
海浪,1.2768974100570671,Na,3
戒指,1.2717994973789746,Na,3
海岸線,1.1789694700925502,Na,5
大自然,1.0895792548124519,Nc,2
腳步,1.0380508143504192,Na,2
臨場感,1.0,Na,1
療癒,1.0,VC,1
觀海,0.9748289503387,VA,3
攤販,0.9680667954323807,Na,3
遼闊,0.9666432953859991,VH,4
健身,0.8502228292426999,VA,1
浪漫,0.7875946097726955,VH,5
淡水,0.7505125134958625,Nc,5
戲水,0.7486444601126907,VA,3
狀觀,0.7443731498912993,Na,1
市集,0.7368436278206797,Na,2
小攤,0.7130167933495763,Nc,2
藝術,0.6725354347315078,Na,9
空拍機,0.65705165792425,Na,1
熱鬧,0.6015248080432737,VH,1
藝術品,0.5755005366726111,Na,2
涼爽,0.5538211695085077,VH,1
戒子,0.5135249549480083,Na,2
商業區,0.5112085630233855,Nc,1
木棧道,0.5112085630233855,Nc,1
心裡,0.4887180061520275,Na,1
自然,0.4886178182450118,VH,3
體驗,0.4886178182450118,VC,1
長廊,0.48270130908183545,Nc,4
拍打聲,0.47877111489178237,Na,1
海天,0.4769446379094847,Na,1
港覺,0.4748794000945416,Nb,1
蚊子館,0.47421725970773887,Nc,1
夕照,0.47400134364134067,Na,1
約會,0.4730384233462487,VB,3
公眾,0.4553717511094908,Na,1
公共汽車站,0.4553717511094908,Na,1
漁港,0.45236663698976604,Nc,1
伸展台,0.44032057281568304,Nc,3
週遭,0.4398718589674881,Nc,1
鬼才,0.43331644984984713,Na,1
記次,0.428997008138553,Na,1
燈塔,0.42619603958541236,Na,2
礁石,0.42151413826980133,Na,2
地磚,0.4172841427210142,Na,1
商店,0.41723464146772904,Nc,3
三芝蘭,0.41440230957490126,Na,1
庭園,0.41440230957490126,Na,1
後厝站,0.40901230615490003,Nc,1
海灘,0.40901230615490003,Na,1
百川,0.40777847692374003,Nb,1
凉風,0.40605202545026814,Na,1
生態,0.4038642170122928,Na,1
飲食攤,0.39569474222723605,Nc,1
汐陽,0.39569474222723605,Nb,1
水藍色,0.39477855216190527,Na,3
天人,0.3896852191214277,Na,1
新北人,0.3896852191214277,Na,1
人造物,0.38847428153070274,Na,1
騎車,0.38428865710217,VA,1
台海,0.3760422750692404,Nc,1
砂子,0.37368889873646716,Na,1
商家,0.372106334361099,Na,2
露營,0.3656721683618192,VA,2
露營區,0.3656721683618192,Nc,1
黃昏,0.35996629165211724,Nd,1
悠活,0.35996629165211724,Nb,1
潮汐,0.3564480105965015,Na,1
雙灣,0.355063883616355,Nc,1
金山,0.355063883616355,Nc,1
刈包,0.3521441922482398,Na,1
古早味,0.3521441922482398,Na,1
神湯,0.3521441922482398,Na,1
親子表,0.34339405949902446,Na,1
三芝區,0.32231298687377435,Nc,1
美食區,0.32231298687377435,Nc,1
足下,0.3181987073076955,Nc,1
白沫,0.3181987073076955,Na,1
佛朗明哥,0.3175783325116658,Na,2
雕塑,0.3165342505107238,Na,2
死角,0.3148463661561631,Nc,2
貨櫃屋,0.31469277803264795,Na,1
紀念,0.313183128511856,VJ,2
愜意,0.3128146062942443,VH,1
踏浪,0.30756899498248913,VA,1
台北,0.30756899498248913,Nc,1
曬太陽,0.2898002888584113,VA,1
看景台,0.2898002888584113,Na,1
麟山鼻,0.2837966581808516,Nc,1
悠閒,0.2837966581808516,VH,1
白沙灣,0.2837966581808516,Nc,1
福報,0.26988646977925496,Na,1
寄居蟹,0.26988646977925496,Na,1
泡影,0.26988646977925496,Na,1
銅板,0.2645130555065619,Na,1
情人,0.25676247747400416,Na,3
男女,0.25676247747400416,Na,1
辛福,0.25676247747400416,Nb,1
壯觀,0.25513732808124623,VH,1
海藻,0.25513732808124623,Na,1
淺水區,0.24827089643334718,Nc,1
輪船,0.24827089643334718,Na,1
攤位,0.24506707048802018,Na,1
空拍照,0.24000454036344773,Na,1
素顏,0.24000454036344773,Na,1
遊人,0.2380581416898841,Na,1
雲彩,0.2380581416898841,Na,1
鏡像,0.2380581416898841,Na,1
陳鴻筠,0.2380581416898841,Nb,1
組圖,0.2380581416898841,Na,1
剪影,0.2380581416898841,Na,1
路樹,0.23711800537620017,Na,1
徐琬萍,0.2294157338705618,Nb,1
琬君,0.2294157338705618,Nb,1
琬萍,0.2294157338705618,Nb,2
秀青,0.2294157338705618,Nb,1
絲髮院,0.2294157338705618,Nc,1
阿龍,0.2294157338705618,Nb,1
父母,0.22819129532564864,Na,1
正果,0.22819129532564864,Na,1
海男,0.22819129532564864,Na,1
房價,0.22819129532564864,Na,1
戀人,0.22819129532564864,Na,1
日光浴,0.22457904726104158,Na,1
毯子,0.22457904726104158,Na,1
淺海,0.21407513770513042,Na,1
婚戒,0.21023169039002185,Na,2
區間,0.20386706059532148,Na,1
台2線,0.20386706059532148,Nc,1
海灣,0.20386706059532148,Na,1
菸蒂筒,0.20365086075066138,Na,1
蓋子,0.20365086075066138,Na,1
海中央,0.16773128935375783,Na,1
落日餘暉,0.16773128935375783,Na,1
餘暉,0.16728402496513212,Na,2
雄偉,0.1587891662558329,VH,1
濱海公路,0.1587891662558329,Nc,1
中年,0.15582106709410132,Na,1
壯年,0.15582106709410132,Na,1
有情人,0.15582106709410132,Na,1
身後,0.15582106709410132,Nc,1
鑽戒,0.15582106709410132,Na,1
5年8班,0.14913245265900738,Nc,1
冰飲,0.14913245265900738,Na,1
淡水灣,0.14913245265900738,Nc,1
銀戒,0.14913245265900738,Na,1
韓海,0.14913245265900738,Nc,1
仲腳,0.12603488766462764,Nb,1
情人橋,0.12603488766462764,Nc,1
海裡心型,0.12603488766462764,Na,1
碼頭,0.12603488766462764,Nc,1
緣分,0.11864482406397654,Na,1
銀色,0.11864482406397654,Na,1
一望無際,0.11864482406397654,VH,1
海波浪,0.11864482406397654,Na,1
愛情,0.11864482406397654,Na,1
下午茶,0.11837293933345135,Na,1
披薩店,0.11837293933345135,Nc,1
方位,0.11837293933345135,Na,1
防坡堤,0.11837293933345135,Na,1
餐館,0.11837293933345135,Nc,1
胡棟民,0.10505423492681763,Nb,1
顧問,0.10505423492681763,Na,1
陳俊良,0.10505423492681763,Nb,1
腳丫子,0.10505423492681763,Na,1
系色,0.10505423492681763,Na,1
終點處,0.10505423492681763,Nc,1
指環,0.10505423492681763,Na,1
圖案,0.10505423492681763,Na,1
擺飾,0.09875318226532671,Na,1
磁磚,0.09875318226532671,Na,1
解說牌,0.09875318226532671,Na,1
