words,tfidf,pos,freq
海豚,3.028214305382,Na,24
鯨豚,2.5115784306547715,Na,9
暈船藥,1.0725314015775083,Na,4
體驗,0.9960633209183611,VC,3
鯨魚,0.846118805315897,Na,4
拍照,0.6408552915662398,VB,2
計程車,0.6395218088262232,Na,3
龜山島,0.579339597763464,Nc,2
花蓮,0.483004418625689,Nc,4
花紋,0.45346322604117384,Na,3
華祺,0.4456422127201338,Nb,1
船身,0.4456422127201338,Na,1
紀念,0.4246116059074567,VJ,1
歐洲,0.41206735378637405,Nc,1
海港,0.41206735378637405,Nc,1
花蓮港,0.41206735378637405,Nc,1
海豚群,0.39315350131566046,Na,1
領航鯨,0.3834687238854282,Na,2
大拇指,0.3768552667641309,Na,1
老公,0.3666564370035211,Na,1
海浪,0.33541959176661196,Na,1
搭船,0.33506338423670334,VA,1
登船處,0.33316288842982,Nc,2
賞鯨團,0.30903873562023015,Na,1
斑紋,0.30903873562023015,Na,1
福氏,0.30903873562023015,Nb,1
海風,0.2869328119668776,Na,1
華棋號,0.2869328119668776,Nb,1
海鳥,0.27407952324907126,Na,1
領隊,0.27407952324907126,Na,1
野生,0.26726846092619405,A,1
僞虎鯨,0.26726846092619405,Na,1
老道,0.26726846092619405,Na,1
涼爽,0.24442858927397276,VH,1
百香,0.24442858927397276,Na,1
阿妹,0.24442858927397276,Nb,1
東部,0.223538489444279,Ncd,2
虎鯨,0.223538489444279,Na,3
碼頭,0.21317393627540776,Nc,1
鯨船,0.21317393627540776,Na,8
水域,0.17201108199086057,Na,1
商家,0.16658144421491,Na,1
彩虹屋,0.16658144421491,Na,1
航程,0.16658144421491,Na,1
太陽眼鏡,0.14268995175994895,Na,1
船首,0.14268995175994895,Nc,1
大翅鯨,0.1117692447221395,Na,1
姿態,0.1117692447221395,Na,1
弗氏,0.1117692447221395,Nb,1
抹香鯨,0.1117692447221395,Na,1
海域,0.1117692447221395,Na,1
海象,0.1117692447221395,Na,1
瓶鼻,0.1117692447221395,Na,1
身姿,0.1117692447221395,Na,1
