words,tfidf,pos,freq
燈塔,24.924912059238743,Na,141
夕陽,8.99201744249282,Na,35
王功,6.749631051564132,Na,33
拍照,6.1148873646288,VB,22
芳苑,4.911310368128468,Nc,28
海風,4.480108000824284,Na,16
漁港,4.157316027882063,Nc,19
海邊,3.9376372236771475,Na,14
鐵牛車,3.750769947159578,Na,13
海鮮,3.56006556300802,Na,13
體驗,3.5012036871297143,VC,18
蚵田,2.953598033058677,Na,8
條紋,2.9416135862840673,Na,10
蛤蜊,2.5768637711250664,Na,15
潮間帶,2.183744220746371,Nc,10
步道,1.835976755336904,Na,8
楊謹華,1.761363266414099,Nb,5
攤販,1.7458799312498519,Na,7
散步,1.7352399124282822,VA,7
螃蟹,1.6913790676348537,Na,4
日落,1.642814847547357,VA,3
彰化,1.5375856671029033,Nc,10
悠閒,1.4313899074213203,VH,5
海岸,1.4024651439909444,Nc,6
生態,1.2653129175362683,Na,9
海產,1.2425352868495518,Na,5
鐵牛,1.2140927158424877,Nb,16
海景,1.114649613506701,Na,4
漁村,1.092787413038193,Nc,4
夕照,1.0831922890893373,Na,2
芋仔,1.048776699000775,Na,2
蚵仔,1.0129168340546497,Na,10
夜景,1.0,Na,1
傳統,0.9786683924570885,VH,2
蛤仔,0.9706201076487373,Na,2
魚港,0.928437367850654,Nc,2
漁民,0.9204124651654159,Na,1
港區,0.9177715424693003,Nc,3
釣魚,0.9033224300541856,VA,2
市集,0.8839533169755422,Na,4
牛車,0.866395608562013,Na,17
鮮蚵,0.8567623459007,Na,2
環島,0.8493621722162603,VA,2
明燈,0.8275404595294267,Na,2
海灘,0.8179206276042693,Na,5
風景區,0.8124008631221213,Nc,2
潮汐,0.8000761716660388,Na,6
畫意,0.7889490255897401,Na,1
蚵嗲,0.7555846045501412,Na,4
港口,0.7434485776362624,Nc,4
東亞,0.7259496004321053,Nc,1
蚵仔煎,0.7219344453771039,Na,2
停留點,0.7071067811865475,Na,1
早午餐,0.6990743844290961,Na,1
朝聖,0.6891262901980331,VA,1
沙灘,0.682308264115073,Na,3
放風,0.6769975706001903,VA,1
噪音,0.659194290946455,Na,2
線條,0.6544089768477617,Na,2
點心城,0.6517785728433279,Na,1
黃昏,0.6428967635975016,Nd,3
同質性,0.640132333822837,Na,1
季風,0.6401256368616224,Na,2
雙胞胎,0.631244786342883,Na,1
採蚵車,0.6045143078406514,Na,3
金鐘獎,0.603472711333975,Nb,2
壯觀,0.6015912552616784,VH,1
隱憂,0.6015912552616784,Na,1
戲水,0.5981636859586066,VA,1
田風,0.597423633135652,Na,1
王宮,0.5935228918467694,Nc,1
老街,0.5912689651257635,Nc,2
天風,0.5888151279310304,Na,1
蚵架,0.5856948502732982,Na,2
視線,0.5785257609167034,Na,1
魚民,0.5773502691896257,Na,1
光芒,0.5773502691896257,Na,1
風箏,0.5699936352150518,Na,1
彰化縣,0.5680731397932641,Nc,2
絕配,0.5651633136616929,Na,1
浪漫,0.5606832985614366,VH,1
文化,0.5523136821664658,Na,2
興緻,0.547884158819285,Na,1
直條,0.5273314922680628,Na,1
草坪,0.5245852600127284,Na,1
觀海,0.5123608026205646,VA,1
海牛,0.5030140481976554,Na,1
復古,0.5,VHC,1
蚵棚,0.5,Na,1
高美,0.4985012839512107,Nb,2
角色,0.4895055989315758,Na,1
漁船,0.4874448658497623,Na,2
美食街,0.4869710585707968,Nc,2
蝦猴,0.4842725141510069,Na,3
發電場,0.4811072169365305,Nc,1
玩法,0.47548126871938445,Na,1
攤位,0.47418916228288377,Na,2
蚵民,0.4698612800299606,Na,1
造形,0.45878307591630857,Na,1
蚵仔車,0.4542580679288272,Na,1
彰化人,0.44787849593034174,Na,1
王功會,0.44787849593034174,Nb,1
熱鬧,0.44752847555485337,VH,2
野生,0.4462741315664932,A,1
蚵螺,0.4462741315664932,Na,1
堤岸,0.4454364719430923,Na,1
動植物,0.4454364719430923,Na,1
王公,0.44470409372116126,Nb,2
功名,0.43780871913665564,Na,1
懷念,0.43721575766066784,VJ,2
歷史,0.43636110328876526,Na,3
親子遊,0.4272644677155366,Na,1
蛤蠇,0.4272644677155366,Na,1
風車,0.42244335626814383,Na,1
落日餘暉,0.41448276348520724,Na,2
防風林,0.4107048597842713,Na,1
五臟廟,0.40587196402732395,Na,1
兩難,0.40030639657652595,Na,1
商店,0.3993960590169385,Nc,2
聲響,0.3982843679247896,Na,1
生態環境,0.3982843679247896,Na,1
水中,0.39577481674380005,Na,1
餘暉,0.39219254848041707,Na,4
人煙稀少,0.38887065126515147,Na,1
海巡員,0.3876952469314377,Na,1
眼睛,0.38105164709524836,Na,1
遊客區,0.3662756423769541,Nc,1
老少咸宜,0.3662756423769541,VH,1
燈搭,0.3634923398458818,Na,2
方向型,0.3634923398458818,Na,2
濱海,0.3621358871231564,VH,1
生態區,0.34591716802061895,Nc,1
蚵車,0.3425224414942768,Na,4
手工藝,0.3425224414942768,Na,1
海浜,0.3395922318046207,Na,1
美食區,0.33449719950677426,Nc,2
水覺,0.3330571387476706,Na,1
沙地,0.33116624043445725,Na,1
牡蠣,0.33116624043445725,Na,1
優勢,0.3278304906338153,Na,1
寧靜,0.3251031007140525,VH,1
約會,0.3251031007140525,VB,1
清幽,0.3251031007140525,VH,1
芳苑鄉,0.3212579281285534,Nc,1
芳苑鎮,0.31930809054469916,Nc,1
雄偉,0.3141580008776836,VH,1
雞蛋花,0.3141580008776836,Na,1
院子,0.3141580008776836,Na,1
道館,0.3112282053599111,Nc,1
謹華,0.3112282053599111,Nb,6
籃隊,0.3112282053599111,Na,1
寶可夢,0.3112282053599111,Na,1
晚會,0.30793793617893844,Na,1
金o,0.30793793617893844,Na,0
塔臺,0.29960360365417293,Na,1
商家,0.2989157834611196,Na,1
玩水,0.2989157834611196,VA,1
保育區,0.2973401183769345,Nc,1
演唱會,0.29639774350322123,Na,1
貨車,0.29628395240505484,Na,1
縣政府,0.29615220733443753,Nc,1
招潮蟹,0.2689820663129975,Na,2
便道,0.26704975434447176,Na,2
紀念章,0.2667906908785635,Na,1
姿勢,0.2667906908785635,Na,1
騎車,0.2532065695543068,VA,1
地方官,0.25269115992277574,Na,1
瞭望台,0.25269115992277574,Nc,1
自然,0.25269115992277574,VH,2
雜草叢生,0.25269115992277574,VH,1
樹枝,0.25219830814445177,Na,1
威力,0.25219830814445177,Na,1
大自然,0.25219830814445177,Nc,1
對比色,0.24925064197560534,Na,1
拍攝,0.24813705051767032,VC,1
夜色,0.23995219468610732,Na,1
明暗,0.23995219468610732,Na,1
業務,0.23995219468610732,Na,1
坡堤,0.23711677402955106,Nc,1
時尚,0.23711677402955106,Na,1
直紋,0.23711677402955106,Na,1
烤物,0.2344943818052098,Na,1
市場,0.2344943818052098,Nc,1
海港橋,0.22763558802997863,Nc,1
人海,0.21991957639329773,Na,2
勇者,0.21991957639329773,Na,1
柯佳嬿,0.21991957639329773,Nb,1
公園,0.21559673254172443,Nc,1
柴油車,0.21559673254172443,Na,1
自家,0.21559673254172443,Nc,1
愜意,0.21559673254172443,VH,1
口袋,0.21508078741873599,Na,1
名單,0.21508078741873599,Na,1
八角形,0.21243790236148818,Na,1
盤子,0.2025432581959673,Na,1
過路客,0.2025432581959673,Na,1
罐頭,0.2025432581959673,Na,1
永靖,0.2025432581959673,Nb,1
幹線,0.2025432581959673,Na,1
海巡署,0.19972778098341512,Nc,1
古早味,0.1979928283223254,Na,1
枝仔冰,0.1979928283223254,Na,1
炸粿,0.1979928283223254,Na,1
淺灘,0.19751353025853038,Na,2
蚵寮,0.19451015090001259,Na,1
灯塔,0.19262477139969894,Na,1
金鐘,0.1888999033151902,Na,3
花枝,0.1888999033151902,Na,1
禮服,0.1888999033151902,Na,1
檯面,0.1888999033151902,Nc,1
車速,0.18727931659900832,Na,1
海產店,0.18522449208327058,Nc,1
潮汐帶,0.18522449208327058,Na,1
生物課,0.18522449208327058,Na,1
網頁,0.18522449208327058,Na,1
遊艇,0.18522449208327058,Na,1
海平面,0.1817461699229409,Na,1
警示型,0.1817461699229409,Na,1
尺寸,0.1817461699229409,Na,1
相機,0.17950495649530335,Na,1
虹橋,0.17950495649530335,Na,1
記念館,0.17950495649530335,Nc,1
龍形車,0.17950495649530335,Na,1
專車,0.15874735086403777,Na,2
地帶,0.1422611684504622,Nc,1
目的地,0.1422611684504622,Nc,1
大門口,0.1280694208856102,Na,1
強風,0.1280694208856102,Na,1
漁港區,0.12698207853549756,Nc,1
雲彩,0.12698207853549756,Na,1
方圓,0.12698207853549756,Na,1
腳底,0.12698207853549756,Na,1
教學,0.12222851413246286,VA,3
熱點,0.10614828042579146,Na,1
音樂家,0.10614828042579146,Na,1
潛力,0.09875676512926519,Na,1
灘地,0.09875676512926519,Na,1
轉角處,0.09875676512926519,Nc,1
文章,0.08148567608830858,Na,2
海域,0.04074283804415429,Na,1
野外,0.04074283804415429,Nc,1
蚵農,0.04074283804415429,Na,1
腥味,0.04074283804415429,Na,1
疑難雜症,0.04074283804415429,Na,1
王功蚵,0.04074283804415429,Nc,1
溫差,0.04074283804415429,Na,1
