words,tfidf,pos,freq
瀑布,4.124549272158206,Na,27
玩水,1.6335016060694656,VA,7
步道,1.3051912495601008,Na,6
消暑,1.2885806763291514,VA,3
清涼,1.1184028518725897,VH,4
細流,0.968429447653949,Na,2
涼爽,0.7096558731631151,VH,2
大自然,0.7071067811865476,Nc,1
山莊,0.6996262065737294,Nc,4
髮絲,0.6973655787716548,Na,1
踏青,0.691853171054391,VA,1
螃蟹,0.6813799900328882,Na,3
汐止,0.652723630610232,Nc,3
馥記,0.5943298156598373,Nb,3
古道,0.474662052460982,Na,3
螢火蟲,0.4649279106691303,Na,1
森林,0.4501847620274401,Na,1
清幽,0.4501847620274401,VH,1
戲水,0.42883090260748524,VA,3
茄苳,0.4259903758639456,Na,4
繩索,0.36924992533155254,Na,2
芬多精,0.3653621343053928,Na,1
爬山,0.3641093964219059,VA,2
手腳,0.33888859183516584,Na,1
水塔,0.3333333333333333,Na,1
善心,0.3333333333333333,Na,1
野餐,0.322614600949641,VA,2
池塘,0.30877361749106524,Nc,1
登山,0.2958922080372287,VA,3
崩石,0.28296468009113684,Na,1
游泳,0.28296468009113684,VA,1
登山口,0.25792937761199264,Nc,2
山林,0.23978736716983798,Nc,1
親民,0.23978736716983798,VH,1
體驗,0.23978736716983798,VC,1
台北,0.23978736716983798,Nc,2
山區,0.23970423768410448,Nc,1
茄福路,0.23970423768410448,Nc,1
天然,0.23970423768410448,A,1
警衛室,0.23583567202337982,Nc,1
建案,0.22506365874481887,Na,1
茄苳路,0.22506365874481887,Nc,1
瀑布區,0.1744999306387059,Nc,1
騎車,0.1744999306387059,VA,1
溪流,0.15822068415366067,Na,1
寬度,0.15822068415366067,Na,1
淡蘭,0.15822068415366067,Nc,1
應姑廟,0.15822068415366067,Nc,1
大尖山,0.15822068415366067,Nc,1
四分尾山,0.15822068415366067,Nc,1
中路,0.15822068415366067,Nc,1
石桌,0.1510286978202954,Na,1
石椅,0.1510286978202954,Na,1
大腿,0.14392271710572332,Na,1
石階梯,0.14392271710572332,Na,1
平台,0.14392271710572332,Na,1
產業道路,0.14392271710572332,Na,1
台北市,0.14392271710572332,Nc,1
區公所,0.14392271710572332,Nc,1
仁愛路,0.14392271710572332,Nc,1
溪谷,0.12941898194290075,Na,1
繩子,0.12941898194290075,Na,1
石階,0.12941898194290075,Na,2
石塊,0.12941898194290075,Na,1
攀爬,0.12941898194290075,VC,1
清大,0.12941898194290075,Nc,1
泥沙,0.12941898194290075,Na,1
水蛭,0.12941898194290075,Na,1
上下游,0.12896468880599632,Nc,1
冰冰,0.12896468880599632,Na,1
加油站,0.12896468880599632,Nc,1
新北,0.12896468880599632,Nc,1
深山,0.12896468880599632,Na,1
溪水,0.12896468880599632,Na,1
潔癖,0.12896468880599632,Na,1
生態,0.12896468880599632,Na,1
能力,0.12896468880599632,Na,1
蜻蜓,0.12896468880599632,Na,1
蝴蝶,0.12896468880599632,Na,1
豆娘,0.12896468880599632,Na,1
