words,tfidf,pos,freq
莊嚴,5.117101673948393,VH,11
廟宇,3.0379419515707027,Na,13
靈驗,2.423089778053248,VH,4
宏偉,2.174021502425529,VH,3
雄偉,2.120559766717801,VH,4
鼎盛,2.0125902038702748,VH,5
香火,2.0125902038702748,Na,5
媽祖,1.9536880071003038,Nb,10
壯觀,1.5898133134996972,VH,4
保佑,1.5386396630383639,VJ,3
天上聖母,1.5369522287777995,Nb,6
媽祖娘娘,1.5319097722645976,Nb,2
參拜,1.4115509611361772,VC,8
草漯,1.3418009196365763,Nc,9
神明,1.0888215227779239,Na,7
媽祖廟,1.0,Nc,1
大殿,0.9563818471637269,Nc,4
熱鬧,0.9243175497486231,VH,4
拜拜,0.8675720956126325,VA,6
神聖,0.8278144706995612,VH,1
清靜,0.8278144706995612,VH,1
靈性,0.8053568752537525,Na,2
神佛,0.7524597239405751,Na,1
宏宇,0.7071067811865475,Nb,1
台十五線,0.7071067811865475,Nc,1
廟堂,0.7071067811865475,Nc,1
氣派,0.674175728203447,VH,1
歷史,0.659725670516503,Na,1
海岸線,0.6088608780580788,Na,1
聖母,0.578735080373157,Nb,10
觀音,0.5498601544663793,Nb,5
村莊,0.5034748324937652,Nc,2
顯赫,0.4811970500751515,VH,1
怪人,0.4712341408556738,Na,1
雕塑,0.4076974081302657,Na,1
法相,0.4076974081302657,Na,1
眼睛,0.3976800198325102,Na,1
廚師,0.3976800198325102,Na,1
盛會,0.3604710369576647,Na,2
聖誕,0.3506811700876799,Nd,1
車輪餅,0.3359170965220614,Na,1
攤子,0.3359170965220614,Na,1
寺廟,0.33414230586950594,Nc,1
震撼,0.315702307700875,VJ,1
水燈,0.3136584536401267,Na,3
朝拜,0.29540115250789706,VB,1
藝術品,0.2766930188224449,Na,1
緣分,0.2766930188224449,Na,1
魚眼,0.26861302213947036,Na,1
大三元,0.26861302213947036,Na,1
比薩店,0.2528957869515104,Nc,1
草漯里,0.25229931077864953,Nc,3
平安,0.2494582409057724,VH,3
環島,0.24923825093932167,VA,1
面孔,0.23181369426184323,Na,2
元帥,0.21460515690116577,Na,4
福德正神,0.21460515690116577,Na,3
桃園市,0.20061394679766345,Nc,2
香爐,0.197549355301615,Na,1
宮廟,0.1960993787013984,Nc,1
假牙,0.19526547766204552,Na,1
祭典,0.19526547766204552,Na,1
隱藏版,0.19526547766204552,Na,1
體驗,0.19526547766204552,VC,1
夜市,0.19526547766204552,Nc,1
表演,0.19526547766204552,VC,1
廟會,0.18023551847883235,Na,1
攤販,0.18023551847883235,Na,1
艷舞,0.18023551847883235,Na,1
花車,0.18023551847883235,Na,1
辣妹,0.18023551847883235,Na,1
觀音區,0.15930841116597216,Nc,2
趨勢,0.1513829556961537,Na,1
牆堵,0.1513829556961537,Na,1
村落,0.1513829556961537,Na,1
主神,0.1513829556961537,Na,1
台鐵,0.14307010460077718,Nc,2
玄壇,0.14307010460077718,Nc,2
關聖帝君,0.14307010460077718,Nb,2
中壇,0.14307010460077718,Nc,2
個子,0.11590684713092161,Na,1
廟身,0.10030697339883173,Na,1
鄉鎮,0.10030697339883173,Nc,1
聖祖,0.10030697339883173,Na,1
文宗,0.10030697339883173,Nb,1
慶成,0.10030697339883173,Nb,1
湄洲,0.10030697339883173,Nc,1
康熙,0.10030697339883173,Nb,1
大媽娘娘,0.10030697339883173,Nb,1
台15線,0.10030697339883173,Nc,1
原址,0.10030697339883173,Na,1
天后宮,0.10030697339883173,Nc,1
交界處,0.10030697339883173,Nc,1
濟公,0.07153505230038859,Nb,1
神將,0.07153505230038859,Na,1
玉皇大帝,0.07153505230038859,Nb,1
玄天上帝,0.07153505230038859,Nb,1
玄天,0.07153505230038859,Nc,2
法界,0.07153505230038859,Nc,1
溪海里,0.07153505230038859,Na,1
樹林里,0.07153505230038859,Nc,1
桃花源,0.07153505230038859,Nc,1
桃園站,0.07153505230038859,Nc,1
神農大帝,0.07153505230038859,Nb,1
神童,0.07153505230038859,Na,1
註生娘娘轎,0.07153505230038859,Nb,1
聖母轎,0.07153505230038859,Nb,1
船仔媽,0.07153505230038859,Na,1
草新里,0.07153505230038859,Nc,1
莊頭,0.07153505230038859,Nc,1
虎爺,0.07153505230038859,Na,2
虎爺轎,0.07153505230038859,Na,1
註生娘娘,0.07153505230038859,Nb,2
晚會,0.07153505230038859,Na,1
護法,0.07153505230038859,Na,1
陣頭,0.07153505230038859,Na,1
韋䭾,0.07153505230038859,Nb,1
龍王,0.07153505230038859,Na,1
桃園,0.07153505230038859,Nc,4
太三,0.07153505230038859,Nb,1
新坡里,0.07153505230038859,Nc,1
北港,0.07153505230038859,Nc,1
三媽轎,0.07153505230038859,Nb,1
三官大帝,0.07153505230038859,Nb,1
上帝轎,0.07153505230038859,Na,1
中壢站,0.07153505230038859,Nc,1
二媽轎,0.07153505230038859,Nb,1
五營,0.07153505230038859,Nc,1
伽藍,0.07153505230038859,Nb,1
佛祖,0.07153505230038859,Na,2
佛祖轎,0.07153505230038859,Na,1
元帥轎,0.07153505230038859,Na,1
公寓,0.07153505230038859,Na,1
千順,0.07153505230038859,Nb,1
斗母,0.07153505230038859,Nb,1
南站,0.07153505230038859,Nc,1
和平里,0.07153505230038859,Nc,1
四海,0.07153505230038859,Nc,1
塔腳里,0.07153505230038859,Nc,1
大太二,0.07153505230038859,Nb,1
富林里,0.07153505230038859,Nc,1
