words,tfidf,pos,freq
伴手禮,4.105911663117875,Na,17
大湖,3.4647698001085816,Nc,31
冰淇淋,3.04142269030823,Na,13
文化館,2.990446822036966,Nc,20
草莓酒,1.9962218910031924,Na,9
貢丸,1.9644686349179312,Na,13
泡芙,1.59510831069547,Na,7
表演,1.5697133159199133,VC,7
草苺,1.5524915859008792,Na,5
酒莊,1.408718112961892,Nc,9
文化,1.3101138466644515,Na,24
拍照,1.198040858899935,VB,6
農產品,1.1075111687178991,Na,4
攤販,0.9390221035225452,Na,4
蛋糕,0.9346357710680695,Na,2
熱狗,0.9068315792380655,Na,5
大福,0.8853634274247256,Na,4
方塊酥,0.8022016098625272,Na,1
苗栗,0.7613196806546048,Nc,5
太陽餅,0.7462642986165626,Na,3
體驗,0.6637683272212554,VC,4
商店,0.6557644281153183,Nc,2
成份,0.63546645362558,Na,1
手信,0.6342588146096296,Na,1
購物,0.6155983566821441,VA,1
豆乾,0.583217806161508,Na,1
農特產,0.5715372934071455,Na,2
掌櫃,0.5087075190318187,Na,1
衍生品,0.5003846768525361,Na,1
冰沙,0.49758864492398835,Na,2
草莓醬,0.47112291417112157,Na,3
山區,0.45720411231124836,Nc,1
阿北,0.4570646451422867,Nb,1
蛋卷,0.45580653217682826,Na,1
草苺酥,0.45580653217682826,Na,1
牛奶餅,0.45580653217682826,Na,1
草草莓,0.44964158679412053,Na,1
博物館,0.4250758922763678,Nc,2
中庭,0.4219579277422456,Nc,2
土城,0.4213787860285453,Nc,1
土產店,0.420238161408729,Nc,1
甜品,0.420238161408729,Na,1
騎車,0.4183947262449714,VA,1
斜對面,0.4006910367603793,Nc,1
紀念品,0.39889006049845266,Na,3
香氣,0.396970445424613,Na,2
文物,0.3956929763199455,Na,1
攤商,0.3888721736817907,Na,1
商家,0.3888721736817907,Na,1
台南,0.3876024757188638,Nc,2
實品,0.38201115022463394,Na,2
軟糖,0.3804047743504564,Na,2
草莓館,0.3695783500305597,Nc,2
啤酒,0.3584984203107467,Na,1
休閒館,0.35566101944946926,Nc,1
名產店,0.3536948442385688,Nc,2
爆米花,0.34797509570131924,Na,2
商場,0.34745990391411563,Nc,1
景點區,0.33526180409896145,Nc,1
展場,0.3340041671674057,Nc,1
歷史,0.3340041671674057,Na,1
展覽館,0.3339173602313039,Nc,1
大門口,0.326576675099106,Na,1
親子會,0.32432882782630024,Na,1
diy,0.32432882782630024,FW,0
寒天,0.314174231477796,Na,1
花枝丸,0.3130878349224119,Na,1
草莓杯,0.3125020548725486,Na,2
手工,0.3065474674122737,Na,1
香料,0.3065474674122737,Na,1
過年,0.3026334706954472,VA,1
日本,0.2989775833225729,Nc,2
觀光地,0.29740648535267133,Na,1
汽泡,0.29529064738353356,Na,1
草莓凍,0.29529064738353356,Na,1
粉紅色,0.294229661905338,Na,1
熱食,0.29254993537717044,Na,1
孫女,0.2922494186320218,Na,2
甜草莓,0.26541612571384554,Na,1
雪花,0.26541612571384554,Na,2
雪花冰,0.26541612571384554,Na,1
酒類,0.2551808720678611,Na,2
氣泡酒,0.24504617412669227,Na,1
釀酒廠,0.24504617412669227,Nc,1
生態,0.24415089341546384,Na,2
花園,0.24415089341546384,Nc,2
農場,0.2364241631721639,Nc,2
專賣店,0.23173549656588047,Nc,1
市集,0.21929426548557937,Na,1
草莓田,0.21929426548557937,Na,1
天台,0.21929426548557937,Nc,1
懷念,0.21535983495817723,VJ,1
五樓,0.2125379461381839,Nc,2
作用,0.2125379461381839,Na,1
用餐區,0.2125379461381839,Nc,1
溫泉,0.20921766184045118,Na,1
大眾池,0.2079115033461004,Na,1
草莓乾,0.2033960876414384,Na,1
果凍,0.2008959997362453,Na,1
鳳梨酥,0.2008959997362453,Na,1
麻糬,0.2008959997362453,Na,1
豆腐乳,0.1985290597460198,Na,1
糖果,0.1938012378594319,Na,1
農藥,0.19137937940316407,Na,1
差距,0.19100557511231697,Na,1
櫥櫃,0.19100557511231697,Na,1
事實,0.19100557511231697,Na,1
草莓粉,0.1888317840692289,Na,1
公館,0.1826828857232395,Nc,1
台72,0.1826828857232395,Nc,1
國道1號,0.1826828857232395,Nc,1
東西向,0.1826828857232395,Na,1
瓶子,0.1826828857232395,Na,1
風景線,0.1826828857232395,Nc,1
文藝,0.18045689156166528,Na,1
門板,0.15602395233025132,Na,1
甜食,0.15602395233025132,Na,1
特產區,0.15602395233025132,Nc,1
攤位,0.15602395233025132,Na,1
女廁所,0.15602395233025132,Nc,1
丸子,0.14948879166128645,Na,1
嘎寶草,0.14948879166128645,Na,1
小圓湯,0.14948879166128645,Na,1
標價,0.14948879166128645,Na,1
潤膚霜,0.14948879166128645,Na,1
甜度,0.14948879166128645,Na,1
香腸草,0.14948879166128645,Na,1
油桐花,0.14731802778211087,Na,1
玩家,0.14731802778211087,Na,1
特產品,0.14731802778211087,Na,1
