words,tfidf,pos,freq
拍照,10.793925348427582,VB,47
澎湖,4.628765616784982,Nc,36
灰窯,4.320288046467133,Na,37
歷史,3.199610906301741,Na,19
菓葉,2.90186684670474,Na,28
石灰,2.1619066584369167,Na,18
海邊,2.1372088902767574,Na,8
海景,1.7482354679709706,Na,9
資訊站,1.3535617352782938,Nc,5
懷舊,1.178048132144105,VH,2
城堡,1.1517263752636095,Na,4
南寮,0.935876009613338,Nc,3
海岸,0.923220173138166,Nc,6
攀爬,0.9197435882787804,VC,3
海風,0.9029328763811966,Na,3
古堡,0.8615071032807318,Na,4
歐洲,0.8322558803661584,Nc,3
菓葉村,0.8230617803548432,Nc,6
風車,0.7743670220583816,Na,3
遺跡,0.7731282859613432,Na,6
拍照點,0.7487173492063482,Na,1
歷史性,0.7096166970852194,Na,2
海岸線,0.6966642237604557,Na,2
騎車,0.6872202471632456,VA,3
碉堡,0.6832053024070943,Na,5
海堤,0.6439572528397354,Nc,3
日出,0.6176784384310343,VA,3
文創,0.6160114444127066,Na,2
古色古香,0.6056182176930912,VH,1
古老,0.6043189184067908,VH,2
炸粿,0.5993426760332201,Na,1
湖西鄉,0.5931131605230414,Nc,4
自然,0.5860474102757608,VH,1
問卷,0.5842427417773234,Na,2
堡壘,0.5751687623196718,Na,1
窯場,0.5736615811183365,Nc,3
燒窯,0.5413145890994109,Na,2
拍攝,0.5331844289153627,VC,3
灰窯業,0.5284223414126941,Na,4
石灰窯,0.5279902418053515,Na,3
中央山脈,0.5266387803855174,Nc,3
石槽,0.5118253580877994,Na,2
協會,0.5083033419116341,Nc,1
觀日樓,0.49640552184981446,Nc,2
澎湖縣,0.49474211461795575,Nc,3
海浪,0.4859860528498246,Na,2
屁孩,0.47813802119945986,Na,1
問券,0.4627630464567946,Na,1
解說牌,0.45132387971366617,Na,1
網拍照,0.44773465149329417,Na,1
文化,0.4375350429545804,Na,4
摩洛哥,0.4229445864382086,Nc,1
海提,0.4229445864382086,Nb,1
古厝,0.3954465110517829,Na,2
遺蹟,0.39361198922232166,Na,1
紀念品,0.39278819604225473,Na,2
玩水,0.387094399772449,VA,1
潮間帶,0.3868780878087767,Nc,1
復古,0.3840637216155982,VHC,1
導覽,0.38071630385333205,VC,1
背光面,0.3751398852043602,Na,1
夕陽,0.3751398852043602,Na,1
遼闊,0.3744537951017278,VH,2
海景照,0.3690345911303006,Na,1
生命力,0.3452411898337321,Na,1
滄桑感,0.3452411898337321,Na,1
外表,0.339069988437027,Na,1
神祕感,0.339069988437027,Na,1
