words,tfidf,pos,freq
龍潭,2.1299632854999295,Nc,12
文創,1.5158053797287758,Na,8
市集,1.3975163209768071,Na,3
紀錄片,0.7241233486848735,Na,3
商店,0.690059245267116,Nc,6
商家,0.6811365341319543,Na,4
商店街,0.6571314317516102,Nc,3
鐵門,0.6211711964598593,Na,2
菱潭街,0.5915239406346553,Nc,3
街埕,0.5773502691896257,Na,1
蛋糕,0.5426725641552295,Na,2
文青,0.41949799529189524,Nb,2
特點,0.3993719642844293,Na,1
人情味,0.39627179696654125,Na,1
市場,0.3861196811942151,Nc,3
拍照,0.35946006940339886,VB,1
套裝,0.35946006940339886,Na,1
參拜,0.3207320216754001,VC,1
商圈,0.2941332336926263,Nc,1
大潭,0.2941332336926263,Nc,1
衝突,0.2941332336926263,Na,1
廟口,0.2941332336926263,Nc,1
傳統,0.2941332336926263,VH,1
內涵,0.29166849022898933,Na,1
日本,0.29166849022898933,Nc,1
植物,0.29166849022898933,Na,1
療癒,0.2747818533430127,VC,1
壁畫,0.2747818533430127,Na,1
拍攝,0.27278132865913024,VC,1
底片機,0.26472380594633593,Na,1
遠端,0.2638632966474967,Nc,1
櫥窗,0.26054607555422077,Na,1
藝術品,0.26054607555422077,Na,1
龍元街,0.2575426914908448,Nc,1
攤位,0.2575426914908448,Na,1
天官,0.2575426914908448,Na,1
宣傳,0.24248277754520625,Na,1
境況,0.23815341386987687,Na,1
女性,0.2232186817052277,Na,1
導演,0.2232186817052277,Na,1
楊力州,0.2232186817052277,Nb,1
文學,0.18556365376331907,Na,1
鍾肇政,0.18556365376331907,Nb,1
古物,0.17347792392703545,Na,1
手作,0.17347792392703545,Na,1
藝品,0.17347792392703545,Na,1
菜市場,0.14188238987403687,Nc,1
